"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"ANA","2022-10-12","2022020009","20222023","SEA","1",60.92,51.73,32.9,30.79,32.58,30.05,4.65,4.34,25.15,51.29,29.68,66.71,40.43,83.68,2.13,4.95,0.31,-26.14,-37.03,-43.25,-2.83
"ANA","2022-10-15","2022020032","20222023","NYI","0",60,12.83,35.54,38.31,42.59,43.21,1.01,6.87,21.98,39.86,35.43,57.05,53.99,72.77,2.89,3.8,-5.86,-17.89,-21.62,-18.78,-0.91
"ANA","2022-10-17","2022020039","20222023","NYR","0",60,40.93,31.97,28.25,32.36,29.88,4.05,5.84,20.98,44.64,23.9,60.7,35.65,74.5,1.79,4.21,-1.79,-23.66,-36.8,-38.85,-2.41
"ANA","2022-10-18","2022020048","20222023","N.J","0",60,35.89,35.64,37.59,37.81,42.87,2.13,3.81,21.59,38.99,30.75,51.06,38.54,63.38,2.63,3.51,-1.68,-17.4,-20.31,-24.84,-0.88
"ANA","2022-10-20","2022020059","20222023","BOS","0",65,51.71,47.89,47.69,46.25,47.58,1.01,0.94,31.93,34.74,40.4,44.31,50.59,58.8,2.3,2.53,0.07,-2.82,-3.91,-8.21,-0.23
"ANA","2022-10-23","2022020088","20222023","DET","0",60,17.31,42.39,48.15,51.5,44.51,1.01,4.84,31.68,43.05,44.01,47.39,60.42,56.9,3.13,3.9,-3.82,-11.38,-3.38,3.53,-0.77
"ANA","2022-10-26","2022020110","20222023","T.B","1",60,31.37,38.31,37,40.47,28.74,1.88,4.12,19.97,32.16,26.54,45.18,44.72,65.78,1.53,3.78,-2.24,-12.19,-18.64,-21.05,-2.26
"ANA","2022-10-28","2022020121","20222023","VGK","0",60,0,54.99,49.55,51.29,50.11,0,3.9,27.78,22.74,36.61,37.28,53.03,50.36,2.12,2.11,-3.9,5.04,-0.67,2.67,0.01
"ANA","2022-10-30","2022020142","20222023","TOR","1",62.25,53.67,48.06,47.23,47.71,35.55,3.85,3.32,36.1,39.01,46.89,52.41,57.28,62.77,3.05,5.54,0.53,-2.91,-5.51,-5.49,-2.48
"ANA","2022-11-01","2022020158","20222023","S.J","0",65,53.02,51.9,52.55,55.44,47.71,5.33,4.72,45.75,42.4,57.47,51.89,75.14,60.41,3.56,3.9,0.61,3.35,5.58,14.74,-0.34
"ANA","2022-11-03","2022020171","20222023","VAN","0",60,39.65,39.2,37.52,41.99,31.6,5.12,7.79,30.87,47.89,34.76,57.88,46.9,64.79,2.24,4.85,-2.67,-17.02,-23.13,-17.89,-2.61
"ANA","2022-11-05","2022020188","20222023","S.J","0",65,51.59,33.18,37.77,37.05,30.18,4.05,3.8,25.55,51.46,38.74,63.85,48.79,82.91,2.59,6,0.25,-25.91,-25.1,-34.12,-3.41
"ANA","2022-11-06","2022020192","20222023","FLA","1",60,35.61,38.59,39.51,34.9,27.8,2.91,5.26,32.51,51.73,42.62,65.24,53.49,99.79,2.36,6.14,-2.35,-19.22,-22.63,-46.3,-3.77
"ANA","2022-11-09","2022020210","20222023","MIN","1",60,17.77,41.69,44.78,44.6,37.36,0.94,4.37,30,41.96,40.05,49.38,51.15,63.53,2.69,4.51,-3.43,-11.97,-9.34,-12.38,-1.82
"ANA","2022-11-12","2022020234","20222023","CHI","1",60,38.52,65.06,60.76,62.49,48.66,1.93,3.08,41.24,22.14,53.3,34.42,68.57,41.16,3.38,3.57,-1.15,19.09,18.88,27.41,-0.19
"ANA","2022-11-15","2022020255","20222023","DET","1",64.17,57.83,44.73,48.08,50.89,42.17,2.93,2.14,28.16,34.79,45.77,49.42,68.7,66.3,2.79,3.82,0.79,-6.63,-3.65,2.4,-1.03
"ANA","2022-11-17","2022020266","20222023","WPG","0",60,41.82,52.67,51.04,49.59,46.64,1.98,2.76,33.6,30.19,43.2,41.44,55.34,56.26,3.21,3.68,-0.77,3.41,1.76,-0.92,-0.46
"ANA","2022-11-19","2022020282","20222023","STL","0",60,25.46,45.97,51.13,53.67,50.19,2.01,5.89,30.1,35.38,40.39,38.61,57.98,50.04,2.53,2.52,-3.88,-5.28,1.78,7.94,0.02
"ANA","2022-11-21","2022020296","20222023","STL","0",60,25.8,51.16,50.54,48.79,45.41,1.01,2.91,27.92,26.66,36.1,35.33,47.68,50.04,3.29,3.95,-1.9,1.26,0.77,-2.36,-0.66
"ANA","2022-11-23","2022020314","20222023","NYR","1",60,58.07,34.34,38.04,37.57,44.16,2.87,2.07,22.2,42.45,36.59,59.61,47.32,78.64,3.6,4.55,0.8,-20.25,-23.02,-31.31,-0.95
"ANA","2022-11-25","2022020323","20222023","OTT","1",60,14.38,42.53,39.39,40.18,40.08,0.94,5.58,28.54,38.56,38.16,58.71,53.09,79.04,2.88,4.3,-4.65,-10.02,-20.55,-25.95,-1.43
"ANA","2022-11-27","2022020343","20222023","SEA","1",60,39.36,48.47,52,52.29,46.26,3.54,5.45,26.36,28.02,41.35,38.17,53.37,48.7,2.92,3.39,-1.91,-1.66,3.19,4.67,-0.47
"ANA","2022-11-29","2022020356","20222023","NSH","0",63.83,33.85,46.38,42.99,43.69,41.97,1.01,1.98,35.1,40.58,40.15,53.25,56.91,73.34,2.65,3.66,-0.97,-5.48,-13.1,-16.43,-1.01
"ANA","2022-12-01","2022020371","20222023","DAL","0",60,0,40.72,39.99,38.61,38.99,0,4.91,29.78,43.34,37.52,56.29,51.14,81.32,2.75,4.3,-4.91,-13.57,-18.78,-30.18,-1.55
"ANA","2022-12-03","2022020379","20222023","MIN","0",65,52.38,41.67,42.02,40.56,46.37,4.06,3.69,33.94,47.51,44.32,61.16,53.59,78.55,3.47,4.01,0.37,-13.57,-16.84,-24.96,-0.54
"ANA","2022-12-04","2022020392","20222023","WPG","0",60,30.74,45.35,43.36,47.45,42.86,2.13,4.8,31.66,38.14,43.31,56.58,60.98,67.54,3.13,4.17,-2.67,-6.48,-13.27,-6.56,-1.04
"ANA","2022-12-06","2022020410","20222023","CAR","1",61.93,56.03,44.93,39.08,42.65,38.07,3.87,3.04,29.85,36.58,34.73,54.13,53.97,72.58,2.26,3.68,0.83,-6.74,-19.4,-18.61,-1.42
"ANA","2022-12-09","2022020433","20222023","S.J","1",60,12.74,40.69,37.39,40.48,23.73,0.94,6.43,22.01,32.09,29.94,50.15,41.82,61.5,1.5,4.82,-5.49,-10.08,-20.21,-19.68,-3.32
"ANA","2022-12-12","2022020451","20222023","OTT","0",60,0,42.67,38.01,41.42,42.18,0,2.93,30.02,40.34,35.68,58.2,54.42,76.95,2.87,3.93,-2.93,-10.32,-22.52,-22.53,-1.06
"ANA","2022-12-13","2022020454","20222023","TOR","0",60,0,36.89,37.59,32.92,30.29,0,6.87,26.34,45.08,37.55,62.35,38.69,78.82,2.35,5.4,-6.87,-18.73,-24.8,-40.13,-3.05
"ANA","2022-12-15","2022020469","20222023","MTL","0",60,74.05,60.1,54.54,50.26,71.18,5.15,1.8,34.45,22.87,41.3,34.43,49.24,48.74,4.08,1.65,3.34,11.58,6.88,0.51,2.43
"ANA","2022-12-17","2022020486","20222023","EDM","0",60,61.42,28.86,32.57,34.78,24.55,4.22,2.65,18.04,44.46,30.41,62.97,39.84,74.71,1.74,5.35,1.57,-26.42,-32.56,-34.87,-3.61
"ANA","2022-12-20","2022020516","20222023","L.A","0",60,20.7,37.38,38.53,42.3,33.31,1.01,3.85,24.7,41.37,35.77,57.07,54.68,74.58,2.12,4.24,-2.85,-16.67,-21.3,-19.91,-2.12
"ANA","2022-12-21","2022020524","20222023","MIN","1",60,18.02,32.23,34.48,33.57,25.22,0.93,4.22,21.59,45.41,34.09,64.79,42.27,83.65,1.88,5.56,-3.3,-23.81,-30.7,-41.38,-3.69
"ANA","2022-12-23","2022020544","20222023","CGY","1",62.4,36.52,30.08,32.58,35.14,30.39,1.78,3.09,21.25,49.38,34.74,71.9,48.47,89.45,2.22,5.08,-1.31,-28.13,-37.16,-40.98,-2.86
