"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"ARI","2022-10-13","2022020011","20222023","PIT","0",60,25.44,31.48,30.29,34.89,29.5,2.01,5.9,26.17,56.96,30.82,70.93,43.9,81.92,2.36,5.63,-3.89,-30.79,-40.11,-38.02,-3.27
"ARI","2022-10-15","2022020027","20222023","BOS","0",60,33.98,34.16,36.47,36.95,29.32,3.02,5.88,22.96,44.25,31.74,55.27,43.75,74.65,2.09,5.05,-2.85,-21.3,-23.54,-30.9,-2.95
"ARI","2022-10-17","2022020040","20222023","TOR","0",60,69.92,44.92,38.5,37.04,49.04,4.19,1.8,21.02,25.77,24.68,39.43,32.88,55.89,2.72,2.83,2.39,-4.75,-14.74,-23.01,-0.11
"ARI","2022-10-20","2022020060","20222023","MTL","0",60,25.3,43.75,47.16,46.22,41.36,2.02,5.97,25.08,32.25,34.43,38.58,47.38,55.13,2.57,3.65,-3.95,-7.17,-4.15,-7.75,-1.08
"ARI","2022-10-22","2022020076","20222023","OTT","0",60,25.52,38.54,40.66,40.23,28.07,2.02,5.89,20.98,33.46,28.75,41.96,38.69,57.48,1.33,3.42,-3.87,-12.48,-13.21,-18.79,-2.08
"ARI","2022-10-25","2022020098","20222023","CBJ","0",60,69.6,42.45,43.25,43.36,49.19,6.44,2.81,21.85,29.62,34.74,45.58,44.88,58.63,3,3.1,3.63,-7.77,-10.84,-13.75,-0.1
"ARI","2022-10-28","2022020126","20222023","WPG","1",60.53,39.24,38.29,37.75,40.11,29.49,1.93,2.99,21.45,34.58,31.36,51.72,42.83,63.95,1.56,3.74,-1.06,-13.13,-20.36,-21.12,-2.18
"ARI","2022-10-30","2022020141","20222023","NYR","1",60,36.5,32.45,36.05,40.3,34.51,1.81,3.15,19.52,40.63,30.24,53.63,41.2,61.05,2.11,4.01,-1.34,-21.11,-23.39,-19.84,-1.9
"ARI","2022-11-01","2022020156","20222023","FLA","1",60,72.75,31.89,34.79,32.62,35.84,2.83,1.06,20,42.71,33.37,62.55,40.96,84.62,2.9,5.2,1.77,-22.71,-29.18,-43.66,-2.29
"ARI","2022-11-03","2022020172","20222023","DAL","1",60,19.8,37.89,43.25,40.06,34.73,1.88,7.6,25.99,42.6,38.89,51.04,48.57,72.68,2.09,3.93,-5.72,-16.61,-12.15,-24.11,-1.84
"ARI","2022-11-05","2022020178","20222023","WSH","0",60,61.63,42.39,42.12,41.31,48.04,3.08,1.92,26.05,35.4,37.09,50.97,48.63,69.09,3.04,3.29,1.16,-9.35,-13.88,-20.46,-0.25
"ARI","2022-11-08","2022020196","20222023","BUF","0",60,82.83,47.83,41.16,42.38,45.39,4.18,0.87,26.9,29.34,31.64,45.23,38.77,52.7,2.19,2.64,3.31,-2.44,-13.59,-13.93,-0.45
"ARI","2022-11-10","2022020216","20222023","NYI","0",60,100,56.62,47.85,49.47,68.6,2.05,0,29.6,22.68,40.41,44.04,59.56,60.82,4.48,2.05,2.05,6.92,-3.63,-1.26,2.43
"ARI","2022-11-12","2022020227","20222023","N.J","0",60,34.45,39.59,36.28,35.62,26.02,2.01,3.83,17.43,26.59,27.32,47.98,32.72,59.12,1.37,3.91,-1.82,-9.16,-20.66,-26.4,-2.53
"ARI","2022-11-13","2022020239","20222023","NYR","0",60,20.44,54.43,57.59,56.87,43.93,1.01,3.92,32.64,27.33,40.88,30.1,57.86,43.88,2.15,2.74,-2.91,5.31,10.77,13.98,-0.59
"ARI","2022-11-17","2022020270","20222023","VGK","0",60,20.62,39.5,41.63,45.7,38.41,1.01,3.9,25.62,39.24,36.4,51.04,52.8,62.75,2.32,3.72,-2.88,-13.62,-14.64,-9.94,-1.4
"ARI","2022-11-21","2022020297","20222023","NSH","0",65,52.88,38.04,38.37,38.64,37.85,3.08,2.74,26.9,43.81,37.23,59.8,46.02,73.08,3.08,5.05,0.33,-16.91,-22.57,-27.06,-1.98
"ARI","2022-11-23","2022020303","20222023","CAR","0",60,100,48.86,43.35,40.22,51.4,4.17,0,31.04,32.48,36.82,48.11,50.05,74.4,4.47,4.22,4.17,-1.45,-11.3,-24.34,0.24
"ARI","2022-11-25","2022020325","20222023","DET","0",65,50.66,39.06,40.63,40.9,38.83,2.99,2.92,23.62,36.85,39.29,57.41,47.69,68.93,2.73,4.3,0.08,-13.23,-18.12,-21.23,-1.57
"ARI","2022-11-27","2022020341","20222023","MIN","0",60,43.7,42.84,43.41,39.69,31.36,2.99,3.86,21.88,29.2,30.43,39.68,38.46,58.43,1.27,2.79,-0.86,-7.32,-9.24,-19.97,-1.51
