"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"BOS","2022-10-12","2022020005","20222023","WSH","0",60,73.71,51.23,50.57,49.31,59.65,5.26,1.88,33.58,31.96,42.79,41.82,58.09,59.73,3.7,2.5,3.38,1.62,0.97,-1.63,1.2
"BOS","2022-10-15","2022020027","20222023","ARI","1",60,66.02,65.84,63.53,63.05,70.68,5.88,3.02,44.25,22.96,55.27,31.74,74.65,43.75,5.05,2.09,2.85,21.3,23.54,30.9,2.95
"BOS","2022-10-17","2022020041","20222023","FLA","1",60,62.08,46.73,47.46,47.24,56.47,4.9,2.99,35.08,39.98,49.52,54.81,68.75,76.77,4.92,3.79,1.91,-4.9,-5.29,-8.02,1.13
"BOS","2022-10-18","2022020049","20222023","OTT","0",60,43.08,50.26,49.5,47.58,54.91,5.12,6.77,32.6,32.26,47.87,48.84,57.56,63.41,4.18,3.44,-1.65,0.34,-0.97,-5.85,0.75
"BOS","2022-10-20","2022020059","20222023","ANA","1",65,48.29,52.11,52.31,53.75,52.42,0.94,1.01,34.74,31.93,44.31,40.4,58.8,50.59,2.53,2.3,-0.07,2.82,3.91,8.21,0.23
"BOS","2022-10-22","2022020074","20222023","MIN","1",64.82,55.07,61.7,60.9,63.02,69.55,3.79,3.1,42.89,26.62,53.86,34.59,74.87,43.94,4.02,1.76,0.7,16.27,19.27,30.93,2.26
"BOS","2022-10-25","2022020100","20222023","DAL","1",60,74.2,48.07,47.61,44.97,57.06,2.91,1.01,28.9,31.22,35.78,39.38,40.97,50.13,3.43,2.58,1.9,-2.32,-3.59,-9.16,0.85
"BOS","2022-10-27","2022020111","20222023","DET","1",60,82.93,54.87,53.26,53.59,48.94,4.92,1.01,34.07,28.02,45.59,40.01,55.36,47.94,3.46,3.61,3.9,6.05,5.59,7.42,-0.15
"BOS","2022-10-28","2022020122","20222023","CBJ","0",60,100,60.13,62.34,60.46,66.76,4.39,0,40.12,26.6,52.79,31.89,73.79,48.27,2.91,1.45,4.39,13.52,20.9,25.52,1.46
"BOS","2022-11-01","2022020147","20222023","PIT","0",63.62,55.21,51.5,45.5,42.99,41.93,6.03,4.89,40.14,37.81,48.02,57.52,59.47,78.86,4,5.54,1.14,2.33,-9.5,-19.38,-1.54
"BOS","2022-11-03","2022020161","20222023","NYR","0",60,73.57,68.4,66.86,66.02,78.08,5.22,1.88,40.37,18.65,56.21,27.85,73.73,37.94,5.47,1.54,3.35,21.72,28.35,35.78,3.93
"BOS","2022-11-05","2022020179","20222023","TOR","0",60,34.04,42.53,46.2,49.67,37.97,0.97,1.88,20.73,28.01,32.7,38.08,47.11,47.73,1.09,1.77,-0.91,-7.28,-5.37,-0.62,-0.69
"BOS","2022-11-07","2022020194","20222023","STL","1",60,73.82,58.29,56.89,57.75,62.28,2.85,1.01,36.42,26.05,46.19,35,65.28,47.77,3.67,2.23,1.84,10.36,11.19,17.51,1.45
"BOS","2022-11-10","2022020211","20222023","CGY","1",60,73.32,44.64,42.92,41.54,59.01,2.92,1.06,26.65,33.05,38.25,50.86,45.06,63.41,3.56,2.47,1.85,-6.39,-12.62,-18.36,1.09
"BOS","2022-11-12","2022020228","20222023","BUF","0",60,77.08,49.54,49.63,49.75,48.92,3.14,0.93,30.38,30.94,42.4,43.02,55.02,55.57,2.82,2.94,2.2,-0.56,-0.62,-0.55,-0.12
"BOS","2022-11-13","2022020241","20222023","VAN","1",60,70.61,51.83,50.58,52.19,51.62,4.83,2.01,32.12,29.86,41.38,40.43,57.19,52.39,2.62,2.45,2.82,2.26,0.95,4.8,0.16
"BOS","2022-11-17","2022020265","20222023","PHI","1",60,79.58,58.41,58.32,61.54,63.7,3.92,1.01,31.95,22.75,48.53,34.69,69.11,43.19,3.93,2.24,2.92,9.2,13.84,25.92,1.69
"BOS","2022-11-19","2022020277","20222023","CHI","1",60,85.39,72.86,75.34,71.98,82.91,5.88,1.01,45.26,16.86,66.06,21.63,78.12,30.41,4.51,0.93,4.87,28.4,44.43,47.7,3.58
"BOS","2022-11-21","2022020291","20222023","T.B","0",60,66.32,49.99,45.74,49.41,53.72,5.41,2.75,32.27,32.29,37.01,43.91,47.88,49.03,3.09,2.66,2.66,-0.02,-6.9,-1.15,0.43
"BOS","2022-11-23","2022020304","20222023","FLA","0",60,30.5,54.2,51.25,52.89,45.27,2.15,4.9,37.87,32,45.61,43.39,62.29,55.48,3.59,4.34,-2.75,5.87,2.22,6.82,-0.75
"BOS","2022-11-25","2022020318","20222023","CAR","1",63.32,55.33,47.89,47.32,51.52,51.19,2.8,2.26,37.12,40.39,46,51.2,58.6,55.15,3.82,3.65,0.54,-3.27,-5.2,3.45,0.18
"BOS","2022-11-29","2022020355","20222023","T.B","1",60,74.32,49.61,50.61,49.38,69.26,2.91,1.01,26.75,27.18,35.01,34.16,48.79,50.02,3.29,1.46,1.91,-0.42,0.85,-1.23,1.83
