"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"BUF","2022-10-13","2022020013","20222023","OTT","1",60,78.82,49.06,51.5,50.99,59.03,3.95,1.06,35.66,37.03,44.72,42.12,54.73,52.6,3.75,2.6,2.89,-1.36,2.6,2.13,1.15
"BUF","2022-10-15","2022020025","20222023","FLA","1",60,39.43,38.38,34.01,35.04,29.24,2.82,4.33,25.06,40.23,30.45,59.08,39.74,73.67,1.82,4.4,-1.51,-15.17,-28.63,-33.94,-2.58
"BUF","2022-10-18","2022020054","20222023","EDM","0",60,68.12,37.71,38.35,41.44,44.32,4.19,1.96,26.86,44.36,37.91,60.95,50.91,71.95,3.91,4.91,2.23,-17.5,-23.04,-21.04,-1
"BUF","2022-10-20","2022020068","20222023","CGY","0",60,69.67,48.7,56.31,56.82,68.67,6.48,2.82,36.6,38.55,60.96,47.3,76.05,57.79,5.49,2.5,3.66,-1.95,13.66,18.26,2.99
"BUF","2022-10-22","2022020084","20222023","VAN","0",60,85.86,53.18,54.77,54.08,58.14,5.26,0.87,30.48,26.84,46.26,38.2,63.38,53.82,4.17,3,4.39,3.64,8.06,9.56,1.17
"BUF","2022-10-25","2022020105","20222023","SEA","0",60,17.09,37.03,38.21,45.89,32.22,1.01,4.91,15.01,25.52,22.45,36.29,37.8,44.57,1.67,3.52,-3.9,-10.51,-13.85,-6.77,-1.85
"BUF","2022-10-27","2022020114","20222023","MTL","1",60,36.17,54.33,52.87,51.26,53.6,1.8,3.18,42.37,35.61,54.33,48.43,66.4,63.13,3.36,2.91,-1.38,6.76,5.9,3.27,0.45
"BUF","2022-10-29","2022020131","20222023","CHI","1",60.6,54.32,59.93,57.4,58.17,54.7,3.73,3.14,41.96,28.06,50.93,37.81,71.43,51.36,4.51,3.73,0.59,13.9,13.12,20.07,0.77
"BUF","2022-10-31","2022020144","20222023","DET","1",60,72.1,72.85,69.6,70.4,66.58,7.83,3.03,47.12,17.56,62.22,27.18,75.33,31.67,2.96,1.49,4.8,29.56,35.04,43.65,1.48
"BUF","2022-11-02","2022020160","20222023","PIT","1",60,63.44,57.38,55.75,51.87,60.72,5.75,3.32,30.64,22.75,38.54,30.59,49.37,45.81,2.81,1.82,2.44,7.88,7.95,3.56,0.99
"BUF","2022-11-04","2022020174","20222023","CAR","0",60,39.6,42.91,41.7,43.91,44.44,3.13,4.77,24.65,32.8,35.58,49.75,46.08,58.87,2.9,3.62,-1.64,-8.15,-14.17,-12.79,-0.73
"BUF","2022-11-05","2022020180","20222023","T.B","0",60,39.11,45.17,49.15,52.74,44.91,3.08,4.79,24.11,29.26,37.59,38.88,54.48,48.82,3.37,4.13,-1.71,-5.15,-1.29,5.66,-0.76
"BUF","2022-11-08","2022020196","20222023","ARI","1",60,17.17,52.17,58.84,57.62,54.61,0.87,4.18,29.34,26.9,45.23,31.64,52.7,38.77,2.64,2.19,-3.31,2.44,13.59,13.93,0.45
"BUF","2022-11-10","2022020215","20222023","VGK","1",60,32.39,44.26,49.08,51.09,44.66,3.54,7.38,31.37,39.49,43.73,45.37,65.25,62.47,3.14,3.89,-3.85,-8.13,-1.64,2.78,-0.75
"BUF","2022-11-12","2022020228","20222023","BOS","1",60,22.92,50.46,50.37,50.25,51.08,0.93,3.14,30.94,30.38,43.02,42.4,55.57,55.02,2.94,2.82,-2.2,0.56,0.62,0.55,0.12
"BUF","2022-11-15","2022020252","20222023","VAN","1",60,40.25,44.54,46.41,47.26,35.27,3.75,5.57,28.91,36.01,42.06,48.57,58.66,65.45,2.58,4.73,-1.82,-7.09,-6.5,-6.79,-2.15
"BUF","2022-11-16","2022020257","20222023","OTT","0",60,20.51,42,42.61,47.84,30.83,1.01,3.9,29.5,40.73,38.31,51.6,56.21,61.3,2.6,5.83,-2.89,-11.23,-13.29,-5.09,-3.23
"BUF","2022-11-19","2022020276","20222023","TOR","0",60,29.12,56.35,55.13,55.77,46.37,2.01,4.9,32.4,25.1,41.15,33.5,58.34,46.28,2.93,3.39,-2.89,7.3,7.65,12.06,-0.46
"BUF","2022-11-22","2022020301","20222023","MTL","0",60,80.43,62.3,62.38,66.23,64.57,7.71,1.88,44.19,26.74,53.95,32.54,80.04,40.81,4.45,2.44,5.84,17.45,21.41,39.23,2.01
"BUF","2022-11-23","2022020307","20222023","STL","1",60,74.36,50.03,52.97,53.81,54.61,5.85,2.02,33.93,33.88,49.84,44.26,64.01,54.94,3.87,3.21,3.84,0.05,5.58,9.07,0.65
