"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"CAR","2022-10-12","2022020006","20222023","CBJ","1",60,78.43,56.77,63.4,65.22,54.54,3.86,1.06,43.19,32.88,74.29,42.88,97.05,51.75,3.75,3.13,2.8,10.3,31.41,45.3,0.62
"CAR","2022-10-14","2022020024","20222023","S.J","0",60,68.69,65.28,66.41,67.77,66.93,2.07,0.94,35.02,18.62,46.33,23.44,68.31,32.49,3.28,1.62,1.13,16.4,22.89,35.82,1.66
"CAR","2022-10-17","2022020047","20222023","SEA","0",60,86.54,66.09,69.98,69.61,66.49,5.57,0.87,39.3,20.16,59.1,25.36,77.36,33.77,4.18,2.1,4.7,19.13,33.74,43.59,2.07
"CAR","2022-10-20","2022020069","20222023","EDM","0",60,40.75,53.68,55.92,57.31,45.38,4.04,5.87,38.94,33.6,51.63,40.7,70.39,52.43,3.41,4.1,-1.83,5.33,10.93,17.96,-0.69
"CAR","2022-10-22","2022020085","20222023","CGY","0",64.5,42.91,48.96,55.86,59.45,61.16,2.13,2.84,28.85,30.08,45.19,35.72,61.6,42.02,3.82,2.43,-0.71,-1.22,9.47,19.58,1.4
"CAR","2022-10-24","2022020097","20222023","VAN","0",60,64.01,73.54,72.39,67.63,69.18,3.21,1.8,41.74,15.02,59.12,22.55,74.67,35.74,3.51,1.56,1.41,26.72,36.56,38.93,1.95
"CAR","2022-10-28","2022020124","20222023","NYI","1",60,22.96,47.9,56.34,59.81,48.75,1.88,6.29,31.57,34.34,52.88,40.98,77.61,52.15,3.2,3.37,-4.42,-2.77,11.9,25.46,-0.16
"CAR","2022-10-29","2022020130","20222023","PHI","0",64.1,59.94,59.68,63.88,64.44,63.22,4.11,2.75,40.37,27.27,60.71,34.33,78.86,43.52,4.91,2.85,1.36,13.1,26.38,35.35,2.05
"CAR","2022-10-31","2022020145","20222023","WSH","1",65,47.25,62.33,66.22,68.21,70.05,1.87,2.09,33.6,20.31,51.65,26.36,71.44,33.29,4.03,1.72,-0.22,13.29,25.3,38.15,2.3
"CAR","2022-11-03","2022020162","20222023","T.B","0",65,52.88,69.57,67.07,67.16,69.83,3.07,2.74,57.3,25.06,74.27,36.46,96.46,47.17,5.8,2.51,0.33,32.24,37.81,49.29,3.29
"CAR","2022-11-04","2022020174","20222023","BUF","1",60,60.4,57.09,58.3,56.09,55.56,4.77,3.13,32.8,24.65,49.75,35.58,58.87,46.08,3.62,2.9,1.64,8.15,14.17,12.79,0.73
"CAR","2022-11-06","2022020191","20222023","TOR","1",60,22.88,58.73,61.05,60.96,55.89,0.93,3.14,29.9,21.01,54.87,35.01,69.1,44.26,4.2,3.31,-2.21,8.89,19.86,24.85,0.89
"CAR","2022-11-09","2022020207","20222023","FLA","0",60,0,51.32,49.32,52.09,57.14,0,2.97,38.92,36.92,47.68,49,62.67,57.65,4.89,3.66,-2.97,2,-1.32,5.02,1.22
