"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"CBJ","2022-10-12","2022020006","20222023","CAR","0",60,21.57,43.23,36.6,34.78,45.46,1.06,3.86,32.88,43.19,42.88,74.29,51.75,97.05,3.13,3.75,-2.8,-10.3,-31.41,-45.3,-0.62
"CBJ","2022-10-14","2022020021","20222023","T.B","1",60,26.32,37.27,38.41,35.04,42.16,1.88,5.27,25.32,42.61,36.19,58.03,39.62,73.46,2.56,3.51,-3.39,-17.3,-21.85,-33.84,-0.95
"CBJ","2022-10-15","2022020033","20222023","STL","0",60,29.48,50.43,45.51,46.27,36.99,2.02,4.84,24.86,24.43,32.02,38.34,44.87,52.1,1.81,3.08,-2.82,0.42,-6.32,-7.23,-1.27
"CBJ","2022-10-18","2022020050","20222023","VAN","1",63.35,54.52,44.54,48.69,46.32,58.85,3.85,3.21,30.5,37.98,40.38,42.55,52.79,61.19,3.21,2.25,0.64,-7.48,-2.17,-8.4,0.97
"CBJ","2022-10-20","2022020063","20222023","NSH","1",60,59.57,57.1,56.86,52.45,58.08,4.72,3.2,37.9,28.47,52.82,40.08,69.46,62.98,4.13,2.98,1.52,9.43,12.74,6.49,1.15
"CBJ","2022-10-22","2022020081","20222023","PIT","1",60,31.93,44.03,42.2,45.18,35.38,2.93,6.24,31.18,39.63,38.55,52.8,55.7,67.6,2.3,4.21,-3.31,-8.45,-14.26,-11.9,-1.91
"CBJ","2022-10-23","2022020089","20222023","NYR","0",60,86.42,46.01,42.94,43.66,45.05,5.34,0.84,23.56,27.64,32.76,43.53,47.92,61.85,2.21,2.7,4.5,-4.08,-10.77,-13.93,-0.49
"CBJ","2022-10-25","2022020098","20222023","ARI","1",60,30.4,57.55,56.75,56.64,50.81,2.81,6.44,29.62,21.85,45.58,34.74,58.63,44.88,3.1,3,-3.63,7.77,10.84,13.75,0.1
"CBJ","2022-10-28","2022020122","20222023","BOS","1",60,0,39.87,37.66,39.54,33.24,0,4.39,26.6,40.12,31.89,52.79,48.27,73.79,1.45,2.91,-4.39,-13.52,-20.9,-25.52,-1.46
"CBJ","2022-10-30","2022020139","20222023","N.J","0",60,12.92,26.65,25.57,27.47,10.42,1.01,6.82,19.89,54.74,25.55,74.35,36.82,97.2,0.78,6.69,-5.81,-34.85,-48.81,-60.38,-5.91
"CBJ","2022-11-04","2022020175","20222023","COL","0",60,33.68,50.68,50.36,51.31,60.35,2.99,5.88,38.3,37.28,47.3,46.63,64.4,61.1,4.43,2.91,-2.89,1.03,0.67,3.3,1.52
"CBJ","2022-11-05","2022020185","20222023","COL","1",60,13.97,35.94,34.56,33.52,31,0.87,5.34,28.81,51.35,33.97,64.32,44.75,88.73,1.73,3.85,-4.47,-22.55,-30.35,-43.98,-2.12
"CBJ","2022-11-10","2022020214","20222023","PHI","1",60,71.13,48.61,49.2,48.37,52.12,4.99,2.02,30.48,32.22,42.99,44.39,56.56,60.37,4.43,4.07,2.96,-1.75,-1.4,-3.81,0.36
"CBJ","2022-11-12","2022020231","20222023","NYI","0",60.65,45.4,41.63,43.84,45.43,35.97,3.2,3.85,30.58,42.87,43.55,55.79,61.82,74.27,2.81,5.01,-0.65,-12.29,-12.23,-12.45,-2.19
"CBJ","2022-11-15","2022020250","20222023","PHI","1",63.23,54.82,47.36,43.51,42.52,58.61,4.9,4.04,33.01,36.69,39.93,51.84,56.63,76.54,3.43,2.42,0.86,-3.68,-11.91,-19.91,1.01
"CBJ","2022-11-17","2022020263","20222023","MTL","1",60,59.11,42.31,45.04,46.16,57.47,5.84,4.04,30.02,40.92,43.26,52.8,59.41,69.29,4.83,3.57,1.8,-10.9,-9.53,-9.88,1.26
"CBJ","2022-11-19","2022020279","20222023","DET","1",60,12.55,38.5,42.66,42.03,33.24,0.94,6.53,25.8,41.22,38.29,51.47,49.5,68.29,1.85,3.72,-5.6,-15.42,-13.18,-18.79,-1.87
"CBJ","2022-11-20","2022020289","20222023","FLA","1",60,60.81,31.83,33.87,28.81,32.32,4.79,3.08,23.28,49.85,34.43,67.23,38.77,95.78,1.86,3.89,1.7,-26.57,-32.8,-57.01,-2.03
"CBJ","2022-11-23","2022020306","20222023","MTL","1",60,23.7,49.35,50.8,52.79,54.86,0.94,3.04,29.67,30.45,39.26,38.02,59.11,52.87,3.1,2.55,-2.1,-0.78,1.24,6.24,0.55
"CBJ","2022-11-25","2022020326","20222023","NYI","1",60,33.9,47.85,45.59,42.47,48.63,1.71,3.33,24.16,26.33,36.18,43.18,48.79,66.09,3.2,3.38,-1.62,-2.17,-7,-17.3,-0.18
"CBJ","2022-11-28","2022020349","20222023","VGK","1",65,46.81,39.45,39.09,40.48,37.19,1.88,2.13,25.8,39.59,37.46,58.38,50.5,74.26,2.27,3.83,-0.26,-13.8,-20.92,-23.76,-1.56
"CBJ","2022-12-02","2022020378","20222023","WPG","0",60,80.54,46.24,46.2,47.49,57.81,4.27,1.03,29.59,34.4,46.72,54.42,70,77.42,5.34,3.9,3.24,-4.81,-7.69,-7.42,1.44
"CBJ","2022-12-04","2022020394","20222023","DET","1",60,28.4,43.29,44.28,43.4,43.11,1.8,4.55,31.06,40.68,40.95,51.54,50.52,65.88,3.33,4.39,-2.74,-9.62,-10.59,-15.36,-1.06
"CBJ","2022-12-06","2022020404","20222023","PIT","0",60,21.8,53.58,50.53,56.31,50.3,1.06,3.81,39.26,34.02,51.67,50.59,77.92,60.46,3.61,3.57,-2.74,5.24,1.08,17.45,0.04
"CBJ","2022-12-07","2022020412","20222023","BUF","1",60,27.44,36.98,44.9,41.26,52.91,3.75,9.92,20.84,35.51,32.92,40.39,40.82,58.11,2.37,2.11,-6.17,-14.67,-7.47,-17.29,0.26
"CBJ","2022-12-09","2022020424","20222023","CGY","1",60,75.37,47.37,46.93,43,56.54,2.97,0.97,27.88,30.98,43.62,49.33,49.76,65.96,3.51,2.7,2,-3.09,-5.71,-16.19,0.81
"CBJ","2022-12-11","2022020443","20222023","L.A","1",60.67,53.6,41.63,41.38,45.93,39.64,5.84,5.06,26.24,36.79,40.65,57.57,61.41,72.29,2.22,3.38,0.78,-10.55,-16.93,-10.88,-1.16
"CBJ","2022-12-13","2022020455","20222023","FLA","0",60,0,43.96,43.49,44.81,40.45,0,3.95,21.32,27.18,34.62,44.99,48.2,59.35,2.97,4.37,-3.95,-5.86,-10.37,-11.16,-1.4
"CBJ","2022-12-15","2022020470","20222023","T.B","0",60,20.56,46.14,45.57,46.04,29.55,1.01,3.91,24.86,29.01,36.02,43.02,52.7,61.77,1.7,4.06,-2.9,-4.16,-7,-9.07,-2.36
"CBJ","2022-12-17","2022020484","20222023","BOS","0",60,34.11,44.73,47.95,44.14,41.21,2.01,3.89,32.25,39.85,47.05,51.07,58.3,73.77,3.88,5.54,-1.88,-7.6,-4.02,-15.47,-1.66
"CBJ","2022-12-19","2022020502","20222023","DAL","1",60,33.73,42.31,46.54,40.88,30.8,1.03,2.03,26.44,36.06,43.95,50.49,54.83,79.3,2.06,4.64,-1,-9.62,-6.53,-24.47,-2.57
"CBJ","2022-12-20","2022020510","20222023","PHI","0",60,38.94,44.92,45.86,44.6,48.71,3.08,4.84,32.32,39.63,43.17,50.98,54.54,67.74,3.43,3.62,-1.75,-7.3,-7.8,-13.2,-0.18
"CBJ","2022-12-23","2022020540","20222023","CHI","0",60,29.16,41.02,45.68,46.57,45.84,2.02,4.9,27.48,39.52,42.24,50.22,55.87,64.11,2.97,3.51,-2.88,-12.03,-7.98,-8.24,-0.54
"CBJ","2022-12-29","2022020567","20222023","NYI","0",60,33.32,36.47,39.66,42.92,31.2,0.97,1.94,20.88,36.37,33.95,51.65,49.28,65.55,1.71,3.77,-0.97,-15.49,-17.7,-16.27,-2.06
"CBJ","2022-12-31","2022020583","20222023","CHI","1",60,78.26,57.41,52.66,57.86,57.43,3.82,1.06,37.72,27.98,47.71,42.88,65.27,47.54,3.27,2.42,2.76,9.74,4.83,17.73,0.85
"CBJ","2023-01-03","2022020601","20222023","OTT","0",60,0,38.12,39.66,42.46,32.93,0,3.95,21.41,34.75,30.09,45.78,46.37,62.83,2.03,4.13,-3.95,-13.34,-15.69,-16.46,-2.1
"CBJ","2023-01-05","2022020617","20222023","WSH","1",60,22.27,39.15,39.55,38.62,36.08,1.88,6.57,25.16,39.11,35.58,54.37,46.76,74.31,1.74,3.09,-4.69,-13.95,-18.79,-27.55,-1.34
"CBJ","2023-01-07","2022020629","20222023","CAR","1",65,48.07,29.14,29.39,29.52,26.05,2.87,3.1,17.57,42.71,23.55,56.57,28.69,68.5,1.41,4.01,-0.23,-25.15,-33.03,-39.81,-2.6
"CBJ","2023-01-08","2022020639","20222023","WSH","0",60,0,65.25,59.92,60.04,66.1,0,0.94,36.93,19.66,49.51,33.12,74.09,49.32,3.48,1.79,-0.94,17.26,16.39,24.77,1.7
"CBJ","2023-01-10","2022020648","20222023","T.B","0",60,33.96,31.56,40.34,41.95,43.66,3.04,5.9,22.48,48.75,39.43,58.33,53.26,73.69,2.89,3.73,-2.87,-26.27,-18.89,-20.43,-0.84
"CBJ","2023-01-12","2022020662","20222023","CAR","1",60,22.18,30.59,30.96,28.51,24.41,1.87,6.55,20.71,46.99,27.83,62.07,34.56,86.65,1.59,4.92,-4.68,-26.28,-34.24,-52.09,-3.33
"CBJ","2023-01-14","2022020678","20222023","DET","0",60,60.3,52.93,56.21,52.49,68.77,4.27,2.81,27.95,24.86,39.8,31.01,50.22,45.45,2.74,1.24,1.46,3.09,8.79,4.77,1.49
"CBJ","2023-01-16","2022020701","20222023","NYR","1",60,21.78,38.02,34.75,34.18,45.4,0.93,3.34,22.84,37.24,30.28,56.87,42.45,81.74,3.05,3.67,-2.41,-14.4,-26.59,-39.29,-0.62
"CBJ","2023-01-17","2022020338","20222023","NSH","0",60,34.36,58.33,54.59,53.45,61.36,1.01,1.93,39.18,27.99,54.3,45.16,66.62,58.02,4.84,3.05,-0.92,11.19,9.14,8.6,1.79
"CBJ","2023-01-19","2022020717","20222023","ANA","1",60,36.11,49.86,51.87,52.48,44.27,2.92,5.17,33.67,33.85,49.88,46.29,62.99,57.04,3.04,3.82,-2.25,-0.19,3.59,5.94,-0.79
"CBJ","2023-01-21","2022020736","20222023","S.J","1",60,59.65,49.82,54.47,57.85,51.08,4.72,3.19,27.36,27.56,43.29,36.18,55.47,40.42,2.72,2.6,1.53,-0.2,7.11,15.05,0.11
"CBJ","2023-01-23","2022020754","20222023","CGY","0",62.42,43.6,33.94,33.49,33.98,35.46,3.02,3.91,24.78,48.25,32.63,64.8,44.14,85.75,2.48,4.52,-0.89,-23.46,-32.16,-41.61,-2.04
"CBJ","2023-01-25","2022020769","20222023","EDM","0",62.48,61.92,44.55,51.11,49.55,47.67,3.04,1.87,27.96,34.79,43.34,41.45,63.68,64.84,3.12,3.42,1.17,-6.83,1.89,-1.16,-0.3
"CBJ","2023-01-27","2022020787","20222023","VAN","0",60,29.38,41.3,41.91,42.26,37.61,2.01,4.84,24.88,35.36,34.46,47.75,43.19,59.01,1.95,3.24,-2.82,-10.48,-13.3,-15.82,-1.29
"CBJ","2023-01-28","2022020798","20222023","SEA","0",60,25.73,42.94,41.29,41.88,41.77,1.01,2.92,24.12,32.05,35.67,50.73,48.48,67.29,2.5,3.49,-1.91,-7.93,-15.05,-18.81,-0.99
"CBJ","2023-01-31","2022020804","20222023","WSH","1",60.43,40.28,45.77,46.59,47.41,37.48,2.81,4.17,31.51,37.34,40.57,46.5,60.45,67.05,2.18,3.63,-1.36,-5.83,-5.93,-6.61,-1.45
"CBJ","2023-02-10","2022020829","20222023","TOR","1",60,0,36.78,38.81,38.11,33.99,0,3.22,27.03,46.45,37.7,59.43,49.86,80.98,2.2,4.27,-3.22,-19.42,-21.73,-31.12,-2.07
"CBJ","2023-02-11","2022020840","20222023","TOR","0",60,59.7,58.92,56.18,54.86,54.76,4.15,2.8,41.11,28.66,54.86,42.8,73.29,60.3,3.49,2.89,1.35,12.44,12.06,12.99,0.61
"CBJ","2023-02-14","2022020857","20222023","N.J","1",60,36.17,48.46,42.59,39.55,38.73,1.8,3.18,31.42,33.42,40.52,54.62,50.87,77.75,2.04,3.23,-1.38,-2,-14.1,-26.89,-1.19
"CBJ","2023-02-16","2022020872","20222023","WPG","1",60,72.53,36.43,34.85,34.83,42.47,2.84,1.08,22.61,39.45,32.95,61.59,43.28,80.98,3.86,5.22,1.77,-16.84,-28.64,-37.7,-1.37
"CBJ","2023-02-18","2022020887","20222023","DAL","0",60,81.61,58.94,57.62,56.28,61.74,4.16,0.94,39.42,27.47,60.33,44.37,78.87,61.27,3.65,2.26,3.22,11.96,15.96,17.6,1.39
"CBJ","2023-02-19","2022020901","20222023","ARI","0",62,40.49,57.93,61.49,56.03,65.46,2.02,2.97,35.02,25.43,58.29,36.5,72.05,56.54,4.8,2.53,-0.95,9.59,21.79,15.51,2.27
"CBJ","2023-02-23","2022020924","20222023","MIN","1",60,0,48.91,44.62,48.41,47.32,0,2.13,26.85,28.05,40.02,49.67,61.61,65.65,3.07,3.41,-2.13,-1.2,-9.66,-4.05,-0.35
"CBJ","2023-02-25","2022020936","20222023","EDM","1",60,53.54,36.47,39.71,39.26,39.67,5.85,5.07,26.86,46.78,41.23,62.6,50.18,77.64,3.41,5.19,0.77,-19.93,-21.37,-27.46,-1.78
