"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"CGY","2022-10-13","2022020018","20222023","COL","1",60,60.99,52.37,48.88,52.11,51.47,4.85,3.1,26.54,24.14,36.19,37.85,51.12,46.99,3.13,2.95,1.75,2.4,-1.66,4.13,0.18
"CGY","2022-10-15","2022020036","20222023","EDM","0",60,61.48,64.95,69.07,66.5,66.7,4.38,2.74,47.91,25.85,69.36,31.06,85.41,43.02,5.57,2.78,1.63,22.06,38.29,42.39,2.79
"CGY","2022-10-18","2022020055","20222023","VGK","1",60,55.67,61.03,56.89,60.3,68.21,2.68,2.13,36.76,23.48,48.64,36.85,69.66,45.86,4.23,1.97,0.54,13.28,11.79,23.8,2.26
"CGY","2022-10-20","2022020068","20222023","BUF","1",60,30.33,51.3,43.69,43.18,31.33,2.82,6.48,38.55,36.6,47.3,60.96,57.79,76.05,2.5,5.49,-3.66,1.95,-13.66,-18.26,-2.99
"CGY","2022-10-22","2022020085","20222023","CAR","1",64.5,57.09,51.04,44.14,40.55,38.84,2.84,2.13,30.08,28.85,35.72,45.19,42.02,61.6,2.43,3.82,0.71,1.22,-9.47,-19.58,-1.4
"CGY","2022-10-25","2022020104","20222023","PIT","1",60,79.56,54.47,52.34,55.11,47.5,3.92,1.01,36.92,30.86,50.45,45.93,71.35,58.13,3.13,3.46,2.91,6.06,4.51,13.22,-0.33
"CGY","2022-10-29","2022020137","20222023","EDM","1",60,37.89,60.65,57.01,56.38,47.36,1.88,3.08,41.16,26.7,56.37,42.51,72.17,55.85,3.44,3.83,-1.2,14.45,13.86,16.32,-0.38
"CGY","2022-11-01","2022020155","20222023","SEA","1",60,42.58,58.74,59.81,58.1,57.27,3.82,5.15,38.14,26.78,47.63,32,65.64,47.33,2.53,1.89,-1.33,11.36,15.63,18.31,0.64
"CGY","2022-11-03","2022020169","20222023","NSH","1",60,17.96,42.61,42.21,46.79,34.06,0.94,4.28,26.66,35.91,36.07,49.38,56.92,64.74,2.38,4.6,-3.35,-9.25,-13.31,-7.82,-2.22
"CGY","2022-11-05","2022020187","20222023","N.J","1",62.63,39.98,41.48,42.65,43.78,39.85,2.82,4.24,27.24,38.43,39.98,53.75,53.95,69.29,2.71,4.1,-1.41,-11.2,-13.78,-15.34,-1.38
"CGY","2022-11-07","2022020193","20222023","NYI","0",64.03,46.08,62.64,60.11,58.3,59.34,3.19,3.74,49.08,29.27,59.14,39.25,79.34,56.75,3.84,2.63,-0.54,19.81,19.89,22.59,1.21
"CGY","2022-11-08","2022020197","20222023","N.J","0",60,42.57,65.57,65.79,58.21,62.8,2.08,2.81,36.51,19.17,55.24,28.73,64.33,46.19,3.15,1.87,-0.73,17.34,26.51,18.14,1.29
"CGY","2022-11-10","2022020211","20222023","BOS","0",60,26.68,55.36,57.08,58.46,40.99,1.06,2.92,33.05,26.65,50.86,38.25,63.41,45.06,2.47,3.56,-1.85,6.39,12.62,18.36,-1.09
"CGY","2022-11-12","2022020236","20222023","WPG","1",60,57.41,60.78,56.54,53.06,44.16,2.82,2.09,35.07,22.63,41.08,31.58,56.69,50.15,2.26,2.86,0.73,12.44,9.5,6.54,-0.6
"CGY","2022-11-14","2022020246","20222023","L.A","1",60,53.06,52.79,51.47,54.82,57.67,5.8,5.13,31.4,28.09,40.73,38.41,59.59,49.12,3.49,2.56,0.67,3.32,2.33,10.47,0.93
"CGY","2022-11-17","2022020260","20222023","T.B","0",60,20.26,61.12,57,56.52,33.91,1.01,3.96,38.72,24.62,50.46,38.07,67.98,52.29,2.23,4.34,-2.95,14.09,12.39,15.69,-2.11
"CGY","2022-11-19","2022020275","20222023","FLA","0",65,53.71,53.73,55.62,54.28,57.95,4.27,3.68,37.67,32.44,54.32,43.34,68.78,57.94,3.25,2.36,0.59,5.23,10.98,10.84,0.89
"CGY","2022-11-21","2022020292","20222023","PHI","0",60,73.26,59.45,62.21,58.49,75.97,5.14,1.88,33.58,22.9,46.18,28.05,64.36,45.68,5.14,1.63,3.27,10.67,18.13,18.68,3.51
"CGY","2022-11-23","2022020305","20222023","PIT","0",65,51.71,46.54,48.04,45.23,40.31,1.01,0.94,33.8,38.83,46.78,50.59,59.41,71.92,2.4,3.56,0.07,-5.03,-3.82,-12.52,-1.16
"CGY","2022-11-25","2022020319","20222023","WSH","0",60,0,54.35,50.04,48.63,49.83,0,2.93,30.86,25.92,40.64,40.57,56.31,59.48,3.06,3.08,-2.93,4.94,0.07,-3.17,-0.02
"CGY","2022-11-26","2022020333","20222023","CAR","0",60,41.79,37.32,39.57,39.87,33.53,2.02,2.81,19.73,33.13,34.79,53.13,44.36,66.92,2.2,4.35,-0.79,-13.4,-18.34,-22.55,-2.16
"CGY","2022-11-29","2022020358","20222023","FLA","1",60,74.39,44.04,51.96,53.89,60.51,5.88,2.02,24.37,30.96,42.52,39.31,57.49,49.19,3.62,2.37,3.85,-6.59,3.21,8.3,1.26
"CGY","2022-12-01","2022020372","20222023","MTL","1",60,30.49,66.77,61.18,64.42,65.26,0.94,2.14,41.98,20.9,54.34,34.48,75.12,41.49,4.53,2.41,-1.2,21.08,19.87,33.63,2.12
"CGY","2022-12-03","2022020390","20222023","WSH","1",60,70.12,55.59,57.81,60.58,61.31,4.9,2.09,36.34,29.02,53.49,39.03,74.75,48.63,3.42,2.16,2.81,7.31,14.45,26.11,1.26
