"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"CHI","2022-10-12","2022020008","20222023","COL","0",60,29.28,30.86,30.45,33.01,48.66,2.01,4.86,16.16,36.21,20.81,47.53,31.87,64.7,2.13,2.25,-2.85,-20.05,-26.72,-32.82,-0.12
"CHI","2022-10-13","2022020019","20222023","VGK","0",60,0,42.47,39.95,41.8,32.84,0,0.94,27.55,37.32,34.79,52.3,53.86,75,2.49,5.08,-0.94,-9.77,-17.51,-21.14,-2.6
"CHI","2022-10-15","2022020038","20222023","S.J","0",60,73.04,51.53,49.6,42.71,57.2,5.24,1.93,26.54,24.96,35.37,35.94,38.58,51.75,2.68,2,3.3,1.57,-0.56,-13.17,0.67
"CHI","2022-10-21","2022020072","20222023","DET","1",62.27,53.86,46.08,45.76,43.79,42.81,3.87,3.32,26.56,31.08,37.2,44.1,49.67,63.76,2.5,3.33,0.56,-4.52,-6.9,-14.09,-0.84
"CHI","2022-10-23","2022020087","20222023","SEA","1",60,51.96,39.92,39.27,38.33,40.14,4.55,4.2,24.56,36.96,34.96,54.07,44.17,71.07,2.32,3.47,0.34,-12.4,-19.11,-26.91,-1.14
"CHI","2022-10-25","2022020103","20222023","FLA","1",60,66.07,43.62,37.45,35.19,48.59,3.94,2.02,23.04,29.78,29.29,48.91,36.31,66.89,3.42,3.61,1.92,-6.74,-19.62,-30.57,-0.2
"CHI","2022-10-27","2022020116","20222023","EDM","1",60,42.36,47.08,43.53,44.32,60.03,4.68,6.37,34.54,38.82,42.19,54.72,48.98,61.54,4.22,2.81,-1.69,-4.28,-12.53,-12.55,1.41
"CHI","2022-10-29","2022020131","20222023","BUF","0",60.6,45.68,40.07,42.6,41.83,45.3,3.14,3.73,28.06,41.96,37.81,50.93,51.36,71.43,3.73,4.51,-0.59,-13.9,-13.12,-20.07,-0.77
"CHI","2022-10-30","2022020140","20222023","MIN","1",65,47.83,40.5,38.05,38.77,37.22,2.83,3.08,24.77,36.39,32.1,52.28,42.49,67.12,2.08,3.52,-0.26,-11.62,-20.17,-24.62,-1.43
"CHI","2022-11-01","2022020152","20222023","NYI","1",60,21.74,35.92,41.88,40.52,30.25,0.87,3.12,20.16,35.96,29.37,40.75,40.94,60.1,1.47,3.4,-2.25,-15.8,-11.39,-19.15,-1.92
"CHI","2022-11-03","2022020168","20222023","L.A","1",61.52,66.15,35.45,37.13,34.28,33.15,1.98,1.01,18.53,33.75,29.2,49.45,38.1,73.05,1.29,2.6,0.97,-15.21,-20.25,-34.95,-1.31
"CHI","2022-11-05","2022020176","20222023","WPG","0",60,0,43.97,42.16,41.58,41.14,0,3.92,29.74,37.9,39.77,54.56,49.57,69.66,2.69,3.86,-3.92,-8.16,-14.79,-20.09,-1.16
"CHI","2022-11-10","2022020220","20222023","L.A","0",64.97,35.33,49.81,46.59,44.49,47.42,1.08,1.97,33.36,33.62,41.77,47.89,55.32,69.02,3.65,4.05,-0.89,-0.26,-6.12,-13.7,-0.4
"CHI","2022-11-12","2022020234","20222023","ANA","0",60,61.48,34.94,39.24,37.51,51.34,3.08,1.93,22.14,41.24,34.42,53.3,41.16,68.57,3.57,3.38,1.15,-19.09,-18.88,-27.41,0.19
"CHI","2022-11-14","2022020245","20222023","CAR","1",60,0,39.26,35.4,33.89,51.49,0,3.2,23.7,36.67,27.96,51.02,33.61,65.58,2.86,2.7,-3.2,-12.97,-23.06,-31.96,0.17
"CHI","2022-11-16","2022020258","20222023","STL","1",60,24.85,37.83,40.8,45.08,35.77,1.8,5.46,24.04,39.5,32.84,47.64,48.12,58.63,2.48,4.45,-3.65,-15.46,-14.8,-10.51,-1.97
"CHI","2022-11-19","2022020277","20222023","BOS","0",60,14.61,27.14,24.66,28.02,17.09,1.01,5.88,16.86,45.26,21.63,66.06,30.41,78.12,0.93,4.51,-4.87,-28.4,-44.43,-47.7,-3.58
"CHI","2022-11-20","2022020290","20222023","PIT","1",60,34.9,51.01,50.78,47.79,39.98,2.81,5.23,28.94,27.8,39.38,38.16,52.15,56.97,2.47,3.71,-2.43,1.14,1.22,-4.82,-1.24
"CHI","2022-11-23","2022020313","20222023","DAL","0",60,42.66,47.84,48.3,43.53,40.96,4.22,5.66,33.13,36.12,44.24,47.36,58.42,75.79,3.35,4.83,-1.45,-2.99,-3.12,-17.37,-1.48
"CHI","2022-11-25","2022020321","20222023","MTL","1",65,45.76,53.03,48.47,48.56,54.74,1.8,2.14,28.49,25.23,38.47,40.89,51.51,54.57,3.05,2.52,-0.33,3.26,-2.42,-3.05,0.53
"CHI","2022-11-27","2022020342","20222023","WPG","1",60,18.86,30.73,38.56,36.23,42.29,1.8,7.76,22.39,50.47,34.7,55.29,42.1,74.1,2.95,4.03,-5.96,-28.08,-20.58,-32,-1.08
"CHI","2022-11-30","2022020364","20222023","EDM","1",60,41.39,33.2,33.85,37.25,34.87,3.78,5.34,22.7,45.67,28.09,54.9,42.38,71.4,2.53,4.72,-1.57,-22.97,-26.8,-29.02,-2.19
"CHI","2022-12-03","2022020387","20222023","NYR","0",60,74.78,49.59,41.32,44.36,51.5,5.63,1.9,24.57,24.98,31.6,44.89,49.48,62.05,3.55,3.34,3.73,-0.41,-13.28,-12.57,0.21
"CHI","2022-12-04","2022020396","20222023","NYI","0",60,0,33.81,39.76,39.97,42.9,0,2.92,20.69,40.51,35.32,53.51,49.85,74.86,2.44,3.24,-2.92,-19.82,-18.19,-25.01,-0.81
"CHI","2022-12-06","2022020403","20222023","N.J","0",60,0,43.15,36.43,34.1,36.98,0,2.93,23.04,30.36,27.74,48.41,37.74,72.93,1.93,3.29,-2.93,-7.32,-20.67,-35.19,-1.36
"CHI","2022-12-09","2022020428","20222023","WPG","1",60,22.06,36.93,34.58,36.42,25.53,0.94,3.32,20.75,35.43,30.56,57.82,43.79,76.44,1.47,4.28,-2.38,-14.68,-27.26,-32.65,-2.81
"CHI","2022-12-13","2022020463","20222023","WSH","1",60,26.52,42.65,40.25,37.64,45.54,2.74,7.6,25.3,34.01,34.67,51.46,46.44,76.93,3.25,3.88,-4.86,-8.71,-16.8,-30.49,-0.64
"CHI","2022-12-15","2022020478","20222023","VGK","1",60,17.91,45.15,40.19,44.28,31.11,0.94,4.3,22.61,27.47,26.83,39.94,40.98,51.56,1.63,3.61,-3.36,-4.86,-13.1,-10.58,-1.98
"CHI","2022-12-16","2022020481","20222023","MIN","0",60,20.26,55.69,49.99,45.34,37.46,1.01,3.96,28.69,22.83,33.4,33.41,44.27,53.37,2.06,3.44,-2.95,5.86,-0.01,-9.11,-1.38
"CHI","2022-12-18","2022020499","20222023","NYR","1",60,10.99,47.29,47.02,49.35,37.59,0.94,7.6,26.68,29.74,38.98,43.92,51.76,53.13,2.03,3.36,-6.66,-3.06,-4.94,-1.37,-1.34
"CHI","2022-12-21","2022020521","20222023","NSH","1",60,30.37,47.33,45.65,43.92,43.27,1.88,4.32,36.52,40.64,49.2,58.56,60.78,77.6,2.99,3.92,-2.43,-4.11,-9.37,-16.82,-0.93
"CHI","2022-12-23","2022020540","20222023","CBJ","1",60,70.84,58.98,54.32,53.43,54.16,4.9,2.02,39.52,27.48,50.22,42.24,64.11,55.87,3.51,2.97,2.88,12.03,7.98,8.24,0.54
"CHI","2022-12-27","2022020548","20222023","CAR","0",60,0,30.15,32,34.71,35.29,0,2.92,22.54,52.2,31.07,66.03,44.05,82.84,2.24,4.11,-2.92,-29.67,-34.96,-38.79,-1.87
"CHI","2022-12-29","2022020568","20222023","STL","0",60,25.6,43.31,43.35,46.2,40.58,1.01,2.92,21.95,28.74,28,36.59,40.39,47.03,1.94,2.84,-1.92,-6.78,-8.59,-6.64,-0.9
"CHI","2022-12-31","2022020583","20222023","CBJ","0",60,21.74,42.59,47.34,42.14,42.57,1.06,3.82,27.98,37.72,42.88,47.71,47.54,65.27,2.42,3.27,-2.76,-9.74,-4.83,-17.73,-0.85
"CHI","2023-01-01","2022020593","20222023","S.J","1",60,27,42.45,46.98,46.4,26.5,1.93,5.23,21.25,28.82,35.79,40.4,50,57.75,1.61,4.47,-3.29,-7.56,-4.61,-7.75,-2.86
"CHI","2023-01-03","2022020605","20222023","T.B","1",60,18.09,44.86,40.54,45.48,33.46,0.93,4.22,24.66,30.31,32.18,47.19,51.27,61.47,2.15,4.27,-3.29,-5.65,-15.01,-10.2,-2.12
"CHI","2023-01-06","2022020625","20222023","ARI","1",60,100,59.2,62.83,60.45,56.26,1.98,0,31.84,21.94,47.56,28.14,60.74,39.74,2.99,2.32,1.98,9.9,19.42,21,0.66
"CHI","2023-01-08","2022020640","20222023","CGY","1",61.07,56.4,34.57,34.14,35.43,43.49,3.91,3.02,24.84,47.02,32.74,63.15,47.02,85.68,2.82,3.67,0.89,-22.18,-30.41,-38.66,-0.84
"CHI","2023-01-12","2022020671","20222023","COL","1",60,58.35,47.32,43.23,41.67,42.97,2.84,2.02,29.98,33.38,36.03,47.33,46.41,64.96,3.1,4.11,0.81,-3.4,-11.29,-18.55,-1.01
"CHI","2023-01-14","2022020687","20222023","SEA","1",60,34.72,40.14,41.33,38.45,31.71,4.55,8.55,23.63,35.24,34.83,49.43,38.68,61.93,1.75,3.77,-4,-11.61,-14.6,-23.25,-2.02
"CHI","2023-01-17","2022020709","20222023","BUF","1",62.4,54.81,40.27,39.33,41.72,38.95,3.95,3.26,24.03,35.64,36.01,55.56,49.49,69.14,2.65,4.15,0.69,-11.61,-19.55,-19.66,-1.5
"CHI","2023-01-19","2022020719","20222023","PHI","0",60,81.32,45.31,43.58,43.27,48.46,4.11,0.94,30.02,36.23,40.47,52.39,56.85,74.53,3.93,4.18,3.17,-6.21,-11.92,-17.67,-0.25
"CHI","2023-01-21","2022020741","20222023","STL","0",60,66.56,41.72,42.74,45.13,45.15,5.46,2.74,20.79,29.04,27.72,37.15,41.41,50.35,1.96,2.38,2.71,-8.25,-9.43,-8.94,-0.42
"CHI","2023-01-22","2022020747","20222023","L.A","1",60,30.55,36.26,36.9,41.16,28.63,0.94,2.13,17.01,29.9,26.67,45.62,37.85,54.11,1.82,4.53,-1.19,-12.89,-18.94,-16.26,-2.71
"CHI","2023-01-24","2022020765","20222023","VAN","0",60,30.47,24.21,31.07,31.8,20.27,2.12,4.84,14.8,46.35,27.25,60.44,35.71,76.57,1.61,6.35,-2.72,-31.55,-33.2,-40.86,-4.74
"CHI","2023-01-26","2022020777","20222023","CGY","0",60,84.8,49.51,49.73,45.71,55.76,5.23,0.94,31.61,32.24,47.25,47.77,54.16,64.32,4.49,3.56,4.3,-0.63,-0.52,-10.17,0.93
"CHI","2023-01-28","2022020797","20222023","EDM","0",60,30.81,37.64,37.52,39.28,30.9,3.03,6.81,27.67,45.85,33.32,55.48,48.67,75.24,2.55,5.71,-3.78,-18.18,-22.16,-26.58,-3.16
"CHI","2023-02-07","2022020818","20222023","ANA","1",62.25,38.71,51.57,57.93,59.98,52.32,1.89,2.99,28.24,26.52,43.72,31.75,60.78,40.55,2.4,2.19,-1.1,1.72,11.97,20.23,0.21
"CHI","2023-02-10","2022020830","20222023","ARI","1",63.62,55.07,60.5,54.35,52.06,58.47,3.85,3.14,41.92,27.37,52.92,44.45,62.18,57.27,3.19,2.27,0.71,14.55,8.47,4.91,0.93
"CHI","2023-02-11","2022020844","20222023","WPG","0",60,20.35,51.96,51.64,51.37,34.38,1.01,3.96,31.16,28.8,44.84,41.99,64.44,61.01,3.32,6.33,-2.95,2.36,2.85,3.43,-3.01
"CHI","2023-02-14","2022020856","20222023","MTL","0",60,0,39.39,43.15,41.76,37.99,0,3.9,21.1,32.47,31.11,40.99,44.16,61.58,1.97,3.21,-3.9,-11.36,-9.87,-17.43,-1.24
"CHI","2023-02-15","2022020864","20222023","TOR","0",60,29.43,38.24,35.31,37.83,22.42,2.02,4.85,27.44,44.33,32.14,58.88,43.63,71.68,1.55,5.38,-2.83,-16.88,-26.74,-28.06,-3.82
"CHI","2023-02-17","2022020878","20222023","OTT","0",62.87,58.51,52.67,53.6,49.45,53.81,4.05,2.87,32.83,29.5,43.72,37.84,51.16,52.3,3.14,2.7,1.18,3.33,5.88,-1.15,0.45
"CHI","2023-02-19","2022020899","20222023","TOR","1",60,61.58,45.32,42.7,38.66,46.1,4.86,3.03,28.27,34.1,35.09,47.09,42.47,67.39,3.37,3.94,1.83,-5.83,-12,-24.92,-0.57
"CHI","2023-02-21","2022020915","20222023","VGK","1",65,48.16,48.93,50.31,48.27,49.37,1.97,2.12,36.97,38.59,48.01,47.41,61.65,66.06,3.43,3.52,-0.15,-1.62,0.59,-4.41,-0.09
"CHI","2023-02-22","2022020918","20222023","DAL","0",60,58.29,42.1,42.86,40.24,40.81,4.09,2.93,23.13,31.81,37.35,49.79,48.34,71.8,2.15,3.11,1.16,-8.68,-12.44,-23.46,-0.97
"CHI","2023-02-25","2022020946","20222023","S.J","0",65,52.25,44.95,47.06,45.76,44.51,3.18,2.91,37.14,45.48,51.97,58.48,64.06,75.92,3.68,4.59,0.27,-8.34,-6.5,-11.86,-0.91
"CHI","2023-02-27","2022020957","20222023","ANA","0",60,35.38,44.02,47.43,44.95,55.39,2.08,3.8,26.09,33.19,40.35,44.72,49.33,60.41,3.38,2.72,-1.72,-7.1,-4.38,-11.08,0.66
"CHI","2023-02-28","2022020966","20222023","ARI","0",60,20.56,39.59,48.61,48.63,39.33,1.01,3.91,22.87,34.89,36.1,38.16,49.9,52.72,1.7,2.62,-2.9,-12.02,-2.07,-2.82,-0.92
"CHI","2023-03-02","2022020979","20222023","DAL","1",60,26.69,33.75,34.24,36.61,25.56,1.88,5.15,19.42,38.12,29.37,56.41,43.73,75.71,2.43,7.08,-3.28,-18.7,-27.04,-31.98,-4.65
"CHI","2023-03-04","2022020998","20222023","NSH","1",60,23.74,50.51,49.43,48.26,37.24,0.94,3.04,26.52,25.98,37.25,38.12,47,50.39,2.5,4.22,-2.09,0.53,-0.87,-3.39,-1.71
"CHI","2023-03-06","2022021009","20222023","OTT","1",60,100,39.66,39.45,35.55,49.29,4.84,0,22.37,34.04,32.84,50.41,36.78,66.69,3.28,3.38,4.84,-11.67,-17.56,-29.9,-0.09
"CHI","2023-03-08","2022021022","20222023","DET","0",60,46.53,35.88,34.93,39.86,26.46,3.21,3.69,21.38,38.21,26.88,50.07,39.73,59.95,1.5,4.18,-0.48,-16.83,-23.19,-20.22,-2.67
"CHI","2023-03-10","2022021036","20222023","FLA","0",62.72,45.05,39.91,47.88,45.54,52.52,3.1,3.78,26,39.14,43.98,47.88,53.83,64.38,3.27,2.95,-0.68,-13.15,-3.9,-10.55,0.31
"CHI","2023-03-11","2022021042","20222023","T.B","0",60,25.72,38.63,41.78,41.13,37.49,1.01,2.92,22.97,36.48,36.13,50.35,45.05,64.48,2.31,3.85,-1.91,-13.52,-14.22,-19.43,-1.54
"CHI","2023-03-14","2022021070","20222023","BOS","1",60,65.28,40.89,39.35,41.01,51.47,5.8,3.08,28.92,41.8,34.95,53.88,44.21,63.59,4.29,4.05,2.71,-12.88,-18.93,-19.38,0.24
"CHI","2023-03-16","2022021085","20222023","NSH","0",60,67.36,40.5,45.31,47.56,61.19,2.13,1.03,22.85,33.56,39.38,47.53,56.27,62.06,4.23,2.68,1.1,-10.71,-8.14,-5.78,1.55
