"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"COL","2022-10-12","2022020008","20222023","CHI","1",60,70.72,69.14,69.55,66.99,51.34,4.86,2.01,36.21,16.16,47.53,20.81,64.7,31.87,2.25,2.13,2.85,20.05,26.72,32.82,0.12
"COL","2022-10-13","2022020018","20222023","CGY","0",60,39.01,47.63,51.12,47.89,48.53,3.1,4.85,24.14,26.54,37.85,36.19,46.99,51.12,2.95,3.13,-1.75,-2.4,1.66,-4.13,-0.18
"COL","2022-10-17","2022020045","20222023","MIN","0",60,69.92,53.58,53.33,51.59,58.21,6.43,2.77,41.12,35.62,52.08,45.58,64.69,60.71,3.61,2.59,3.66,5.5,6.5,3.98,1.02
"COL","2022-10-19","2022020057","20222023","WPG","1",60.52,39.5,50,46.14,50.74,47.51,2.74,4.2,30.42,30.42,37.71,44.01,60.65,58.87,2.26,2.5,-1.46,0,-6.3,1.78,-0.24
"COL","2022-10-21","2022020073","20222023","SEA","1",60,35.99,31.04,37.7,42.49,36.93,1.8,3.21,18.52,41.15,29.6,48.92,42.88,58.05,1.87,3.2,-1.41,-22.62,-19.32,-15.17,-1.33
"COL","2022-10-22","2022020086","20222023","VGK","0",60,64.13,45.86,50.26,56.28,45.01,3.22,1.8,27.17,32.08,42.32,41.87,71.84,55.82,2.61,3.18,1.42,-4.91,0.44,16.02,-0.58
"COL","2022-10-25","2022020099","20222023","NYR","0",65,53.45,53.04,48.89,51.66,52.96,2.15,1.88,47.94,42.44,53.73,56.16,71.5,66.92,4.14,3.68,0.28,5.5,-2.43,4.58,0.46
"COL","2022-10-28","2022020123","20222023","N.J","0",60,0,51.83,51.07,51,55.19,0,0.93,24.41,22.68,34.83,33.37,52.23,50.19,2.43,1.97,-0.93,1.73,1.46,2.04,0.46
"COL","2022-10-29","2022020135","20222023","NYI","0",60,46.64,49.75,50.65,53.4,42.41,4.19,4.79,40.34,40.74,51.7,50.36,67.84,59.21,4.07,5.52,-0.6,-0.4,1.34,8.63,-1.46
"COL","2022-11-04","2022020175","20222023","CBJ","1",60,66.32,49.32,49.64,48.69,39.65,5.88,2.99,37.28,38.3,46.63,47.3,61.1,64.4,2.91,4.43,2.89,-1.03,-0.67,-3.3,-1.52
"COL","2022-11-05","2022020185","20222023","CBJ","0",60,86.03,64.06,65.44,66.48,69,5.34,0.87,51.35,28.81,64.32,33.97,88.73,44.75,3.85,1.73,4.47,22.55,30.35,43.98,2.12
"COL","2022-11-10","2022020219","20222023","NSH","1",60,60.83,49.45,53.78,49.92,57.83,4.78,3.08,33.99,34.74,48.74,41.89,61.73,61.94,3.4,2.48,1.7,-0.75,6.85,-0.21,0.92
