"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"DAL","2022-10-13","2022020016","20222023","NSH","0",60,82.74,54.21,56.23,52.21,69.46,4.5,0.94,33.83,28.58,46.88,36.49,55.9,51.16,4.19,1.84,3.56,5.25,10.39,4.73,2.35
"DAL","2022-10-15","2022020035","20222023","NSH","1",60,82.88,44.59,39.31,45.19,59.6,4.87,1.01,23.02,28.6,35.84,55.34,55.89,67.79,4.52,3.06,3.87,-5.58,-19.5,-11.9,1.45
"DAL","2022-10-17","2022020046","20222023","WPG","1",60,78.46,53.54,47.87,45.91,52.88,3.87,1.06,28.64,24.86,40.89,44.52,51.88,61.14,3.31,2.95,2.8,3.79,-3.63,-9.26,0.36
"DAL","2022-10-20","2022020061","20222023","TOR","0",63.77,42.09,41.7,50.23,52.98,38.9,2.07,2.84,29.24,40.87,46.13,45.7,68.23,60.56,2.96,4.65,-0.78,-11.63,0.43,7.67,-1.69
"DAL","2022-10-22","2022020078","20222023","MTL","0",60,74.44,52.05,58.14,58.82,63.19,5.46,1.88,33.39,30.75,49.65,35.75,66.89,46.83,4.28,2.5,3.59,2.64,13.9,20.06,1.79
"DAL","2022-10-24","2022020092","20222023","OTT","0",60,35.38,52.2,48.81,48.2,52.8,2.07,3.79,32.59,29.85,41.2,43.2,58.41,62.76,3.31,2.96,-1.71,2.74,-2,-4.36,0.35
"DAL","2022-10-25","2022020100","20222023","BOS","0",60,25.8,51.93,52.39,55.03,42.94,1.01,2.91,31.22,28.9,39.38,35.78,50.13,40.97,2.58,3.43,-1.9,2.32,3.59,9.16,-0.85
"DAL","2022-10-27","2022020117","20222023","WSH","1",60,100,50.7,48.81,49.19,57.06,1.94,0,27.38,26.63,39.64,41.58,55.36,57.19,3.31,2.49,1.94,0.76,-1.94,-1.83,0.82
"DAL","2022-10-29","2022020127","20222023","NYR","1",60,31.04,52.33,46.52,46.18,38.76,2.82,6.27,31.17,28.39,39.32,45.21,54.12,63.08,2.43,3.84,-3.45,2.78,-5.89,-8.95,-1.41
"DAL","2022-11-01","2022020153","20222023","L.A","1",60,70.56,57.58,56.11,58.92,53.43,4.84,2.02,41.48,30.56,53.8,42.09,78.16,54.49,3.04,2.65,2.82,10.92,11.71,23.67,0.39
"DAL","2022-11-03","2022020172","20222023","ARI","0",60,80.2,62.11,56.75,59.94,65.27,7.6,1.88,42.6,25.99,51.04,38.89,72.68,48.57,3.93,2.09,5.72,16.61,12.15,24.11,1.84
"DAL","2022-11-05","2022020177","20222023","EDM","0",60,78.64,60.83,60.76,60.26,60.62,6.64,1.8,41.43,26.68,58.74,37.93,74.09,48.86,5.06,3.29,4.84,14.75,20.8,25.23,1.77
"DAL","2022-11-08","2022020204","20222023","WPG","0",60,17.82,39.51,42.11,45.78,30.77,1.06,4.89,21.65,33.16,30.27,41.62,44.48,52.69,1.77,3.99,-3.83,-11.5,-11.35,-8.21,-2.22
"DAL","2022-11-11","2022020223","20222023","S.J","1",60,41.63,57.55,63.76,67.12,47.66,3.76,5.27,26.55,19.59,46.29,26.31,67.66,33.14,2.83,3.1,-1.51,6.97,19.98,34.52,-0.28
"DAL","2022-11-13","2022020238","20222023","PHI","0",60,85.83,51.72,54.37,51.74,58.26,5.68,0.94,35.81,33.44,50.99,42.8,63.08,58.83,3.9,2.8,4.74,2.38,8.19,4.24,1.11
"DAL","2022-11-15","2022020248","20222023","T.B","0",63.72,45.97,46.11,46.18,44.26,43.83,4.08,4.79,31.76,37.12,43.02,50.14,52.73,66.4,3.78,4.84,-0.71,-5.36,-7.12,-13.67,-1.06
"DAL","2022-11-17","2022020262","20222023","FLA","0",60,63.64,46.11,48.66,51.55,53.53,6.31,3.61,33.74,39.43,45.64,48.16,65.4,61.46,4.27,3.71,2.71,-5.69,-2.52,3.94,0.56
"DAL","2022-11-19","2022020284","20222023","NYI","1",60,69.37,52.52,53.38,50.72,61.62,4.84,2.14,33.61,30.39,45.29,39.55,59.12,57.45,4.19,2.61,2.7,3.22,5.74,1.67,1.58
"DAL","2022-11-21","2022020298","20222023","COL","1",65,47.97,36.57,34.74,39.53,26.09,1.97,2.14,22.27,38.64,28.84,54.16,47.78,73.1,1.84,5.21,-0.17,-16.36,-25.32,-25.32,-3.37
"DAL","2022-11-23","2022020313","20222023","CHI","1",60,57.34,52.16,51.7,56.47,59.04,5.66,4.22,36.12,33.13,47.36,44.24,75.79,58.42,4.83,3.35,1.45,2.99,3.12,17.37,1.48
"DAL","2022-11-25","2022020330","20222023","WPG","1",60.57,42.56,55.88,57.51,54.85,59.86,3.87,5.22,38.24,30.19,52.72,38.96,66.52,54.76,4.25,2.85,-1.35,8.04,13.76,11.76,1.4
"DAL","2022-11-26","2022020339","20222023","COL","0",60,20.52,51.22,51.93,51.38,54.01,1.01,3.9,39.85,37.95,45.62,42.23,56.94,53.89,3.45,2.94,-2.89,1.9,3.39,3.06,0.51
"DAL","2022-11-28","2022020350","20222023","STL","0",60,81.64,53.38,53.99,60.4,55.25,4.17,0.94,25.79,22.52,39.23,33.42,61.96,40.62,2.82,2.29,3.23,3.27,5.8,21.34,0.54
"DAL","2022-12-01","2022020371","20222023","ANA","1",60,100,59.28,60.01,61.39,61.01,4.91,0,43.34,29.78,56.29,37.52,81.32,51.14,4.3,2.75,4.91,13.57,18.78,30.18,1.55
"DAL","2022-12-04","2022020393","20222023","MIN","1",65,47.13,47.91,46.14,49.52,54.85,4.78,5.37,31.71,34.48,39.92,46.6,58.11,59.24,3.06,2.52,-0.58,-2.77,-6.68,-1.13,0.54
