"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"DET","2022-10-14","2022020022","20222023","MTL","1",60,100,56.8,60,57.07,77.63,3.01,0,38.56,29.33,47.27,31.51,63.08,47.45,5.46,1.57,3.01,9.23,15.76,15.63,3.89
"DET","2022-10-15","2022020028","20222023","N.J","0",60,73.74,38.43,40.95,40.36,34.6,5.29,1.88,23.37,37.44,33.79,48.73,45.54,67.29,2.2,4.16,3.4,-14.07,-14.94,-21.75,-1.96
"DET","2022-10-17","2022020044","20222023","L.A","1",61.2,42.28,44.11,43.79,42.45,41.2,3.78,5.16,30.71,38.91,40.45,51.91,50.62,68.63,2.99,4.27,-1.38,-8.2,-11.47,-18.01,-1.28
"DET","2022-10-21","2022020072","20222023","CHI","0",62.27,46.14,53.92,54.24,56.21,57.19,3.32,3.87,31.08,26.56,44.1,37.2,63.76,49.67,3.33,2.5,-0.56,4.52,6.9,14.09,0.84
"DET","2022-10-23","2022020088","20222023","ANA","1",60,82.69,57.61,51.85,48.5,55.49,4.84,1.01,43.05,31.68,47.39,44.01,56.9,60.42,3.9,3.13,3.82,11.38,3.38,-3.53,0.77
"DET","2022-10-25","2022020102","20222023","N.J","1",60,22.25,29.92,32.35,35.33,36.47,1.88,6.58,19.52,45.71,27.44,57.39,38.83,71.1,1.77,3.09,-4.7,-26.19,-29.95,-32.26,-1.32
"DET","2022-10-27","2022020111","20222023","BOS","0",60,17.07,45.13,46.74,46.41,51.06,1.01,4.92,28.02,34.07,40.01,45.59,47.94,55.36,3.61,3.46,-3.9,-6.05,-5.59,-7.42,0.15
"DET","2022-10-29","2022020132","20222023","MIN","1",60,63.81,42.06,41.71,40.64,47.55,1.87,1.06,23.48,32.34,33.03,46.17,45.15,65.96,2.32,2.56,0.81,-8.87,-13.14,-20.81,-0.24
"DET","2022-10-31","2022020144","20222023","BUF","0",60,27.9,27.15,30.4,29.6,33.42,3.03,7.83,17.56,47.12,27.18,62.22,31.67,75.33,1.49,2.96,-4.8,-29.56,-35.04,-43.65,-1.48
"DET","2022-11-03","2022020164","20222023","WSH","1",60,72.83,40.96,42.21,37.49,48.42,2.84,1.06,24.64,35.52,33.03,45.22,39.63,66.07,2.87,3.06,1.78,-10.88,-12.19,-26.44,-0.19
