"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"EDM","2022-10-12","2022020010","20222023","VAN","1",60,57.99,36.2,35.68,38.19,47.44,4.58,3.32,22.92,40.41,29.2,52.63,44.05,71.31,3.18,3.52,1.26,-17.48,-23.43,-27.26,-0.34
"EDM","2022-10-15","2022020036","20222023","CGY","1",60,38.52,35.05,30.93,33.5,33.3,2.74,4.38,25.85,47.91,31.06,69.36,43.02,85.41,2.78,5.57,-1.63,-22.06,-38.29,-42.39,-2.79
"EDM","2022-10-18","2022020054","20222023","BUF","1",60,31.88,62.29,61.65,58.56,55.68,1.96,4.19,44.36,26.86,60.95,37.91,71.95,50.91,4.91,3.91,-2.23,17.5,23.04,21.04,1
"EDM","2022-10-20","2022020069","20222023","CAR","1",60,59.25,46.32,44.08,42.69,54.62,5.87,4.04,33.6,38.94,40.7,51.63,52.43,70.39,4.1,3.41,1.83,-5.33,-10.93,-17.96,0.69
"EDM","2022-10-22","2022020077","20222023","STL","1",60,0,46.87,45.43,53.35,42.52,0,2.05,21.25,24.09,30.36,36.48,52.56,45.95,2.02,2.73,-2.05,-2.83,-6.12,6.61,-0.71
"EDM","2022-10-24","2022020094","20222023","PIT","1",60,64.37,55.99,56.25,53.73,56.49,5.67,3.14,45.65,35.89,62.88,48.91,71.22,61.33,4.45,3.43,2.53,9.76,13.96,9.89,1.02
"EDM","2022-10-26","2022020109","20222023","STL","0",60,78.11,46.56,48.08,55.17,58.96,3.09,0.87,30.36,34.84,43.92,47.43,68.08,55.33,4.19,2.92,2.22,-4.48,-3.51,12.75,1.28
"EDM","2022-10-27","2022020116","20222023","CHI","0",60,57.64,52.92,56.47,55.68,39.97,6.37,4.68,38.82,34.54,54.72,42.19,61.54,48.98,2.81,4.22,1.69,4.28,12.53,12.55,-1.41
"EDM","2022-10-29","2022020137","20222023","CGY","0",60,62.11,39.35,42.99,43.62,52.64,3.08,1.88,26.7,41.16,42.51,56.37,55.85,72.17,3.83,3.44,1.2,-14.45,-13.86,-16.32,0.38
"EDM","2022-11-01","2022020154","20222023","NSH","1",60,62.96,63.89,61.18,65.36,67.93,6.88,4.05,38.81,21.94,50.57,32.09,76.68,40.63,4.96,2.34,2.83,16.88,18.48,36.05,2.62
"EDM","2022-11-03","2022020170","20222023","N.J","1",60,41.31,46.8,45,43.46,49.18,2.88,4.1,37.48,42.6,49.81,60.87,60.65,78.91,4.09,4.22,-1.21,-5.12,-11.06,-18.26,-0.14
"EDM","2022-11-05","2022020177","20222023","DAL","1",60,21.36,39.17,39.24,39.74,39.38,1.8,6.64,26.68,41.43,37.93,58.74,48.86,74.09,3.29,5.06,-4.84,-14.75,-20.8,-25.23,-1.77
"EDM","2022-11-07","2022020195","20222023","WSH","0",60,45.6,47.22,46.83,44.3,44.58,4.08,4.86,28.41,31.76,42.06,47.75,54.24,68.19,2.84,3.53,-0.79,-3.35,-5.69,-13.95,-0.69
"EDM","2022-11-08","2022020202","20222023","T.B","0",60,64.01,48.23,49.54,48.76,57.86,3.34,1.88,32.44,34.82,40.31,41.06,55.27,58.07,3.85,2.8,1.46,-2.38,-0.75,-2.8,1.05
"EDM","2022-11-10","2022020212","20222023","CAR","0",60,22.68,39.41,43.14,38.52,44.78,2.02,6.88,21.48,33.03,40.95,53.98,45.37,72.43,3.39,4.18,-4.86,-11.54,-13.03,-27.05,-0.79
"EDM","2022-11-12","2022020226","20222023","FLA","0",60,69.84,46.04,44.56,43.54,51.89,4.18,1.8,33.76,39.58,39.31,48.92,47.85,62.04,3.67,3.4,2.37,-5.82,-9.61,-14.19,0.27
"EDM","2022-11-16","2022020259","20222023","L.A","1",60,23.28,37.87,40.58,51.48,39.59,0.94,3.09,21.21,34.79,29.27,42.86,55.52,52.34,1.85,2.83,-2.15,-13.58,-13.59,3.18,-0.97
"EDM","2022-11-19","2022020287","20222023","VGK","1",61.28,56.26,39.23,43.54,44,46.29,3.85,2.99,22.54,34.91,34.12,44.25,47.38,60.31,3.05,3.53,0.86,-12.38,-10.13,-12.93,-0.49
"EDM","2022-11-21","2022020293","20222023","N.J","0",60,29.42,50.3,45.5,44.63,49.87,2.02,4.84,29.11,28.76,40.88,48.96,50.88,63.13,3.06,3.08,-2.82,0.35,-8.09,-12.25,-0.02
"EDM","2022-11-23","2022020310","20222023","NYI","0",60,0,59.53,60.89,60.19,71.93,0,2.92,46.74,31.78,57.56,36.98,70.42,46.58,5.71,2.23,-2.92,14.96,20.58,23.84,3.48
"EDM","2022-11-26","2022020332","20222023","NYR","0",60,58.47,56.68,65.73,62.94,60.06,4.11,2.92,30.79,23.53,53,27.63,63.59,37.44,3.15,2.1,1.19,7.25,25.37,26.15,1.05
"EDM","2022-11-28","2022020351","20222023","FLA","1",60.37,55.17,55.72,52.59,54.11,51.92,3.88,3.15,37.33,29.66,49.17,44.33,63.91,54.21,3.78,3.5,0.73,7.67,4.84,9.7,0.28
"EDM","2022-11-30","2022020364","20222023","CHI","0",60,58.61,66.8,66.15,62.75,65.13,5.34,3.78,45.67,22.7,54.9,28.09,71.4,42.38,4.72,2.53,1.57,22.97,26.8,29.02,2.19
"EDM","2022-12-01","2022020370","20222023","MIN","0",60,40.37,41.01,42.96,45.88,39.65,3.15,4.65,20.82,29.95,30.89,41.02,46.9,55.32,1.84,2.81,-1.5,-9.13,-10.12,-8.42,-0.96
"EDM","2022-12-03","2022020381","20222023","MTL","1",60,59.57,39.48,38.97,41.17,53.49,4.66,3.16,21.36,32.74,30.7,48.09,42.43,60.64,3.74,3.25,1.5,-11.38,-17.39,-18.21,0.49
"EDM","2022-12-05","2022020400","20222023","WSH","1",60,37.89,35.95,38.39,41.04,28.94,1.88,3.08,28.94,51.56,39.41,63.24,53.94,77.49,2.07,5.08,-1.2,-22.62,-23.83,-23.54,-3.01
"EDM","2022-12-07","2022020416","20222023","ARI","1",60,78.95,68.53,66.13,67.82,72.64,7.86,2.09,37.03,17.01,47.85,24.51,66.33,31.47,4.4,1.66,5.76,20.02,23.34,34.86,2.75
"EDM","2022-12-09","2022020429","20222023","MIN","1",60,70.88,47.77,47.55,48.35,40.54,4.91,2.02,39.16,42.81,44.33,48.89,58.66,62.66,4.23,6.2,2.89,-3.65,-4.56,-4,-1.97
"EDM","2022-12-12","2022020452","20222023","MIN","0",60,34.88,41.18,41.63,45.95,42.6,1.01,1.88,20.83,29.75,31.86,44.67,44.34,52.16,2.01,2.71,-0.87,-8.92,-12.81,-7.82,-0.7
