"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"FLA","2022-10-13","2022020014","20222023","NYI","0",60,78.11,49.8,50.22,55.75,56.81,3.09,0.87,31.09,31.34,46.54,46.12,73.6,58.43,5.2,3.95,2.22,-0.25,0.41,15.17,1.25
"FLA","2022-10-15","2022020025","20222023","BUF","0",60,60.57,61.62,65.99,64.96,70.76,4.33,2.82,40.23,25.06,59.08,30.45,73.67,39.74,4.4,1.82,1.51,15.17,28.63,33.94,2.58
"FLA","2022-10-17","2022020041","20222023","BOS","0",60,37.92,53.27,52.54,52.76,43.53,2.99,4.9,39.98,35.08,54.81,49.52,76.77,68.75,3.79,4.92,-1.91,4.9,5.29,8.02,-1.13
"FLA","2022-10-19","2022020056","20222023","PHI","1",60,56.41,51.94,56.69,57.2,56.28,3.87,2.99,35.79,33.11,50.99,38.96,64.83,48.5,3.46,2.69,0.88,2.67,12.03,16.33,0.77
"FLA","2022-10-21","2022020071","20222023","T.B","1",62.13,37.19,52.67,48.56,49.33,41.87,1.88,3.18,36.83,33.1,42.58,45.11,57.29,58.85,2.57,3.57,-1.3,3.73,-2.53,-1.56,-1
"FLA","2022-10-23","2022020090","20222023","NYI","1",60,58.4,58.26,56.1,61.02,58.15,2.92,2.08,33.59,24.06,41.8,32.71,63.67,40.68,3.17,2.28,0.84,9.53,9.09,22.99,0.89
"FLA","2022-10-25","2022020103","20222023","CHI","0",60,33.93,56.38,62.55,64.81,51.41,2.02,3.94,29.78,23.04,48.91,29.29,66.89,36.31,3.61,3.42,-1.92,6.74,19.62,30.57,0.2
"FLA","2022-10-27","2022020112","20222023","PHI","0",60,45.56,70.61,71.97,74.31,75.48,3.13,3.74,51.88,21.59,78.06,30.4,109.89,38,5.69,1.85,-0.61,30.29,47.65,71.89,3.84
"FLA","2022-10-29","2022020128","20222023","OTT","1",60,61.61,69.18,68.22,65.23,70.54,4.86,3.03,58.6,26.1,69.54,32.39,85.27,45.45,7.31,3.05,1.83,32.5,37.15,39.82,4.26
"FLA","2022-11-01","2022020156","20222023","ARI","0",60,27.25,68.11,65.21,67.38,64.16,1.06,2.83,42.71,20,62.55,33.37,84.62,40.96,5.2,2.9,-1.77,22.71,29.18,43.66,2.29
"FLA","2022-11-03","2022020173","20222023","S.J","0",65,53.37,56.46,58.79,59.24,51.53,3.12,2.72,47.25,36.44,65.27,45.75,87.3,60.06,4.44,4.17,0.39,10.81,19.51,27.24,0.26
"FLA","2022-11-05","2022020189","20222023","L.A","0",60,46.87,52.31,55.31,55.54,48.3,4.15,4.7,40.03,36.5,60.07,48.53,78.16,62.58,3.77,4.04,-0.55,3.53,11.53,15.58,-0.26
"FLA","2022-11-06","2022020192","20222023","ANA","0",60,64.39,61.41,60.49,65.1,72.2,5.26,2.91,51.73,32.51,65.24,42.62,99.79,53.49,6.14,2.36,2.35,19.22,22.63,46.3,3.77
"FLA","2022-11-09","2022020207","20222023","CAR","1",60,100,48.68,50.68,47.91,42.86,2.97,0,36.92,38.92,49,47.68,57.65,62.67,3.66,4.89,2.97,-2,1.32,-5.02,-1.22
"FLA","2022-11-12","2022020226","20222023","EDM","1",60,30.16,53.96,55.44,56.46,48.11,1.8,4.18,39.58,33.76,48.92,39.31,62.04,47.85,3.4,3.67,-2.37,5.82,9.61,14.19,-0.27
"FLA","2022-11-15","2022020253","20222023","WSH","1",60,70.7,51.52,46.06,47.67,50.63,4.95,2.05,44.28,41.67,50.36,58.97,67.6,74.22,3.83,3.74,2.9,2.61,-8.61,-6.62,0.1
"FLA","2022-11-17","2022020262","20222023","DAL","1",60,36.36,53.89,51.34,48.45,46.47,3.61,6.31,39.43,33.74,48.16,45.64,61.46,65.4,3.71,4.27,-2.71,5.69,2.52,-3.94,-0.56
"FLA","2022-11-19","2022020275","20222023","CGY","1",65,46.29,46.27,44.38,45.72,42.05,3.68,4.27,32.44,37.67,43.34,54.32,57.94,68.78,2.36,3.25,-0.59,-5.23,-10.98,-10.84,-0.89
"FLA","2022-11-20","2022020289","20222023","CBJ","0",60,39.19,68.17,66.13,71.19,67.68,3.08,4.79,49.85,23.28,67.23,34.43,95.78,38.77,3.89,1.86,-1.7,26.57,32.8,57.01,2.03
"FLA","2022-11-23","2022020304","20222023","BOS","1",60,69.5,45.8,48.75,47.11,54.73,4.9,2.15,32,37.87,43.39,45.61,55.48,62.29,4.34,3.59,2.75,-5.87,-2.22,-6.82,0.75
"FLA","2022-11-26","2022020334","20222023","STL","1",61.13,43.83,52.92,55.32,52.64,56.39,3.92,5.02,39.49,35.14,48.03,38.8,56.9,51.2,3.1,2.39,-1.1,4.35,9.24,5.7,0.7
"FLA","2022-11-28","2022020351","20222023","EDM","0",60.37,44.83,44.28,47.41,45.89,48.08,3.15,3.88,29.66,37.33,44.33,49.17,54.21,63.91,3.5,3.78,-0.73,-7.67,-4.84,-9.7,-0.28
"FLA","2022-11-29","2022020358","20222023","CGY","0",60,25.61,55.96,48.04,46.11,39.49,2.02,5.88,30.96,24.37,39.31,42.52,49.19,57.49,2.37,3.62,-3.85,6.59,-3.21,-8.3,-1.26
"FLA","2022-12-01","2022020373","20222023","VAN","0",60,85.07,54.93,56.09,56.53,68.21,5.34,0.94,35.96,29.51,51.18,40.07,64.64,49.7,4.32,2.01,4.41,6.46,11.11,14.93,2.31
"FLA","2022-12-03","2022020389","20222023","SEA","0",60,85.83,49.14,49.62,52,57.51,5.68,0.94,31.53,32.63,43.04,43.69,58.52,54.02,4.11,3.04,4.74,-1.1,-0.66,4.5,1.07
"FLA","2022-12-06","2022020408","20222023","WPG","0",60,29.2,54.62,50.58,49.96,46.19,2.02,4.89,38.63,32.1,52.83,51.63,63.03,63.13,3.66,4.26,-2.88,6.53,1.2,-0.1,-0.6
"FLA","2022-12-08","2022020419","20222023","DET","1",60,82.96,68.78,64.71,65.35,57.67,4.9,1.01,42.38,19.23,54.85,29.92,73.48,38.97,3.34,2.45,3.89,23.14,24.93,34.51,0.89
"FLA","2022-12-10","2022020436","20222023","T.B","0",60,20.75,39.01,44.24,47.86,48.1,1.01,3.87,24.56,38.4,41.69,52.53,60.07,65.44,3.33,3.59,-2.85,-13.84,-10.85,-5.37,-0.26
"FLA","2022-12-11","2022020444","20222023","SEA","1",60,25.98,37.72,38.94,38.12,28.53,1.88,5.34,22.09,36.47,33.59,52.66,42.17,68.47,2.17,5.44,-3.47,-14.38,-19.07,-26.3,-3.27
"FLA","2022-12-13","2022020455","20222023","CBJ","1",60,100,56.04,56.51,55.19,59.55,3.95,0,27.18,21.32,44.99,34.62,59.35,48.2,4.37,2.97,3.95,5.86,10.37,11.16,1.4
"FLA","2022-12-15","2022020474","20222023","PIT","1",60,30.78,44.15,44.67,47.03,33.86,1.88,4.24,32.93,41.66,46.31,57.37,54.73,61.65,2.73,5.34,-2.35,-8.73,-11.05,-6.92,-2.61
"FLA","2022-12-17","2022020488","20222023","N.J","0",60,69.06,52.4,46.58,47.84,57.36,4.19,1.88,32.16,29.21,40.26,46.18,58.6,63.9,3.41,2.54,2.31,2.95,-5.92,-5.3,0.88
"FLA","2022-12-19","2022020504","20222023","BOS","0",60,30.6,57.68,55.61,53.72,53.88,3.04,6.88,37.07,27.2,48.75,38.92,62.11,53.5,3.02,2.58,-3.85,9.87,9.83,8.6,0.44
