"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"L.A","2022-10-11","2022020004","20222023","VGK","1",60,40.12,35.66,40.68,39.44,32.22,2.82,4.21,29.15,52.6,41.84,61.01,54.28,83.35,2.52,5.29,-1.39,-23.45,-19.17,-29.07,-2.78
"L.A","2022-10-13","2022020020","20222023","SEA","1",60,17.17,50.55,49.18,50.7,43.13,0.87,4.18,24.79,24.25,35.56,36.74,48.73,47.38,2.56,3.38,-3.31,0.54,-1.18,1.35,-0.82
"L.A","2022-10-15","2022020034","20222023","MIN","0",60,58.73,55.28,53.49,48.91,58.28,7.7,5.41,38.72,31.32,49.49,43.02,57.94,60.53,3.76,2.69,2.29,7.39,6.46,-2.59,1.07
"L.A","2022-10-17","2022020044","20222023","DET","0",61.2,57.72,55.89,56.21,57.55,58.8,5.16,3.78,38.91,30.71,51.91,40.45,68.63,50.62,4.27,2.99,1.38,8.2,11.47,18.01,1.28
"L.A","2022-10-18","2022020052","20222023","NSH","0",65,51.1,51.05,48.91,50.32,55.08,3.1,2.97,33.93,32.53,44.83,46.82,60.56,59.81,4.04,3.29,0.13,1.4,-1.99,0.76,0.74
"L.A","2022-10-20","2022020062","20222023","PIT","0",60,14.57,51.04,54.28,52.39,56.48,1.01,5.9,38.22,36.66,51.4,43.29,69.26,62.96,3.85,2.97,-4.89,1.55,8.11,6.31,0.88
"L.A","2022-10-22","2022020079","20222023","WSH","0",60,45.5,47.4,45.79,47.47,47.99,3.14,3.77,26.93,29.88,37.53,44.44,55.48,61.4,2.27,2.46,-0.62,-2.95,-6.91,-5.92,-0.19
"L.A","2022-10-25","2022020106","20222023","T.B","1",60,66.05,57.68,58.12,55.2,51.87,3.85,1.98,34.5,25.31,45.91,33.09,67.43,54.72,3.46,3.21,1.87,9.19,12.83,12.72,0.25
"L.A","2022-10-27","2022020120","20222023","WPG","1",60,37.74,69.26,63.97,66.39,58.54,3.74,6.16,42.41,18.82,52.1,29.34,73.65,37.28,3.51,2.49,-2.43,23.59,22.76,36.37,1.02
"L.A","2022-10-29","2022020134","20222023","TOR","1",60,64.38,50.61,48.42,50.37,47.13,3.78,2.09,28.84,28.15,40.7,43.36,53.94,53.14,3.17,3.55,1.69,0.7,-2.66,0.8,-0.39
"L.A","2022-10-31","2022020146","20222023","STL","0",60,85.12,57.86,62.62,60.37,55.83,5.36,0.94,34.26,24.95,56.47,33.71,67.55,44.34,3.4,2.69,4.43,9.31,22.76,23.21,0.71
"L.A","2022-11-01","2022020153","20222023","DAL","0",60,29.44,42.42,43.89,41.08,46.57,2.02,4.84,30.56,41.48,42.09,53.8,54.49,78.16,2.65,3.04,-2.82,-10.92,-11.71,-23.67,-0.39
"L.A","2022-11-03","2022020168","20222023","CHI","0",61.52,33.85,64.55,62.87,65.72,66.85,1.01,1.98,33.75,18.53,49.45,29.2,73.05,38.1,2.6,1.29,-0.97,15.21,20.25,34.95,1.31
"L.A","2022-11-05","2022020189","20222023","FLA","1",60,53.13,47.69,44.69,44.46,51.7,4.7,4.15,36.5,40.03,48.53,60.07,62.58,78.16,4.04,3.77,0.55,-3.53,-11.53,-15.58,0.26
"L.A","2022-11-08","2022020206","20222023","MIN","1",60,100,57.28,56.77,58.84,63.29,0.94,0,29.04,21.66,43.4,33.05,64.56,45.16,2.82,1.63,0.94,7.38,10.36,19.39,1.18
"L.A","2022-11-10","2022020220","20222023","CHI","1",64.97,64.67,50.19,53.41,55.51,52.58,1.97,1.08,33.62,33.36,47.89,41.77,69.02,55.32,4.05,3.65,0.89,0.26,6.12,13.7,0.4
"L.A","2022-11-12","2022020237","20222023","DET","1",60,56.42,51.99,53.37,53.94,46.59,3.86,2.98,21.81,20.14,36.17,31.6,59.73,51.02,1.78,2.04,0.88,1.67,4.56,8.72,-0.26
"L.A","2022-11-14","2022020246","20222023","CGY","0",60,46.94,47.21,48.53,45.18,42.33,5.13,5.8,28.09,31.4,38.41,40.73,49.12,59.59,2.56,3.49,-0.67,-3.32,-2.33,-10.47,-0.93
"L.A","2022-11-16","2022020259","20222023","EDM","0",60,76.72,62.13,59.42,48.52,60.41,3.09,0.94,34.79,21.21,42.86,29.27,52.34,55.52,2.83,1.85,2.15,13.58,13.59,-3.18,0.97
"L.A","2022-11-18","2022020273","20222023","VAN","0",60,20.54,58.56,59.05,53.4,64.27,1.01,3.92,36.75,26.01,50.48,35.01,60.43,52.73,3.89,2.17,-2.9,10.74,15.47,7.7,1.73
"L.A","2022-11-19","2022020286","20222023","SEA","0",62.38,42.35,49.99,50.51,56.65,47.03,2.09,2.84,28.86,28.88,40.65,39.84,63.05,48.25,2.14,2.41,-0.75,-0.01,0.82,14.79,-0.27
"L.A","2022-11-22","2022020302","20222023","NYR","1",60,36.42,60.18,56.35,52.3,50.2,2.88,5.02,37.55,24.84,42.48,32.9,56.37,51.41,2.74,2.71,-2.15,12.7,9.58,4.96,0.02
"L.A","2022-11-25","2022020331","20222023","S.J","0",60,73.67,52.94,51.05,50.22,49.92,5.25,1.88,32.06,28.51,44.39,42.57,63.07,62.51,3.29,3.3,3.37,3.56,1.82,0.56,-0.01
"L.A","2022-11-27","2022020345","20222023","OTT","1",60.33,35.79,37.39,41.18,40.61,31.59,1.73,3.11,25.12,42.07,38.85,55.5,54.53,79.75,2.16,4.67,-1.38,-16.95,-16.65,-25.23,-2.51
"L.A","2022-11-29","2022020360","20222023","SEA","1",62.13,43.52,50.22,49.1,49.29,52.14,7.37,9.56,32.02,31.74,45.29,46.95,54.88,56.47,3.75,3.45,-2.19,0.28,-1.66,-1.59,0.31
"L.A","2022-12-01","2022020375","20222023","ARI","1",60,59.07,57.11,52.49,54.02,58.43,4.63,3.21,30.16,22.65,37.64,34.07,52.08,44.34,3.41,2.43,1.42,7.51,3.57,7.75,0.98
"L.A","2022-12-03","2022020391","20222023","CAR","1",60,30.19,45.54,40.9,44.73,46.19,1.8,4.17,29.23,34.96,39.72,57.4,54.13,66.88,3.24,3.77,-2.37,-5.73,-17.68,-12.75,-0.53
"L.A","2022-12-06","2022020406","20222023","OTT","0",60,76.28,52.95,55.53,55.33,53.51,5.57,1.73,32.55,28.92,45.96,36.8,67.39,54.4,2.89,2.51,3.84,3.62,9.16,12.99,0.38
"L.A","2022-12-08","2022020420","20222023","TOR","0",60,0,39.63,42.8,44.97,31.34,0,4.88,27.69,42.18,40.13,53.63,53.63,65.64,1.73,3.79,-4.88,-14.49,-13.51,-12.01,-2.06
"L.A","2022-12-10","2022020439","20222023","MTL","0",60,68.98,66.95,63.02,57.91,69.07,4.17,1.88,39.82,19.66,56.12,32.92,70.14,50.98,5.37,2.4,2.3,20.16,23.19,19.17,2.96
"L.A","2022-12-11","2022020443","20222023","CBJ","0",60.67,46.4,58.37,58.62,54.07,60.36,5.06,5.84,36.79,26.24,57.57,40.65,72.29,61.41,3.38,2.22,-0.78,10.55,16.93,10.88,1.16
"L.A","2022-12-13","2022020457","20222023","BUF","0",60,0,56.65,54,46.48,44.98,0,5.88,40.55,31.04,48.97,41.71,55.69,64.12,2.26,2.77,-5.88,9.51,7.26,-8.44,-0.51
"L.A","2022-12-15","2022020472","20222023","BOS","0",65,50.73,45.99,48.37,46.82,50.83,2.09,2.03,29.73,34.91,46.03,49.14,61.35,69.69,3,2.9,0.06,-5.18,-3.11,-8.34,0.1
"L.A","2022-12-17","2022020496","20222023","S.J","1",65,47.51,60.52,56.21,55.33,57.09,1.87,2.07,39.42,25.72,47.92,37.33,67.41,54.42,3.82,2.87,-0.2,13.7,10.59,12.99,0.95
"L.A","2022-12-20","2022020516","20222023","ANA","1",60,79.3,62.62,61.47,57.7,66.69,3.85,1.01,41.37,24.7,57.07,35.77,74.58,54.68,4.24,2.12,2.85,16.67,21.3,19.91,2.12
"L.A","2022-12-22","2022020531","20222023","CGY","1",63.38,55.91,50.44,52.17,48.24,50.62,3.9,3.08,30.86,30.32,45.49,41.71,58.45,62.72,3.23,3.15,0.82,0.54,3.78,-4.27,0.08
"L.A","2022-12-23","2022020543","20222023","ARI","0",65,52.04,53.8,53.53,48.44,49.75,1.01,0.93,27.36,23.5,40.75,35.37,50.55,53.8,2.38,2.41,0.08,3.87,5.37,-3.25,-0.02
"L.A","2022-12-27","2022020557","20222023","VGK","1",60,65.13,48.76,46.52,46.26,44.69,3.86,2.07,24.34,25.58,33.06,38,48.57,56.43,2.41,2.99,1.79,-1.24,-4.94,-7.86,-0.57
"L.A","2022-12-29","2022020571","20222023","COL","0",65,53.05,51.91,55.17,48.33,45.69,4.16,3.68,28.17,26.1,42.56,34.58,51.9,55.49,1.72,2.05,0.48,2.07,7.98,-3.59,-0.32
"L.A","2022-12-31","2022020581","20222023","PHI","1",60,31.54,54.98,54.28,57.78,44.66,1.87,4.06,28.28,23.16,39.87,33.59,61.38,44.85,2.32,2.87,-2.19,5.12,6.29,16.53,-0.55
"L.A","2023-01-03","2022020608","20222023","DAL","1",60,58.24,53.59,51.36,50.64,51.39,2.82,2.02,34.7,30.05,47.63,45.11,63.12,61.51,3.39,3.2,0.8,4.65,2.52,1.61,0.18
"L.A","2023-01-05","2022020621","20222023","BOS","1",60,26.62,55.2,56.44,56.44,49.14,1.88,5.19,28.04,22.76,37.79,29.16,57.87,44.66,2.29,2.37,-3.31,5.28,8.63,13.22,-0.08
