"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"MIN","2022-10-13","2022020017","20222023","NYR","1",60,26.74,43.37,46.89,45.13,47.43,2.74,7.51,31.41,41.01,42.78,48.46,53.54,65.1,3.71,4.11,-4.77,-9.6,-5.68,-11.56,-0.4
"MIN","2022-10-15","2022020034","20222023","L.A","1",60,41.27,44.72,46.51,51.09,41.72,5.41,7.7,31.32,38.72,43.02,49.49,60.53,57.94,2.69,3.76,-2.29,-7.39,-6.46,2.59,-1.07
"MIN","2022-10-17","2022020045","20222023","COL","1",60,30.08,46.42,46.67,48.41,41.79,2.77,6.43,35.62,41.12,45.58,52.08,60.71,64.69,2.59,3.61,-3.66,-5.5,-6.5,-3.98,-1.02
"MIN","2022-10-20","2022020067","20222023","VAN","1",63.03,54.68,56.62,50.28,49.09,45.06,3.78,3.13,35.46,27.17,43.75,43.26,57.02,59.12,2.86,3.48,0.65,8.29,0.49,-2.1,-0.63
"MIN","2022-10-22","2022020074","20222023","BOS","0",64.82,44.93,38.3,39.1,36.98,30.45,3.1,3.79,26.62,42.89,34.59,53.86,43.94,74.87,1.76,4.02,-0.7,-16.27,-19.27,-30.93,-2.26
"MIN","2022-10-25","2022020101","20222023","MTL","0",60,76.72,56.8,54.85,54.23,66.17,3.09,0.94,33.17,25.23,40.62,33.43,62.21,52.51,4.9,2.51,2.15,7.94,7.19,9.7,2.4
"MIN","2022-10-27","2022020113","20222023","OTT","0",60,69.7,62.37,61.57,55.14,58.79,4.11,1.78,43.68,26.36,63.01,39.33,74.61,60.69,4.32,3.03,2.32,17.32,23.68,13.92,1.29
"MIN","2022-10-29","2022020132","20222023","DET","0",60,36.19,57.94,58.29,59.36,52.45,1.06,1.87,32.34,23.48,46.17,33.03,65.96,45.15,2.56,2.32,-0.81,8.87,13.14,20.81,0.24
"MIN","2022-10-30","2022020140","20222023","CHI","0",65,52.17,59.5,61.95,61.23,62.78,3.08,2.83,36.39,24.77,52.28,32.1,67.12,42.49,3.52,2.08,0.26,11.62,20.17,24.62,1.43
"MIN","2022-11-01","2022020151","20222023","MTL","1",60,79.74,48.52,52.55,56.32,73.47,3.96,1.01,32.23,34.19,49.66,44.84,65.94,51.15,5.37,1.94,2.95,-1.96,4.81,14.79,3.43
"MIN","2022-11-03","2022020167","20222023","SEA","1",60,0,43.15,38.11,42.73,47.8,0,4.39,19.8,26.08,24.45,39.71,36.53,48.97,1.62,1.76,-4.39,-6.28,-15.26,-12.44,-0.15
"MIN","2022-11-08","2022020206","20222023","L.A","0",60,0,42.72,43.23,41.16,36.71,0,0.94,21.66,29.04,33.05,43.4,45.16,64.56,1.63,2.82,-0.94,-7.38,-10.36,-19.39,-1.18
"MIN","2022-11-09","2022020210","20222023","ANA","0",60,82.23,58.31,55.22,55.4,62.64,4.37,0.94,41.96,30,49.38,40.05,63.53,51.15,4.51,2.69,3.43,11.97,9.34,12.38,1.82
"MIN","2022-11-11","2022020224","20222023","SEA","0",60,100,46.73,45.92,40.05,45.18,1.06,0,23.11,26.34,33.22,39.11,39.11,58.55,2.28,2.76,1.06,-3.23,-5.9,-19.44,-0.49
