"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"MTL","2022-10-12","2022020007","20222023","TOR","1",60,54.92,39.19,43.69,41.33,39.37,3.77,3.09,21.58,33.49,32.73,42.18,46.9,66.57,2.37,3.65,0.67,-11.91,-9.45,-19.67,-1.28
"MTL","2022-10-14","2022020022","20222023","DET","0",60,0,43.2,40,42.93,22.37,0,3.01,29.33,38.56,31.51,47.27,47.45,63.08,1.57,5.46,-3.01,-9.23,-15.76,-15.63,-3.89
"MTL","2022-10-15","2022020029","20222023","WSH","0",60,26.94,43.41,45.73,44.65,32.33,1.06,2.88,22.13,28.85,37.78,44.83,52.7,65.31,2.18,4.57,-1.82,-6.72,-7.05,-12.62,-2.39
"MTL","2022-10-17","2022020042","20222023","PIT","1",63.15,57.58,54.02,52.97,50.89,49.49,2.89,2.13,36.22,30.83,47.34,42.04,63.04,60.82,3.15,3.22,0.76,5.39,5.3,2.22,-0.07
"MTL","2022-10-20","2022020060","20222023","ARI","1",60,74.7,56.25,52.84,53.78,58.64,5.97,2.02,32.25,25.08,38.58,34.43,55.13,47.38,3.65,2.57,3.95,7.17,4.15,7.75,1.08
"MTL","2022-10-22","2022020078","20222023","DAL","1",60,25.56,47.95,41.86,41.18,36.81,1.88,5.46,30.75,33.39,35.75,49.65,46.83,66.89,2.5,4.28,-3.59,-2.64,-13.9,-20.06,-1.79
"MTL","2022-10-25","2022020101","20222023","MIN","1",60,23.28,43.2,45.15,45.77,33.83,0.94,3.09,25.23,33.17,33.43,40.62,52.51,62.21,2.51,4.9,-2.15,-7.94,-7.19,-9.7,-2.4
"MTL","2022-10-27","2022020114","20222023","BUF","0",60,63.83,45.67,47.13,48.74,46.4,3.18,1.8,35.61,42.37,48.43,54.33,63.13,66.4,2.91,3.36,1.38,-6.76,-5.9,-3.27,-0.45
"MTL","2022-10-29","2022020133","20222023","STL","0",60,65.43,47.94,49.5,47,54.85,7.22,3.81,26.13,28.38,40.48,41.3,45.74,51.58,3.64,3,3.4,-2.24,-0.82,-5.84,0.64
"MTL","2022-11-01","2022020151","20222023","MIN","0",60,20.26,51.48,47.45,43.68,26.53,1.01,3.96,34.19,32.23,44.84,49.66,51.15,65.94,1.94,5.37,-2.95,1.96,-4.81,-14.79,-3.43
"MTL","2022-11-03","2022020165","20222023","WPG","0",61.75,42.79,40.12,40.54,38.65,44.83,2.12,2.84,23.12,34.51,33.72,49.47,39.96,63.43,3.34,4.11,-0.72,-11.38,-15.74,-23.47,-0.77
"MTL","2022-11-05","2022020184","20222023","VGK","1",60,35.45,38.46,40.11,38.63,28.7,3.58,6.52,28.91,46.25,36.22,54.09,52.74,83.78,1.93,4.79,-2.94,-17.35,-17.87,-31.04,-2.86
"MTL","2022-11-08","2022020203","20222023","DET","0",65,53.08,47.43,41.94,43.24,39.28,2.12,1.88,35.44,39.28,38.86,53.8,52.49,68.89,2.08,3.21,0.25,-3.84,-14.94,-16.4,-1.13
"MTL","2022-11-09","2022020209","20222023","VAN","1",60,70.7,50.44,48.63,47.36,52.54,4.88,2.02,31.22,30.68,38.8,40.98,48.38,53.77,3.18,2.87,2.86,0.54,-2.18,-5.39,0.31
"MTL","2022-11-12","2022020229","20222023","PIT","1",61.05,53.53,61.18,51.31,56.28,55.25,4.72,4.1,39.36,24.98,42.74,40.55,62.69,48.69,3.18,2.58,0.62,14.38,2.19,13.99,0.61
"MTL","2022-11-15","2022020249","20222023","N.J","1",60,15.14,36.36,38.09,40.11,31.48,0.94,5.26,24.41,42.73,32.55,52.91,52.05,77.72,2.46,5.35,-4.32,-18.32,-20.35,-25.68,-2.89
"MTL","2022-11-17","2022020263","20222023","CBJ","0",60,40.89,57.69,54.96,53.84,42.53,4.04,5.84,40.92,30.02,52.8,43.26,69.29,59.41,3.57,4.83,-1.8,10.9,9.53,9.88,-1.26
"MTL","2022-11-19","2022020280","20222023","PHI","1",65,47.18,49.35,45.96,46.29,45.87,3.76,4.2,29.99,30.78,44.98,52.87,61.57,71.44,3.35,3.95,-0.45,-0.79,-7.9,-9.87,-0.6
"MTL","2022-11-22","2022020301","20222023","BUF","1",60,19.57,37.7,37.62,33.77,35.43,1.88,7.71,26.74,44.19,32.54,53.95,40.81,80.04,2.44,4.45,-5.84,-17.45,-21.41,-39.23,-2.01
"MTL","2022-11-23","2022020306","20222023","CBJ","0",60,76.3,50.65,49.2,47.21,45.14,3.04,0.94,30.45,29.67,38.02,39.26,52.87,59.11,2.55,3.1,2.1,0.78,-1.24,-6.24,-0.55
"MTL","2022-11-25","2022020321","20222023","CHI","0",65,54.24,46.97,51.53,51.44,45.26,2.14,1.8,25.23,28.49,40.89,38.47,54.57,51.51,2.52,3.05,0.33,-3.26,2.42,3.05,-0.53
"MTL","2022-11-29","2022020354","20222023","S.J","1",60,0,46.61,47.73,54.53,30.72,0,4.17,24.7,28.29,34.27,37.53,58.16,48.49,2.11,4.76,-4.17,-3.59,-3.26,9.66,-2.65
