"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"N.J","2022-10-13","2022020012","20222023","PHI","0",60,29.9,59.22,60.8,64.61,55.87,2.09,4.9,36.48,25.12,54.38,35.06,81.51,44.65,3.89,3.07,-2.81,11.35,19.32,36.87,0.82
"N.J","2022-10-15","2022020028","20222023","DET","1",60,26.26,61.57,59.05,59.64,65.4,1.88,5.29,37.44,23.37,48.73,33.79,67.29,45.54,4.16,2.2,-3.4,14.07,14.94,21.75,1.96
"N.J","2022-10-18","2022020048","20222023","ANA","1",60,64.11,64.36,62.41,62.19,57.13,3.81,2.13,38.99,21.59,51.06,30.75,63.38,38.54,3.51,2.63,1.68,17.4,20.31,24.84,0.88
"N.J","2022-10-20","2022020066","20222023","NYI","0",60,80.15,75.17,72.18,66.53,78.7,4.17,1.03,47.63,15.73,64.39,24.81,86.53,43.52,5.99,1.62,3.14,31.9,39.57,43.01,4.37
"N.J","2022-10-22","2022020075","20222023","S.J","1",60,65.71,61.79,52.23,50.23,60.47,1.94,1.01,35.98,22.25,42.93,39.27,55.6,55.08,3.25,2.13,0.93,13.73,3.66,0.52,1.13
"N.J","2022-10-24","2022020093","20222023","WSH","1",60,30,61.2,59.77,56.81,65.53,2.82,6.58,37.91,24.04,51.69,34.79,62.08,47.2,4.31,2.26,-3.76,13.87,16.9,14.89,2.04
"N.J","2022-10-25","2022020102","20222023","DET","0",60,77.75,70.08,67.65,64.67,63.53,6.58,1.88,45.71,19.52,57.39,27.44,71.1,38.83,3.09,1.77,4.7,26.19,29.95,32.26,1.32
"N.J","2022-10-28","2022020123","20222023","COL","1",60,100,48.17,48.93,49,44.81,0.93,0,22.68,24.41,33.37,34.83,50.19,52.23,1.97,2.43,0.93,-1.73,-1.46,-2.04,-0.46
"N.J","2022-10-30","2022020139","20222023","CBJ","1",60,87.08,73.35,74.43,72.53,89.58,6.82,1.01,54.74,19.89,74.35,25.55,97.2,36.82,6.69,0.78,5.81,34.85,48.81,60.38,5.91
"N.J","2022-11-01","2022020157","20222023","VAN","0",60,73.88,67.56,62.3,59.14,64.77,5.37,1.9,43.05,20.67,55.85,33.8,69.59,48.07,4.42,2.41,3.47,22.38,22.05,21.52,2.02
