"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"NSH","2022-10-07","2022020001","20222023","S.J","1",60,79.44,51.93,50.96,56.47,62.15,3.91,1.01,32.83,30.4,47.16,45.38,71.78,55.32,4.42,2.69,2.9,2.44,1.77,16.46,1.73
"NSH","2022-10-08","2022020002","20222023","S.J","0",60,62.16,37.58,45.25,45.02,35.4,3.08,1.88,18.87,31.34,34.6,41.87,51.79,63.26,1.69,3.09,1.21,-12.47,-7.27,-11.47,-1.4
"NSH","2022-10-13","2022020016","20222023","DAL","1",60,17.26,45.79,43.77,47.79,30.54,0.94,4.5,28.58,33.83,36.49,46.88,51.16,55.9,1.84,4.19,-3.56,-5.25,-10.39,-4.73,-2.35
"NSH","2022-10-15","2022020035","20222023","DAL","0",60,17.12,55.41,60.69,54.81,40.4,1.01,4.87,28.6,23.02,55.34,35.84,67.79,55.89,3.06,4.52,-3.87,5.58,19.5,11.9,-1.45
"NSH","2022-10-18","2022020052","20222023","L.A","1",65,48.9,48.95,51.09,49.68,44.92,2.97,3.1,32.53,33.93,46.82,44.83,59.81,60.56,3.29,4.04,-0.13,-1.4,1.99,-0.76,-0.74
"NSH","2022-10-20","2022020063","20222023","CBJ","0",60,40.43,42.9,43.14,47.55,41.92,3.2,4.72,28.47,37.9,40.08,52.82,62.98,69.46,2.98,4.13,-1.52,-9.43,-12.74,-6.49,-1.15
"NSH","2022-10-22","2022020083","20222023","PHI","1",60,24.39,50.42,55.75,55.99,50.01,1.03,3.2,28.88,28.4,47.54,37.73,66.72,52.45,2.54,2.54,-2.17,0.48,9.81,14.27,0
"NSH","2022-10-27","2022020115","20222023","STL","1",60,73.19,53.41,53.94,56.7,59.82,5.84,2.14,41.3,36.02,54.04,46.14,72.74,55.55,4.86,3.27,3.7,5.27,7.9,17.19,1.6
"NSH","2022-10-29","2022020136","20222023","WSH","1",60,0,45.88,45.85,45.78,41.56,0,3.1,31.88,37.61,47.5,56.09,60.2,71.3,3.78,5.31,-3.1,-5.73,-8.6,-11.1,-1.53
"NSH","2022-11-01","2022020154","20222023","EDM","0",60,37.04,36.11,38.82,34.64,32.07,4.05,6.88,21.94,38.81,32.09,50.57,40.63,76.68,2.34,4.96,-2.83,-16.88,-18.48,-36.05,-2.62
"NSH","2022-11-03","2022020169","20222023","CGY","0",60,82.04,57.39,57.79,53.21,65.94,4.28,0.94,35.91,26.66,49.38,36.07,64.74,56.92,4.6,2.38,3.35,9.25,13.31,7.82,2.22
"NSH","2022-11-05","2022020186","20222023","VAN","0",65,50.86,38.77,45.69,46.62,45.36,3.03,2.93,29.48,46.56,45.29,53.83,60.46,69.23,3.49,4.2,0.1,-17.08,-8.54,-8.77,-0.71
"NSH","2022-11-08","2022020205","20222023","SEA","0",60,17,52.09,55.79,54.9,41.12,1.01,4.94,23.37,21.49,40.92,32.42,60.7,49.87,2.09,3,-3.93,1.88,8.5,10.83,-0.9
"NSH","2022-11-10","2022020219","20222023","COL","0",60,39.17,50.55,46.22,50.08,42.17,3.08,4.78,34.74,33.99,41.89,48.74,61.94,61.73,2.48,3.4,-1.7,0.75,-6.85,0.21,-0.92
"NSH","2022-11-12","2022020232","20222023","NYR","1",60,65.64,35.32,37.52,40,35.38,1.93,1.01,18.53,33.93,29.72,49.5,46.76,70.15,1.85,3.38,0.92,-15.4,-19.77,-23.39,-1.53
