"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"NYI","2022-10-13","2022020014","20222023","FLA","1",60,21.89,50.2,49.78,44.25,43.19,0.87,3.09,31.34,31.09,46.12,46.54,58.43,73.6,3.95,5.2,-2.22,0.25,-0.41,-15.17,-1.25
"NYI","2022-10-15","2022020032","20222023","ANA","1",60,87.17,64.46,61.69,57.41,56.79,6.87,1.01,39.86,21.98,57.05,35.43,72.77,53.99,3.8,2.89,5.86,17.89,21.62,18.78,0.91
"NYI","2022-10-18","2022020051","20222023","S.J","1",60,70.05,61.33,60.62,59.77,57.52,4.85,2.07,44.85,28.27,56.47,36.69,76.94,51.78,4.19,3.09,2.78,16.58,19.78,25.16,1.1
"NYI","2022-10-20","2022020066","20222023","N.J","1",60,19.85,24.83,27.82,33.47,21.3,1.03,4.17,15.73,47.63,24.81,64.39,43.52,86.53,1.62,5.99,-3.14,-31.9,-39.57,-43.01,-4.37
"NYI","2022-10-22","2022020080","20222023","T.B","0",60,38.48,56.65,58.17,60.17,46.14,3.04,4.85,34.54,26.43,52.16,37.5,71.53,47.36,3.7,4.32,-1.82,8.11,14.66,24.17,-0.62
"NYI","2022-10-23","2022020090","20222023","FLA","0",60,41.6,41.74,43.9,38.98,41.85,2.08,2.92,24.06,33.59,32.71,41.8,40.68,63.67,2.28,3.17,-0.84,-9.53,-9.09,-22.99,-0.89
"NYI","2022-10-26","2022020108","20222023","NYR","1",60,100,41.73,41.92,43.45,40.23,2.92,0,29.36,40.99,40.35,55.91,55.02,71.59,3.1,4.6,2.92,-11.63,-15.56,-16.58,-1.5
"NYI","2022-10-28","2022020124","20222023","CAR","0",60,77.04,52.1,43.66,40.19,51.25,6.29,1.88,34.34,31.57,40.98,52.88,52.15,77.61,3.37,3.2,4.42,2.77,-11.9,-25.46,0.16
"NYI","2022-10-29","2022020135","20222023","COL","1",60,53.36,50.25,49.35,46.6,57.59,4.79,4.19,40.74,40.34,50.36,51.7,59.21,67.84,5.52,4.07,0.6,0.4,-1.34,-8.63,1.46
"NYI","2022-11-01","2022020152","20222023","CHI","0",60,78.26,64.08,58.12,59.48,69.75,3.12,0.87,35.96,20.16,40.75,29.37,60.1,40.94,3.4,1.47,2.25,15.8,11.39,19.15,1.92
"NYI","2022-11-03","2022020166","20222023","STL","0",60,74.17,50.41,48.34,48.91,59.99,5.2,1.81,31.56,31.04,45.01,48.11,53.74,56.14,4.09,2.73,3.39,0.52,-3.1,-2.4,1.36
"NYI","2022-11-05","2022020181","20222023","DET","0",60,0,47.5,51.05,56.35,58.2,0,2.91,23.37,25.84,38.15,36.58,61.01,47.26,2.74,1.97,-2.91,-2.46,1.57,13.75,0.77
"NYI","2022-11-07","2022020193","20222023","CGY","1",64.03,53.92,37.36,39.89,41.7,40.66,3.74,3.19,29.27,49.08,39.25,59.14,56.75,79.34,2.63,3.84,0.54,-19.81,-19.89,-22.59,-1.21
"NYI","2022-11-08","2022020198","20222023","NYR","0",60,59.19,39.5,40.38,42.66,35.37,4.16,2.87,26.12,40.01,35.19,51.97,51.56,69.29,2.12,3.88,1.29,-13.89,-16.78,-17.73,-1.75
"NYI","2022-11-10","2022020216","20222023","ARI","1",60,0,43.38,52.15,50.53,31.4,0,2.05,22.68,29.6,44.04,40.41,60.82,59.56,2.05,4.48,-2.05,-6.92,3.63,1.26,-2.43
"NYI","2022-11-12","2022020231","20222023","CBJ","1",60.65,54.6,58.37,56.16,54.57,64.03,3.85,3.2,42.87,30.58,55.79,43.55,74.27,61.82,5.01,2.81,0.65,12.29,12.23,12.45,2.19
"NYI","2022-11-14","2022020244","20222023","OTT","0",60,70.7,52.62,44.82,43.59,39.96,4.29,1.78,38.32,34.51,44.14,54.34,55.8,72.21,2.79,4.19,2.51,3.81,-10.2,-16.41,-1.4
"NYI","2022-11-17","2022020267","20222023","NSH","0",60,45.41,49.28,50.57,54.5,53.12,4.04,4.86,31.58,32.51,48.49,47.39,68.48,57.18,3.77,3.33,-0.82,-0.93,1.09,11.31,0.44
"NYI","2022-11-19","2022020284","20222023","DAL","0",60,30.63,47.48,46.62,49.28,38.38,2.14,4.84,30.39,33.61,39.55,45.29,57.45,59.12,2.61,4.19,-2.7,-3.22,-5.74,-1.67,-1.58
"NYI","2022-11-21","2022020295","20222023","TOR","0",61.93,62.68,43.74,45.89,45.39,44.76,3.04,1.81,24.5,31.5,40.15,47.35,49.47,59.51,2.46,3.03,1.23,-7,-7.2,-10.04,-0.58
"NYI","2022-11-23","2022020310","20222023","EDM","1",60,100,40.47,39.11,39.81,28.07,2.92,0,31.78,46.74,36.98,57.56,46.58,70.42,2.23,5.71,2.92,-14.96,-20.58,-23.84,-3.48
"NYI","2022-11-25","2022020326","20222023","CBJ","0",60,66.1,52.15,54.41,57.53,51.37,3.33,1.71,26.33,24.16,43.18,36.18,66.09,48.79,3.38,3.2,1.62,2.17,7,17.3,0.18
