"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"NYR","2022-10-11","2022020003","20222023","T.B","1",60,72.64,58.63,57.76,59.58,65.25,2.85,1.07,37.56,26.5,47.46,34.7,69.32,47.03,5.41,2.88,1.78,11.06,12.76,22.29,2.53
"NYR","2022-10-13","2022020017","20222023","MIN","0",60,73.26,56.63,53.11,54.87,52.57,7.51,2.74,41.01,31.41,48.46,42.78,65.1,53.54,4.11,3.71,4.77,9.6,5.68,11.56,0.4
"NYR","2022-10-14","2022020023","20222023","WPG","0",60,20.53,54.2,54.43,51.16,49.22,1.01,3.92,40.48,34.2,56.46,47.28,68.78,65.67,4.24,4.38,-2.9,6.28,9.18,3.12,-0.13
"NYR","2022-10-17","2022020039","20222023","ANA","1",60,59.07,68.03,71.75,67.64,70.12,5.84,4.05,44.64,20.98,60.7,23.9,74.5,35.65,4.21,1.79,1.79,23.66,36.8,38.85,2.41
"NYR","2022-10-20","2022020064","20222023","S.J","1",60.82,38.11,43.92,51.67,47.1,48.63,1.88,3.06,21.99,28.08,41.48,38.8,51.8,58.18,2.78,2.93,-1.17,-6.09,2.68,-6.37,-0.16
"NYR","2022-10-23","2022020089","20222023","CBJ","1",60,13.58,53.99,57.06,56.34,54.95,0.84,5.34,27.64,23.56,43.53,32.76,61.85,47.92,2.7,2.21,-4.5,4.08,10.77,13.93,0.49
"NYR","2022-10-25","2022020099","20222023","COL","1",65,46.55,46.96,51.11,48.34,47.04,1.88,2.15,42.44,47.94,56.16,53.73,66.92,71.5,3.68,4.14,-0.28,-5.5,2.43,-4.58,-0.46
"NYR","2022-10-26","2022020108","20222023","NYI","0",60,0,58.27,58.08,56.55,59.77,0,2.92,40.99,29.36,55.91,40.35,71.59,55.02,4.6,3.1,-2.92,11.63,15.56,16.58,1.5
"NYR","2022-10-29","2022020127","20222023","DAL","0",60,68.96,47.67,53.48,53.82,61.24,6.27,2.82,28.39,31.17,45.21,39.32,63.08,54.12,3.84,2.43,3.45,-2.78,5.89,8.95,1.41
"NYR","2022-10-30","2022020141","20222023","ARI","0",60,63.5,67.55,63.95,59.7,65.49,3.15,1.81,40.63,19.52,53.63,30.24,61.05,41.2,4.01,2.11,1.34,21.11,23.39,19.84,1.9
