"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"OTT","2022-10-13","2022020013","20222023","BUF","0",60,21.18,50.94,48.5,49.01,40.97,1.06,3.95,37.03,35.66,42.12,44.72,52.6,54.73,2.6,3.75,-2.89,1.36,-2.6,-2.13,-1.15
"OTT","2022-10-15","2022020030","20222023","TOR","0",60,42.59,49.98,47.96,47.64,52.7,2.09,2.82,29.87,29.89,41.13,44.63,56.74,62.35,3.07,2.76,-0.73,-0.02,-3.5,-5.62,0.31
"OTT","2022-10-18","2022020049","20222023","BOS","1",60,56.92,49.74,50.5,52.42,45.09,6.77,5.12,32.26,32.6,48.84,47.87,63.41,57.56,3.44,4.18,1.65,-0.34,0.97,5.85,-0.75
"OTT","2022-10-20","2022020065","20222023","WSH","1",60,67.65,62.35,54.85,56.26,68.79,4.74,2.27,42.8,25.85,49.67,40.89,69.61,54.13,5.03,2.28,2.48,16.95,8.78,15.48,2.75
"OTT","2022-10-22","2022020076","20222023","ARI","1",60,74.48,61.46,59.34,59.77,71.93,5.89,2.02,33.46,20.98,41.96,28.75,57.48,38.69,3.42,1.33,3.87,12.48,13.21,18.79,2.08
"OTT","2022-10-24","2022020092","20222023","DAL","1",60,64.62,47.8,51.19,51.8,47.2,3.79,2.07,29.85,32.59,43.2,41.2,62.76,58.41,2.96,3.31,1.71,-2.74,2,4.36,-0.35
"OTT","2022-10-27","2022020113","20222023","MIN","1",60,30.3,37.63,38.43,44.86,41.21,1.78,4.11,26.36,43.68,39.33,63.01,60.69,74.61,3.03,4.32,-2.32,-17.32,-23.68,-13.92,-1.29
"OTT","2022-10-29","2022020128","20222023","FLA","0",60,38.39,30.82,31.78,34.77,29.46,3.03,4.86,26.1,58.6,32.39,69.54,45.45,85.27,3.05,7.31,-1.83,-32.5,-37.15,-39.82,-4.26
"OTT","2022-11-01","2022020148","20222023","T.B","0",60,46.52,34.71,44.87,49.49,43.13,3.21,3.69,16.54,31.1,31.9,39.19,55.1,56.24,2.5,3.3,-0.48,-14.56,-7.29,-1.14,-0.8
"OTT","2022-11-03","2022020163","20222023","VGK","1",60,40.72,52.96,52.78,55.73,46.15,3.75,5.46,41.21,36.6,55.38,49.55,73.5,58.37,3.84,4.48,-1.71,4.6,5.83,15.12,-0.64
"OTT","2022-11-05","2022020182","20222023","PHI","1",60,31.37,51.98,54.87,55.54,60.27,0.94,2.07,32.26,29.8,49.1,40.38,75.29,60.27,3.86,2.54,-1.12,2.46,8.72,15.02,1.31
"OTT","2022-11-08","2022020200","20222023","VAN","1",60,37.95,58.47,62.42,62.31,57.46,3.79,6.2,41.32,29.34,60.96,36.7,77.63,46.95,4.71,3.49,-2.41,11.97,24.26,30.67,1.22
"OTT","2022-11-10","2022020213","20222023","N.J","0",64.45,45.08,41.1,45.17,41.96,43,3.08,3.75,28.58,40.97,50.1,60.81,60.78,84.07,2.99,3.97,-0.67,-12.39,-10.71,-23.29,-0.97
"OTT","2022-11-12","2022020225","20222023","PHI","0",60,81.78,44.37,46.02,47.93,48.57,4.24,0.94,28.84,36.15,36.33,42.62,51.16,55.58,2.67,2.83,3.3,-7.32,-6.29,-4.42,-0.16
