"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"PHI","2022-10-13","2022020012","20222023","N.J","1",60,70.1,40.78,39.2,35.39,44.13,4.9,2.09,25.12,36.48,35.06,54.38,44.65,81.51,3.07,3.89,2.81,-11.35,-19.32,-36.87,-0.82
"PHI","2022-10-15","2022020026","20222023","VAN","1",60,55.67,46.94,46.32,43.2,46.78,2.68,2.13,28.46,32.17,38.21,44.29,45.34,59.61,2.65,3.01,0.54,-3.71,-6.08,-14.27,-0.36
"PHI","2022-10-18","2022020053","20222023","T.B","0",60,61.51,39.01,37.65,40.8,38.49,3.08,1.93,24.18,37.8,33.18,54.95,49.05,71.18,2.66,4.25,1.15,-13.62,-21.77,-22.13,-1.59
"PHI","2022-10-19","2022020056","20222023","FLA","0",60,43.59,48.06,43.31,42.8,43.72,2.99,3.87,33.11,35.79,38.96,50.99,48.5,64.83,2.69,3.46,-0.88,-2.67,-12.03,-16.33,-0.77
"PHI","2022-10-22","2022020083","20222023","NSH","0",60,75.61,49.58,44.25,44.01,49.99,3.2,1.03,28.4,28.88,37.73,47.54,52.45,66.72,2.54,2.54,2.17,-0.48,-9.81,-14.27,0
"PHI","2022-10-23","2022020091","20222023","S.J","1",60,0,50.49,48.49,47.49,40.42,0,3.1,27.5,26.97,37.63,39.97,51.84,57.32,2.02,2.98,-3.1,0.53,-2.34,-5.48,-0.96
"PHI","2022-10-27","2022020112","20222023","FLA","1",60,54.44,29.39,28.03,25.69,24.52,3.74,3.13,21.59,51.88,30.4,78.06,38,109.89,1.85,5.69,0.61,-30.29,-47.65,-71.89,-3.84
"PHI","2022-10-29","2022020130","20222023","CAR","1",64.1,40.06,40.32,36.12,35.56,36.78,2.75,4.11,27.27,40.37,34.33,60.71,43.52,78.86,2.85,4.91,-1.36,-13.1,-26.38,-35.35,-2.05
"PHI","2022-11-01","2022020149","20222023","NYR","0",64.12,0,36.17,32.56,37.09,28.54,0,1.03,19.71,34.77,26.97,55.88,41.46,70.33,2,5.01,-1.03,-15.06,-28.91,-28.87,-3.01
"PHI","2022-11-02","2022020159","20222023","TOR","0",60,30.18,35.75,35.34,33.34,33.83,2.07,4.78,24.72,44.42,32.56,59.58,40.13,80.24,2.13,4.16,-2.71,-19.7,-27.01,-40.11,-2.03
"PHI","2022-11-05","2022020182","20222023","OTT","0",60,68.63,48.02,45.13,44.46,39.73,2.07,0.94,29.8,32.26,40.38,49.1,60.27,75.29,2.54,3.86,1.12,-2.46,-8.72,-15.02,-1.31
"PHI","2022-11-08","2022020199","20222023","STL","1",60,82.7,56.26,51.19,48.28,39.65,4.84,1.01,35.52,27.61,48.76,46.49,58.35,62.51,2.24,3.4,3.83,7.91,2.27,-4.16,-1.17
"PHI","2022-11-10","2022020214","20222023","CBJ","0",60,28.87,51.39,50.8,51.63,47.88,2.02,4.99,32.22,30.48,44.39,42.99,60.37,56.56,4.07,4.43,-2.96,1.75,1.4,3.81,-0.36
"PHI","2022-11-12","2022020225","20222023","OTT","1",60,18.22,55.63,53.98,52.07,51.43,0.94,4.24,36.15,28.84,42.62,36.33,55.58,51.16,2.83,2.67,-3.3,7.32,6.29,4.42,0.16
"PHI","2022-11-13","2022020238","20222023","DAL","1",60,14.17,48.28,45.63,48.26,41.74,0.94,5.68,33.44,35.81,42.8,50.99,58.83,63.08,2.8,3.9,-4.74,-2.38,-8.19,-4.24,-1.11
"PHI","2022-11-15","2022020250","20222023","CBJ","0",63.23,45.18,52.64,56.49,57.48,41.39,4.04,4.9,36.69,33.01,51.84,39.93,76.54,56.63,2.42,3.43,-0.86,3.68,11.91,19.91,-1.01
"PHI","2022-11-17","2022020265","20222023","BOS","0",60,20.42,41.59,41.68,38.46,36.3,1.01,3.92,22.75,31.95,34.69,48.53,43.19,69.11,2.24,3.93,-2.92,-9.2,-13.84,-25.92,-1.69
