"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"PIT","2022-10-13","2022020011","20222023","ARI","1",60,74.56,68.52,69.71,65.11,70.5,5.9,2.01,56.96,26.17,70.93,30.82,81.92,43.9,5.63,2.36,3.89,30.79,40.11,38.02,3.27
"PIT","2022-10-15","2022020031","20222023","T.B","1",60,73.77,56.23,59.85,58.63,72.83,5.87,2.09,45.18,35.17,62.81,42.14,77.76,54.87,6.74,2.51,3.78,10.01,20.68,22.9,4.23
"PIT","2022-10-17","2022020042","20222023","MTL","0",63.15,42.42,45.98,47.03,49.11,50.51,2.13,2.89,30.83,36.22,42.04,47.34,60.82,63.04,3.22,3.15,-0.76,-5.39,-5.3,-2.22,0.07
"PIT","2022-10-20","2022020062","20222023","L.A","1",60,85.43,48.96,45.72,47.61,43.52,5.9,1.01,36.66,38.22,43.29,51.4,62.96,69.26,2.97,3.85,4.89,-1.55,-8.11,-6.31,-0.88
"PIT","2022-10-22","2022020081","20222023","CBJ","0",60,68.07,55.97,57.8,54.82,64.62,6.24,2.93,39.63,31.18,52.8,38.55,67.6,55.7,4.21,2.3,3.31,8.45,14.26,11.9,1.91
"PIT","2022-10-24","2022020094","20222023","EDM","0",60,35.63,44.01,43.75,46.27,43.51,3.14,5.67,35.89,45.65,48.91,62.88,61.33,71.22,3.43,4.45,-2.53,-9.76,-13.96,-9.89,-1.02
"PIT","2022-10-25","2022020104","20222023","CGY","0",60,20.44,45.53,47.66,44.89,52.5,1.01,3.92,30.86,36.92,45.93,50.45,58.13,71.35,3.46,3.13,-2.91,-6.06,-4.51,-13.22,0.33
"PIT","2022-10-28","2022020125","20222023","VAN","0",60,16.88,52.96,54.08,56.68,47.19,1.01,4.95,33.52,29.77,43.25,36.72,60.56,46.29,3.38,3.79,-3.95,3.75,6.53,14.27,-0.4
"PIT","2022-10-29","2022020138","20222023","SEA","0",60,26.68,52.69,50.99,49.95,43.11,1.06,2.92,32.94,29.57,47.1,45.28,60.94,61.06,3.63,4.79,-1.85,3.37,1.82,-0.11,-1.16
"PIT","2022-11-01","2022020147","20222023","BOS","1",63.62,44.79,48.5,54.5,57.01,58.07,4.89,6.03,37.81,40.14,57.52,48.02,78.86,59.47,5.54,4,-1.14,-2.33,9.5,19.38,1.54
"PIT","2022-11-02","2022020160","20222023","BUF","0",60,36.56,42.62,44.25,48.13,39.28,3.32,5.75,22.75,30.64,30.59,38.54,45.81,49.37,1.82,2.81,-2.44,-7.88,-7.95,-3.56,-0.99
"PIT","2022-11-05","2022020183","20222023","SEA","1",60,37.53,55.29,58.7,60.74,55.52,1.88,3.13,35.74,28.9,55.81,39.26,73.41,47.44,3.33,2.66,-1.25,6.83,16.55,25.97,0.66
"PIT","2022-11-09","2022020208","20222023","WSH","0",60,82.04,57.72,55.09,54.61,61.52,4.28,0.94,31.1,22.78,45.55,37.14,64.87,53.92,3.82,2.39,3.35,8.31,8.41,10.94,1.43
"PIT","2022-11-11","2022020221","20222023","TOR","0",60,69.38,46.95,47.44,46.61,62.15,4.1,1.81,24.76,27.97,38.6,42.77,52.47,60.11,4.82,2.93,2.29,-3.21,-4.17,-7.64,1.88
"PIT","2022-11-12","2022020229","20222023","MTL","0",61.05,46.47,38.82,48.69,43.72,44.75,4.1,4.72,24.98,39.36,40.55,42.74,48.69,62.69,2.58,3.18,-0.62,-14.38,-2.19,-13.99,-0.61
"PIT","2022-11-15","2022020251","20222023","TOR","1",60,26.35,47.56,47.03,50.36,45.81,1.88,5.24,33.14,36.54,43.75,49.28,67.74,66.76,3.46,4.09,-3.37,-3.4,-5.53,0.98,-0.63
