"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"S.J","2022-10-07","2022020001","20222023","NSH","0",60,20.56,48.07,49.04,43.53,37.85,1.01,3.91,30.4,32.83,45.38,47.16,55.32,71.78,2.69,4.42,-2.9,-2.44,-1.77,-16.46,-1.73
"S.J","2022-10-08","2022020002","20222023","NSH","1",60,37.84,62.42,54.75,54.98,64.6,1.88,3.08,31.34,18.87,41.87,34.6,63.26,51.79,3.09,1.69,-1.21,12.47,7.27,11.47,1.4
"S.J","2022-10-14","2022020024","20222023","CAR","1",60,31.31,34.72,33.59,32.23,33.07,0.94,2.07,18.62,35.02,23.44,46.33,32.49,68.31,1.62,3.28,-1.13,-16.4,-22.89,-35.82,-1.66
"S.J","2022-10-15","2022020038","20222023","CHI","1",60,26.96,48.47,50.4,57.29,42.8,1.93,5.24,24.96,26.54,35.94,35.37,51.75,38.58,2,2.68,-3.3,-1.57,0.56,13.17,-0.67
"S.J","2022-10-18","2022020051","20222023","NYI","0",60,29.95,38.67,39.38,40.23,42.48,2.07,4.85,28.27,44.85,36.69,56.47,51.78,76.94,3.09,4.19,-2.78,-16.58,-19.78,-25.16,-1.1
"S.J","2022-10-20","2022020064","20222023","NYR","0",60.82,61.89,56.08,48.33,52.9,51.37,3.06,1.88,28.08,21.99,38.8,41.48,58.18,51.8,2.93,2.78,1.17,6.09,-2.68,6.37,0.16
"S.J","2022-10-22","2022020075","20222023","N.J","0",60,34.29,38.21,47.77,49.77,39.53,1.01,1.94,22.25,35.98,39.27,42.93,55.08,55.6,2.13,3.25,-0.93,-13.73,-3.66,-0.52,-1.13
"S.J","2022-10-23","2022020091","20222023","PHI","0",60,100,49.51,51.51,52.51,59.58,3.1,0,26.97,27.5,39.97,37.63,57.32,51.84,2.98,2.02,3.1,-0.53,2.34,5.48,0.96
"S.J","2022-10-25","2022020107","20222023","VGK","1",60,30.93,47.86,48.76,51.38,43.12,1.88,4.2,29.48,32.11,41.83,43.95,67.44,63.82,2.44,3.21,-2.32,-2.63,-2.13,3.62,-0.78
"S.J","2022-10-27","2022020119","20222023","TOR","1",60.95,56.27,56.02,51.06,51.25,57.24,3.9,3.03,31.36,24.62,40.58,38.9,51.14,48.64,2.78,2.08,0.87,6.74,1.68,2.5,0.7
"S.J","2022-10-29","2022020129","20222023","T.B","1",60,39.25,48.31,44.11,46.88,34.77,2.74,4.24,25.56,27.35,36.71,46.52,48.77,55.27,2.73,5.12,-1.5,-1.79,-9.81,-6.5,-2.39
"S.J","2022-11-01","2022020158","20222023","ANA","1",65,46.98,48.1,47.45,44.56,52.29,4.72,5.33,42.4,45.75,51.89,57.47,60.41,75.14,3.9,3.56,-0.61,-3.35,-5.58,-14.74,0.34
"S.J","2022-11-03","2022020173","20222023","FLA","1",65,46.63,43.54,41.21,40.76,48.47,2.72,3.12,36.44,47.25,45.75,65.27,60.06,87.3,4.17,4.44,-0.39,-10.81,-19.51,-27.24,-0.26
"S.J","2022-11-05","2022020188","20222023","ANA","1",65,48.41,66.82,62.23,62.95,69.82,3.8,4.05,51.46,25.55,63.85,38.74,82.91,48.79,6,2.59,-0.25,25.91,25.1,34.12,3.41
"S.J","2022-11-10","2022020218","20222023","STL","0",60,38.74,47.2,48.15,49.45,43.55,3.04,4.8,29.8,33.33,44.93,48.38,57.71,59,3.08,3.99,-1.77,-3.53,-3.45,-1.29,-0.91
"S.J","2022-11-11","2022020223","20222023","DAL","0",60,58.37,42.45,36.24,32.88,52.34,5.27,3.76,19.59,26.55,26.31,46.29,33.14,67.66,3.1,2.83,1.51,-6.97,-19.98,-34.52,0.28
"S.J","2022-11-13","2022020240","20222023","MIN","0",65,51.07,54.23,51.29,50.81,57.14,2.02,1.94,36.12,30.49,52.84,50.18,65.41,63.33,3.55,2.66,0.08,5.63,2.66,2.08,0.89
