"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"SEA","2022-10-12","2022020009","20222023","ANA","0",60.92,48.27,67.1,69.21,67.42,69.95,4.34,4.65,51.29,25.15,66.71,29.68,83.68,40.43,4.95,2.13,-0.31,26.14,37.03,43.25,2.83
"SEA","2022-10-13","2022020020","20222023","L.A","0",60,82.83,49.45,50.82,49.3,56.87,4.18,0.87,24.25,24.79,36.74,35.56,47.38,48.73,3.38,2.56,3.31,-0.54,1.18,-1.35,0.82
"SEA","2022-10-15","2022020037","20222023","VGK","1",60,24.47,45.5,43.9,47.44,41.14,1.8,5.57,28.9,34.61,37.38,47.76,53.82,59.63,1.98,2.83,-3.76,-5.72,-10.38,-5.81,-0.85
"SEA","2022-10-17","2022020047","20222023","CAR","1",60,13.46,33.91,30.02,30.39,33.51,0.87,5.57,20.16,39.3,25.36,59.1,33.77,77.36,2.1,4.18,-4.7,-19.13,-33.74,-43.59,-2.07
"SEA","2022-10-19","2022020058","20222023","STL","1",62.17,40.34,51.74,56.08,58.04,54.6,2.81,4.16,32.68,30.48,49.18,38.52,62.95,45.51,3.77,3.13,-1.35,2.2,10.66,17.45,0.64
"SEA","2022-10-21","2022020073","20222023","COL","0",60,64.01,68.96,62.3,57.51,63.07,3.21,1.8,41.15,18.52,48.92,29.6,58.05,42.88,3.2,1.87,1.41,22.62,19.32,15.17,1.33
"SEA","2022-10-23","2022020087","20222023","CHI","0",60,48.04,60.08,60.73,61.67,59.86,4.2,4.55,36.96,24.56,54.07,34.96,71.07,44.17,3.47,2.32,-0.34,12.4,19.11,26.91,1.14
"SEA","2022-10-25","2022020105","20222023","BUF","1",60,82.91,62.97,61.79,54.11,67.78,4.91,1.01,25.52,15.01,36.29,22.45,44.57,37.8,3.52,1.67,3.9,10.51,13.85,6.77,1.85
"SEA","2022-10-27","2022020118","20222023","VAN","1",60,42.69,62.7,67.81,66.61,51.46,3.85,5.17,33.31,19.81,51.01,24.21,65.49,32.83,2.51,2.37,-1.32,13.49,26.8,32.67,0.14
"SEA","2022-10-29","2022020138","20222023","PIT","1",60,73.32,47.31,49.01,50.05,56.89,2.92,1.06,29.57,32.94,45.28,47.1,61.06,60.94,4.79,3.63,1.85,-3.37,-1.82,0.11,1.16
"SEA","2022-11-01","2022020155","20222023","CGY","0",60,57.42,41.26,40.19,41.9,42.73,5.15,3.82,26.78,38.14,32,47.63,47.33,65.64,1.89,2.53,1.33,-11.36,-15.63,-18.31,-0.64
"SEA","2022-11-03","2022020167","20222023","MIN","0",60,100,56.85,61.89,57.27,52.2,4.39,0,26.08,19.8,39.71,24.45,48.97,36.53,1.76,1.62,4.39,6.28,15.26,12.44,0.15
"SEA","2022-11-05","2022020183","20222023","PIT","0",60,62.47,44.71,41.3,39.26,44.48,3.13,1.88,28.9,35.74,39.26,55.81,47.44,73.41,2.66,3.33,1.25,-6.83,-16.55,-25.97,-0.66
"SEA","2022-11-08","2022020205","20222023","NSH","1",60,83,47.91,44.21,45.1,58.88,4.94,1.01,21.49,23.37,32.42,40.92,49.87,60.7,3,2.09,3.93,-1.88,-8.5,-10.83,0.9
"SEA","2022-11-11","2022020224","20222023","MIN","1",60,0,53.27,54.08,59.95,54.82,0,1.06,26.34,23.11,39.11,33.22,58.55,39.11,2.76,2.28,-1.06,3.23,5.9,19.44,0.49
"SEA","2022-11-13","2022020243","20222023","WPG","1",60.9,38.87,40.31,39.26,37.92,32.49,1.87,2.94,20.64,30.56,34.7,53.69,45.98,75.27,2.65,5.5,-1.07,-9.92,-18.99,-29.29,-2.85
"SEA","2022-11-17","2022020271","20222023","NYR","1",63.65,59.68,51.34,55.24,52.17,56.6,2.92,1.98,31.64,29.99,52.1,42.21,61.12,56.04,4.19,3.21,0.95,1.65,9.89,5.08,0.98
"SEA","2022-11-19","2022020286","20222023","L.A","1",62.38,57.65,50.01,49.49,43.35,52.97,2.84,2.09,28.88,28.86,39.84,40.65,48.25,63.05,2.41,2.14,0.75,0.01,-0.82,-14.79,0.27
