"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"STL","2022-10-15","2022020033","20222023","CBJ","1",60,70.52,49.57,54.49,53.73,63.01,4.84,2.02,24.43,24.86,38.34,32.02,52.1,44.87,3.08,1.81,2.82,-0.42,6.32,7.23,1.27
"STL","2022-10-19","2022020058","20222023","SEA","0",62.17,59.66,48.26,43.92,41.96,45.4,4.16,2.81,30.48,32.68,38.52,49.18,45.51,62.95,3.13,3.77,1.35,-2.2,-10.66,-17.45,-0.64
"STL","2022-10-22","2022020077","20222023","EDM","0",60,100,53.13,54.57,46.65,57.48,2.05,0,24.09,21.25,36.48,30.36,45.95,52.56,2.73,2.02,2.05,2.83,6.12,-6.61,0.71
"STL","2022-10-24","2022020095","20222023","WPG","0",60,0,36.7,41.27,41.98,32.2,0,3.95,25.14,43.35,40.18,57.19,53.75,74.3,2.04,4.3,-3.95,-18.22,-17,-20.54,-2.26
"STL","2022-10-26","2022020109","20222023","EDM","1",60,21.89,53.44,51.92,44.83,41.04,0.87,3.09,34.84,30.36,47.43,43.92,55.33,68.08,2.92,4.19,-2.22,4.48,3.51,-12.75,-1.28
"STL","2022-10-27","2022020115","20222023","NSH","0",60,26.81,46.59,46.06,43.3,40.18,2.14,5.84,36.02,41.3,46.14,54.04,55.55,72.74,3.27,4.86,-3.7,-5.27,-7.9,-17.19,-1.6
"STL","2022-10-29","2022020133","20222023","MTL","1",60,34.57,52.06,50.5,53,45.15,3.81,7.22,28.38,26.13,41.3,40.48,51.58,45.74,3,3.64,-3.4,2.24,0.82,5.84,-0.64
"STL","2022-10-31","2022020146","20222023","L.A","1",60,14.88,42.14,37.38,39.63,44.17,0.94,5.36,24.95,34.26,33.71,56.47,44.34,67.55,2.69,3.4,-4.43,-9.31,-22.76,-23.21,-0.71
"STL","2022-11-03","2022020166","20222023","NYI","1",60,25.83,49.59,51.66,51.09,40.01,1.81,5.2,31.04,31.56,48.11,45.01,56.14,53.74,2.73,4.09,-3.39,-0.52,3.1,2.4,-1.36
"STL","2022-11-07","2022020194","20222023","BOS","0",60,26.18,41.71,43.11,42.25,37.72,1.01,2.85,26.05,36.42,35,46.19,47.77,65.28,2.23,3.67,-1.84,-10.36,-11.19,-17.51,-1.45
"STL","2022-11-08","2022020199","20222023","PHI","0",60,17.3,43.74,48.81,51.72,60.35,1.01,4.84,27.61,35.52,46.49,48.76,62.51,58.35,3.4,2.24,-3.83,-7.91,-2.27,4.16,1.17
"STL","2022-11-10","2022020218","20222023","S.J","1",60,61.26,52.8,51.85,50.55,56.45,4.8,3.04,33.33,29.8,48.38,44.93,59,57.71,3.99,3.08,1.77,3.53,3.45,1.29,0.91
"STL","2022-11-12","2022020235","20222023","VGK","0",60,63.38,46.37,46.31,47.29,65.63,3.13,1.81,29.23,33.81,36.48,42.3,57.38,63.95,4.41,2.31,1.32,-4.58,-5.82,-6.58,2.1
"STL","2022-11-14","2022020247","20222023","COL","0",60,64.26,48.4,45.42,43.67,50.81,3.26,1.81,41.33,44.06,53.08,63.78,60.35,77.84,2.88,2.79,1.44,-2.73,-10.69,-17.49,0.09
"STL","2022-11-16","2022020258","20222023","CHI","0",60,75.15,62.17,59.2,54.92,64.23,5.46,1.8,39.5,24.04,47.64,32.84,58.63,48.12,4.45,2.48,3.65,15.46,14.8,10.51,1.97
