"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"T.B","2022-10-11","2022020003","20222023","NYR","0",60,27.36,41.37,42.24,40.42,34.75,1.07,2.85,26.5,37.56,34.7,47.46,47.03,69.32,2.88,5.41,-1.78,-11.06,-12.76,-22.29,-2.53
"T.B","2022-10-14","2022020021","20222023","CBJ","0",60,73.68,62.73,61.59,64.96,57.84,5.27,1.88,42.61,25.32,58.03,36.19,73.46,39.62,3.51,2.56,3.39,17.3,21.85,33.84,0.95
"T.B","2022-10-15","2022020031","20222023","PIT","0",60,26.23,43.77,40.15,41.37,27.17,2.09,5.87,35.17,45.18,42.14,62.81,54.87,77.76,2.51,6.74,-3.78,-10.01,-20.68,-22.9,-4.23
"T.B","2022-10-18","2022020053","20222023","PHI","1",60,38.49,60.99,62.35,59.2,61.51,1.93,3.08,37.8,24.18,54.95,33.18,71.18,49.05,4.25,2.66,-1.15,13.62,21.77,22.13,1.59
"T.B","2022-10-21","2022020071","20222023","FLA","0",62.13,62.81,47.33,51.44,50.67,58.13,3.18,1.88,33.1,36.83,45.11,42.58,58.85,57.29,3.57,2.57,1.3,-3.73,2.53,1.56,1
"T.B","2022-10-22","2022020080","20222023","NYI","1",60,61.52,43.35,41.83,39.83,53.86,4.85,3.04,26.43,34.54,37.5,52.16,47.36,71.53,4.32,3.7,1.82,-8.11,-14.66,-24.17,0.62
"T.B","2022-10-25","2022020106","20222023","L.A","0",60,33.95,42.32,41.88,44.8,48.13,1.98,3.85,25.31,34.5,33.09,45.91,54.72,67.43,3.21,3.46,-1.87,-9.19,-12.83,-12.72,-0.25
"T.B","2022-10-26","2022020110","20222023","ANA","0",60,68.63,61.69,63,59.53,71.26,4.12,1.88,32.16,19.97,45.18,26.54,65.78,44.72,3.78,1.53,2.24,12.19,18.64,21.05,2.26
"T.B","2022-10-29","2022020129","20222023","S.J","0",60,60.75,51.69,55.89,53.12,65.23,4.24,2.74,27.35,25.56,46.52,36.71,55.27,48.77,5.12,2.73,1.5,1.79,9.81,6.5,2.39
"T.B","2022-11-01","2022020148","20222023","OTT","1",60,53.48,65.29,55.13,50.51,56.87,3.69,3.21,31.1,16.54,39.19,31.9,56.24,55.1,3.3,2.5,0.48,14.56,7.29,1.14,0.8
"T.B","2022-11-03","2022020162","20222023","CAR","1",65,47.12,30.43,32.93,32.84,30.17,2.74,3.07,25.06,57.3,36.46,74.27,47.17,96.46,2.51,5.8,-0.33,-32.24,-37.81,-49.29,-3.29
"T.B","2022-11-05","2022020180","20222023","BUF","1",60,60.89,54.83,50.85,47.26,55.09,4.79,3.08,29.26,24.11,38.88,37.59,48.82,54.48,4.13,3.37,1.71,5.15,1.29,-5.66,0.76
"T.B","2022-11-08","2022020202","20222023","EDM","1",60,35.99,51.77,50.46,51.24,42.14,1.88,3.34,34.82,32.44,41.06,40.31,58.07,55.27,2.8,3.85,-1.46,2.38,0.75,2.8,-1.05
"T.B","2022-11-11","2022020222","20222023","WSH","0",60,17.13,52.31,50.25,47.56,53.67,1.01,4.9,27.72,25.27,42.28,41.85,62.52,68.95,3.52,3.03,-3.89,2.45,0.43,-6.43,0.48
"T.B","2022-11-13","2022020242","20222023","WSH","1",60,66.18,64.89,63.57,64.49,67.34,5.94,3.04,37.63,20.36,54.93,31.48,72.72,40.05,4.04,1.96,2.91,17.27,23.46,32.67,2.08
"T.B","2022-11-15","2022020248","20222023","DAL","1",63.72,54.03,53.89,53.82,55.74,56.17,4.79,4.08,37.12,31.76,50.14,43.02,66.4,52.73,4.84,3.78,0.71,5.36,7.12,13.67,1.06
"T.B","2022-11-17","2022020260","20222023","CGY","1",60,79.74,38.88,43,43.48,66.09,3.96,1.01,24.62,38.72,38.07,50.46,52.29,67.98,4.34,2.23,2.95,-14.09,-12.39,-15.69,2.11
"T.B","2022-11-19","2022020285","20222023","NSH","0",62.6,62.34,54.94,56.87,59.58,59.3,3.11,1.88,39.09,32.06,50.08,37.98,71.44,48.47,3.96,2.72,1.23,7.02,12.1,22.97,1.24
"T.B","2022-11-21","2022020291","20222023","BOS","1",60,33.68,50.01,54.26,50.59,46.28,2.75,5.41,32.29,32.27,43.91,37.01,49.03,47.88,2.66,3.09,-2.66,0.02,6.9,1.15,-0.43
"T.B","2022-11-25","2022020328","20222023","STL","1",60,71.03,53.13,58.78,55.64,67.13,4.95,2.02,28.8,25.41,46.93,32.91,58.95,47,4.17,2.04,2.93,3.39,14.02,11.95,2.13
"T.B","2022-11-28","2022020347","20222023","BUF","0",62.73,56.22,41.36,50.34,50.01,40.84,6.1,4.75,25.16,35.67,47.64,46.99,56.8,56.79,3.61,5.23,1.35,-10.51,0.65,0.01,-1.62
"T.B","2022-11-29","2022020355","20222023","BOS","0",60,25.68,50.39,49.39,50.62,30.74,1.01,2.91,27.18,26.75,34.16,35.01,50.02,48.79,1.46,3.29,-1.91,0.42,-0.85,1.23,-1.83
"T.B","2022-12-01","2022020367","20222023","PHI","0",60,82.06,60.6,65.18,65.32,84.39,4.29,0.94,30.36,19.74,52.65,28.13,71.1,37.75,4.99,0.92,3.35,10.62,24.52,33.35,4.07
"T.B","2022-12-03","2022020385","20222023","TOR","1",60.55,54.53,43.6,48.99,48.56,43.1,3.77,3.14,31.59,40.86,48.58,50.59,58.54,62.01,3.45,4.55,0.63,-9.27,-2.01,-3.47,-1.1
"T.B","2022-12-06","2022020405","20222023","DET","1",60,33.67,60.53,58.61,56.44,50.43,2.07,4.07,42.59,27.77,57.89,40.88,67.39,52,5.05,4.96,-2,14.82,17.01,15.39,0.09
"T.B","2022-12-08","2022020421","20222023","NSH","1",60,70.69,49.33,49.64,50.7,49.51,4.87,2.02,34.25,35.18,40.43,41.02,57.75,56.16,2.75,2.8,2.85,-0.93,-0.59,1.59,-0.05
"T.B","2022-12-10","2022020436","20222023","FLA","1",60,79.25,60.99,55.76,52.14,51.9,3.87,1.01,38.4,24.56,52.53,41.69,65.44,60.07,3.59,3.33,2.85,13.84,10.85,5.37,0.26
"T.B","2022-12-13","2022020459","20222023","SEA","1",60,74.24,47.19,47.25,47.01,60.05,5.83,2.02,31.83,35.63,44.56,49.75,56.3,63.46,3.37,2.24,3.81,-3.79,-5.19,-7.16,1.13
"T.B","2022-12-15","2022020470","20222023","CBJ","1",60,79.44,53.86,54.43,53.96,70.45,3.91,1.01,29.01,24.86,43.02,36.02,61.77,52.7,4.06,1.7,2.9,4.16,7,9.07,2.36
"T.B","2022-12-17","2022020490","20222023","MTL","0",60,85.58,60.99,58.94,58.74,64.66,5.57,0.94,32.02,20.48,39.16,27.28,54.41,38.22,3.73,2.04,4.63,11.54,11.87,16.2,1.69
"T.B","2022-12-20","2022020513","20222023","TOR","0",60,20.17,30.86,36.03,42.38,19.13,1.01,4,18.28,40.94,28.85,51.24,42,57.12,1.42,6,-2.99,-22.67,-22.38,-15.11,-4.58
"T.B","2022-12-21","2022020519","20222023","DET","0",60,37.56,58.12,58.27,58.36,43.66,4.1,6.82,40.91,29.47,47.31,33.89,65.67,46.86,3.77,4.87,-2.72,11.43,13.42,18.81,-1.1
"T.B","2022-12-28","2022020559","20222023","MTL","1",60,79.46,62.46,66.3,63.96,76.62,3.92,1.01,40.64,24.42,53.53,27.21,68.6,38.65,5.45,1.66,2.9,16.22,26.33,29.95,3.79
"T.B","2022-12-29","2022020565","20222023","NYR","1",65,46.92,42.86,42.45,44.56,43.01,0.94,1.06,37.46,49.94,52.35,70.97,72.55,90.25,3.77,4.99,-0.12,-12.48,-18.62,-17.7,-1.22
"T.B","2022-12-31","2022020582","20222023","ARI","1",60,60.16,51.11,54.15,54.81,50.67,4.75,3.14,33.67,32.21,46.83,39.65,56.59,46.67,2.86,2.79,1.6,1.46,7.18,9.92,0.08
"T.B","2023-01-03","2022020605","20222023","CHI","0",60,81.91,55.14,59.46,54.52,66.54,4.22,0.93,30.31,24.66,47.19,32.18,61.47,51.27,4.27,2.15,3.29,5.65,15.01,10.2,2.12
"T.B","2023-01-04","2022020610","20222023","MIN","0",60,16.9,49.69,51.61,51.36,49.58,1.01,4.95,33.84,34.27,48.97,45.92,62.89,59.56,2.9,2.95,-3.94,-0.43,3.05,3.33,-0.05
