"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"TOR","2022-10-12","2022020007","20222023","MTL","0",60,45.08,60.81,56.31,58.67,60.63,3.09,3.77,33.49,21.58,42.18,32.73,66.57,46.9,3.65,2.37,-0.67,11.91,9.45,19.67,1.28
"TOR","2022-10-13","2022020015","20222023","WSH","1",60,57.6,58.12,49.74,46.41,66.81,2.82,2.07,37.63,27.12,47.26,47.76,55.92,64.56,4.75,2.36,0.74,10.52,-0.5,-8.64,2.39
"TOR","2022-10-15","2022020030","20222023","OTT","1",60,57.41,50.02,52.04,52.36,47.3,2.82,2.09,29.89,29.87,44.63,41.13,62.35,56.74,2.76,3.07,0.73,0.02,3.5,5.62,-0.31
"TOR","2022-10-17","2022020040","20222023","ARI","1",60,30.08,55.08,61.5,62.96,50.96,1.8,4.19,25.77,21.02,39.43,24.68,55.89,32.88,2.83,2.72,-2.39,4.75,14.74,23.01,0.11
"TOR","2022-10-20","2022020061","20222023","DAL","1",63.77,57.91,58.3,49.77,47.02,61.1,2.84,2.07,40.87,29.24,45.7,46.13,60.56,68.23,4.65,2.96,0.78,11.63,-0.43,-7.67,1.69
"TOR","2022-10-22","2022020082","20222023","WPG","0",60,81.7,50.49,54.73,57.16,54.22,4.22,0.94,29.53,28.95,48.14,39.83,67.83,50.84,3.59,3.03,3.27,0.57,8.32,16.99,0.56
"TOR","2022-10-24","2022020096","20222023","VGK","0",60,26.1,40.3,43.62,49.49,38.42,1.01,2.87,22.63,33.53,34.51,44.6,62.51,63.8,2.9,4.65,-1.85,-10.89,-10.09,-1.3,-1.75
"TOR","2022-10-27","2022020119","20222023","S.J","0",60.95,43.73,43.98,48.94,48.75,42.76,3.03,3.9,24.62,31.36,38.9,40.58,48.64,51.14,2.08,2.78,-0.87,-6.74,-1.68,-2.5,-0.7
"TOR","2022-10-29","2022020134","20222023","L.A","0",60,35.62,49.39,51.58,49.63,52.87,2.09,3.78,28.15,28.84,43.36,40.7,53.14,53.94,3.55,3.17,-1.69,-0.7,2.66,-0.8,0.39
"TOR","2022-10-30","2022020142","20222023","ANA","0",62.25,46.33,51.94,52.77,52.29,64.45,3.32,3.85,39.01,36.1,52.41,46.89,62.77,57.28,5.54,3.05,-0.53,2.91,5.51,5.49,2.48
"TOR","2022-11-02","2022020159","20222023","PHI","1",60,69.82,64.25,64.66,66.66,66.17,4.78,2.07,44.42,24.72,59.58,32.56,80.24,40.13,4.16,2.13,2.71,19.7,27.01,40.11,2.03
"TOR","2022-11-05","2022020179","20222023","BOS","1",60,65.96,57.47,53.8,50.33,62.03,1.88,0.97,28.01,20.73,38.08,32.7,47.73,47.11,1.77,1.09,0.91,7.28,5.37,0.62,0.69
"TOR","2022-11-06","2022020191","20222023","CAR","0",60,77.12,41.27,38.95,39.04,44.11,3.14,0.93,21.01,29.9,35.01,54.87,44.26,69.1,3.31,4.2,2.21,-8.89,-19.86,-24.85,-0.89
