"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"VAN","2022-10-12","2022020010","20222023","EDM","0",60,42.01,63.8,64.32,61.81,52.56,3.32,4.58,40.41,22.92,52.63,29.2,71.31,44.05,3.52,3.18,-1.26,17.48,23.43,27.26,0.34
"VAN","2022-10-15","2022020026","20222023","PHI","0",60,44.33,53.06,53.68,56.8,53.22,2.13,2.68,32.17,28.46,44.29,38.21,59.61,45.34,3.01,2.65,-0.54,3.71,6.08,14.27,0.36
"VAN","2022-10-17","2022020043","20222023","WSH","0",60,43.19,51.46,54.94,53.74,42.79,4.27,5.62,30.8,29.05,45.16,37.04,59.85,51.52,2.3,3.07,-1.35,1.75,8.12,8.33,-0.77
"VAN","2022-10-18","2022020050","20222023","CBJ","0",63.35,45.48,55.46,51.31,53.68,41.15,3.21,3.85,37.98,30.5,42.55,40.38,61.19,52.79,2.25,3.21,-0.64,7.48,2.17,8.4,-0.97
"VAN","2022-10-20","2022020067","20222023","MIN","0",63.03,45.32,43.38,49.72,50.91,54.94,3.13,3.78,27.17,35.46,43.26,43.75,59.12,57.02,3.48,2.86,-0.65,-8.29,-0.49,2.1,0.63
"VAN","2022-10-22","2022020084","20222023","BUF","1",60,14.14,46.82,45.23,45.92,41.86,0.87,5.26,26.84,30.48,38.2,46.26,53.82,63.38,3,4.17,-4.39,-3.64,-8.06,-9.56,-1.17
"VAN","2022-10-24","2022020097","20222023","CAR","1",60,35.99,26.46,27.61,32.37,30.82,1.8,3.21,15.02,41.74,22.55,59.12,35.74,74.67,1.56,3.51,-1.41,-26.72,-36.56,-38.93,-1.95
"VAN","2022-10-27","2022020118","20222023","SEA","0",60,57.31,37.3,32.19,33.39,48.54,5.17,3.85,19.81,33.31,24.21,51.01,32.83,65.49,2.37,2.51,1.32,-13.49,-26.8,-32.67,-0.14
"VAN","2022-10-28","2022020125","20222023","PIT","1",60,83.12,47.04,45.92,43.32,52.81,4.95,1.01,29.77,33.52,36.72,43.25,46.29,60.56,3.79,3.38,3.95,-3.75,-6.53,-14.27,0.4
"VAN","2022-11-01","2022020157","20222023","N.J","1",60,26.12,32.44,37.7,40.86,35.23,1.9,5.37,20.67,43.05,33.8,55.85,48.07,69.59,2.41,4.42,-3.47,-22.38,-22.05,-21.52,-2.02
"VAN","2022-11-03","2022020171","20222023","ANA","1",60,60.35,60.8,62.48,58.01,68.4,7.79,5.12,47.89,30.87,57.88,34.76,64.79,46.9,4.85,2.24,2.67,17.02,23.13,17.89,2.61
"VAN","2022-11-05","2022020186","20222023","NSH","1",65,49.14,61.23,54.31,53.38,54.64,2.93,3.03,46.56,29.48,53.83,45.29,69.23,60.46,4.2,3.49,-0.1,17.08,8.54,8.77,0.71
"VAN","2022-11-08","2022020200","20222023","OTT","0",60,62.05,41.53,37.58,37.69,42.54,6.2,3.79,29.34,41.32,36.7,60.96,46.95,77.63,3.49,4.71,2.41,-11.97,-24.26,-30.67,-1.22
"VAN","2022-11-09","2022020209","20222023","MTL","0",60,29.3,49.56,51.37,52.64,47.46,2.02,4.88,30.68,31.22,40.98,38.8,53.77,48.38,2.87,3.18,-2.86,-0.54,2.18,5.39,-0.31
"VAN","2022-11-12","2022020230","20222023","TOR","0",60,44.94,47.62,46.53,50.19,33.98,2.24,2.75,29.64,32.6,42.06,48.33,61.6,61.13,1.83,3.56,-0.5,-2.96,-6.27,0.47,-1.73
"VAN","2022-11-13","2022020241","20222023","BOS","0",60,29.39,48.17,49.42,47.81,48.38,2.01,4.83,29.86,32.12,40.43,41.38,52.39,57.19,2.45,2.62,-2.82,-2.26,-0.95,-4.8,-0.16
"VAN","2022-11-15","2022020252","20222023","BUF","0",60,59.75,55.46,53.59,52.74,64.73,5.57,3.75,36.01,28.91,48.57,42.06,65.45,58.66,4.73,2.58,1.82,7.09,6.5,6.79,2.15
"VAN","2022-11-18","2022020273","20222023","L.A","1",60,79.46,41.44,40.95,46.6,35.73,3.92,1.01,26.01,36.75,35.01,50.48,52.73,60.43,2.17,3.89,2.9,-10.74,-15.47,-7.7,-1.73
"VAN","2022-11-21","2022020300","20222023","VGK","1",60,42.52,41.56,41.84,44.91,29.15,3.82,5.16,27.97,39.33,34.61,48.11,49.3,60.46,1.85,4.49,-1.34,-11.36,-13.5,-11.17,-2.64
"VAN","2022-11-23","2022020317","20222023","COL","0",60,59.83,42.83,40.97,39.27,42.38,4.17,2.8,25.82,34.47,32.11,46.26,40.81,63.11,2.2,2.99,1.37,-8.65,-14.15,-22.3,-0.79
"VAN","2022-11-26","2022020340","20222023","VGK","0",60,85.62,63.97,60.46,60.58,58.58,5.58,0.94,42.06,23.7,57.42,37.56,78.13,50.83,4.12,2.91,4.65,18.37,19.87,27.3,1.21
"VAN","2022-11-27","2022020344","20222023","S.J","0",61.2,59.36,39.12,49.25,55.63,60.32,4.1,2.81,21.06,32.77,42.56,43.85,72.17,57.57,2.99,1.97,1.29,-11.71,-1.29,14.6,1.02
"VAN","2022-11-29","2022020359","20222023","WSH","1",60,15.18,47.55,46.93,46.14,38.78,0.94,5.24,28.56,31.51,38.12,43.12,48.56,56.67,2.65,4.18,-4.31,-2.95,-4.99,-8.11,-1.53
"VAN","2022-12-01","2022020373","20222023","FLA","1",60,14.93,45.07,43.91,43.47,31.79,0.94,5.34,29.51,35.96,40.07,51.18,49.7,64.64,2.01,4.32,-4.41,-6.46,-11.11,-14.93,-2.31
"VAN","2022-12-03","2022020388","20222023","ARI","1",64.15,56.05,54.45,55.51,59.08,71.23,2.73,2.14,29.76,24.9,45.88,36.77,64.49,44.67,4.37,1.77,0.59,4.87,9.11,19.83,2.61
"VAN","2022-12-05","2022020402","20222023","MTL","1",60.22,51.59,50.17,43.15,43.95,41.13,6.76,6.35,29.33,29.12,37.32,49.16,48.99,62.49,3.05,4.36,0.42,0.2,-11.84,-13.5,-1.31
"VAN","2022-12-07","2022020418","20222023","S.J","0",64.42,57.61,43.13,46.01,44.21,48.64,6.2,4.56,28.14,37.1,41.05,48.17,59.16,74.64,3.86,4.08,1.64,-8.96,-7.12,-15.49,-0.22
"VAN","2022-12-10","2022020441","20222023","MIN","1",60,0,45.84,43.28,46.47,39.08,0,3.33,31.06,36.7,43.5,57.02,62.59,72.1,2.92,4.55,-3.33,-5.64,-13.51,-9.51,-1.63
"VAN","2022-12-14","2022020468","20222023","CGY","0",65,53.35,44,46.4,49.12,48.15,3.14,2.75,28.39,36.13,43.49,50.23,60.34,62.5,3.55,3.82,0.4,-7.75,-6.74,-2.15,-0.27
