"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"VGK","2022-10-11","2022020004","20222023","L.A","0",60,59.88,64.34,59.32,60.56,67.78,4.21,2.82,52.6,29.15,61.01,41.84,83.35,54.28,5.29,2.52,1.39,23.45,19.17,29.07,2.78
"VGK","2022-10-13","2022020019","20222023","CHI","1",60,100,57.53,60.05,58.2,67.16,0.94,0,37.32,27.55,52.3,34.79,75,53.86,5.08,2.49,0.94,9.77,17.51,21.14,2.6
"VGK","2022-10-15","2022020037","20222023","SEA","0",60,75.53,54.5,56.1,52.56,58.86,5.57,1.8,34.61,28.9,47.76,37.38,59.63,53.82,2.83,1.98,3.76,5.72,10.38,5.81,0.85
"VGK","2022-10-18","2022020055","20222023","CGY","0",60,44.33,38.97,43.11,39.7,31.79,2.13,2.68,23.48,36.76,36.85,48.64,45.86,69.66,1.97,4.23,-0.54,-13.28,-11.79,-23.8,-2.26
"VGK","2022-10-20","2022020070","20222023","WPG","1",60,70.7,56.49,55.69,55.65,74.2,4.88,2.02,33.83,26.05,47,37.39,57.87,46.12,4.1,1.43,2.86,7.78,9.6,11.75,2.68
"VGK","2022-10-22","2022020086","20222023","COL","1",60,35.87,54.14,49.74,43.72,54.99,1.8,3.22,32.08,27.17,41.87,42.32,55.82,71.84,3.18,2.61,-1.42,4.91,-0.44,-16.02,0.58
"VGK","2022-10-24","2022020096","20222023","TOR","1",60,73.9,59.7,56.38,50.51,61.58,2.87,1.01,33.53,22.63,44.6,34.51,63.8,62.51,4.65,2.9,1.85,10.89,10.09,1.3,1.75
"VGK","2022-10-25","2022020107","20222023","S.J","0",60,69.07,52.14,51.24,48.62,56.88,4.2,1.88,32.11,29.48,43.95,41.83,63.82,67.44,3.21,2.44,2.32,2.63,2.13,-3.62,0.78
"VGK","2022-10-28","2022020121","20222023","ANA","1",60,100,45.01,50.45,48.71,49.89,3.9,0,22.74,27.78,37.28,36.61,50.36,53.03,2.11,2.12,3.9,-5.04,0.67,-2.67,-0.01
"VGK","2022-10-30","2022020143","20222023","WPG","1",64.88,65.01,65.09,60.7,55.86,71.57,1.97,1.06,46.29,24.82,59.51,38.53,74.92,59.21,5.96,2.37,0.91,21.47,20.98,15.72,3.59
"VGK","2022-11-01","2022020150","20222023","WSH","0",61.58,61.4,58.82,53.54,52.34,61.85,2.99,1.88,30.33,21.23,36.23,31.43,60.83,55.4,2.18,1.35,1.11,9.1,4.8,5.43,0.84
"VGK","2022-11-03","2022020163","20222023","OTT","0",60,59.28,47.04,47.22,44.27,53.85,5.46,3.75,36.6,41.21,49.55,55.38,58.37,73.5,4.48,3.84,1.71,-4.6,-5.83,-15.12,0.64
"VGK","2022-11-05","2022020184","20222023","MTL","0",60,64.55,61.54,59.89,61.37,71.3,6.52,3.58,46.25,28.91,54.09,36.22,83.78,52.74,4.79,1.93,2.94,17.35,17.87,31.04,2.86
"VGK","2022-11-08","2022020201","20222023","TOR","0",60.38,59.22,40.91,45.13,45.62,51.9,4.1,2.82,20.78,30.01,34.69,42.18,45.06,53.73,3.16,2.92,1.28,-9.23,-7.49,-8.66,0.23
"VGK","2022-11-10","2022020215","20222023","BUF","0",60,67.61,55.74,50.92,48.91,55.34,7.38,3.54,39.49,31.37,45.37,43.73,62.47,65.25,3.89,3.14,3.85,8.13,1.64,-2.78,0.75
"VGK","2022-11-12","2022020235","20222023","STL","1",60,36.62,53.63,53.69,52.71,34.37,1.81,3.13,33.81,29.23,42.3,36.48,63.95,57.38,2.31,4.41,-1.32,4.58,5.82,6.58,-2.1
"VGK","2022-11-15","2022020256","20222023","S.J","1",60,27.28,46.53,49.62,45.11,46.03,1.89,5.04,25.52,29.33,37.14,37.7,50.12,60.97,2.21,2.59,-3.15,-3.81,-0.57,-10.86,-0.38
"VGK","2022-11-17","2022020270","20222023","ARI","1",60,79.38,60.5,58.37,54.3,61.59,3.9,1.01,39.24,25.62,51.04,36.4,62.75,52.8,3.72,2.32,2.88,13.62,14.64,9.94,1.4
"VGK","2022-11-19","2022020287","20222023","EDM","0",61.28,43.74,60.77,56.46,56,53.71,2.99,3.85,34.91,22.54,44.25,34.12,60.31,47.38,3.53,3.05,-0.86,12.38,10.13,12.93,0.49
"VGK","2022-11-21","2022020300","20222023","VAN","0",60,57.48,58.44,58.16,55.09,70.85,5.16,3.82,39.33,27.97,48.11,34.61,60.46,49.3,4.49,1.85,1.34,11.36,13.5,11.17,2.64
"VGK","2022-11-23","2022020315","20222023","OTT","1",60,79.49,47.68,43.84,41.65,46.54,3.9,1.01,35.8,39.28,45.61,58.42,58.16,81.47,3.58,4.11,2.89,-3.49,-12.81,-23.31,-0.53
"VGK","2022-11-25","2022020329","20222023","SEA","1",60,29.73,39.64,39.48,37.09,44.25,1.8,4.26,20.41,31.09,27.9,42.76,41.28,70.02,2.06,2.59,-2.46,-10.68,-14.86,-28.74,-0.53
"VGK","2022-11-26","2022020340","20222023","VAN","1",60,14.38,36.03,39.54,39.42,41.42,0.94,5.58,23.7,42.06,37.56,57.42,50.83,78.13,2.91,4.12,-4.65,-18.37,-19.87,-27.3,-1.21
