"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"WPG","2022-10-14","2022020023","20222023","NYR","1",60,79.47,45.8,45.57,48.84,50.78,3.92,1.01,34.2,40.48,47.28,56.46,65.67,68.78,4.38,4.24,2.9,-6.28,-9.18,-3.12,0.13
"WPG","2022-10-17","2022020046","20222023","DAL","0",60,21.54,46.46,52.13,54.09,47.12,1.06,3.87,24.86,28.64,44.52,40.89,61.14,51.88,2.95,3.31,-2.8,-3.79,3.63,9.26,-0.36
"WPG","2022-10-19","2022020057","20222023","COL","0",60.52,60.5,50,53.86,49.26,52.49,4.2,2.74,30.42,30.42,44.01,37.71,58.87,60.65,2.5,2.26,1.46,0,6.3,-1.78,0.24
"WPG","2022-10-20","2022020070","20222023","VGK","0",60,29.3,43.51,44.31,44.35,25.8,2.02,4.88,26.05,33.83,37.39,47,46.12,57.87,1.43,4.1,-2.86,-7.78,-9.6,-11.75,-2.68
"WPG","2022-10-22","2022020082","20222023","TOR","1",60,18.3,49.51,45.27,42.84,45.78,0.94,4.22,28.95,29.53,39.83,48.14,50.84,67.83,3.03,3.59,-3.27,-0.57,-8.32,-16.99,-0.56
"WPG","2022-10-24","2022020095","20222023","STL","1",60,100,63.3,58.73,58.02,67.8,3.95,0,43.35,25.14,57.19,40.18,74.3,53.75,4.3,2.04,3.95,18.22,17,20.54,2.26
"WPG","2022-10-27","2022020120","20222023","L.A","0",60,62.26,30.74,36.03,33.61,41.46,6.16,3.74,18.82,42.41,29.34,52.1,37.28,73.65,2.49,3.51,2.43,-23.59,-22.76,-36.37,-1.02
"WPG","2022-10-28","2022020126","20222023","ARI","0",60.53,60.76,61.71,62.25,59.89,70.51,2.99,1.93,34.58,21.45,51.72,31.36,63.95,42.83,3.74,1.56,1.06,13.13,20.36,21.12,2.18
"WPG","2022-10-30","2022020143","20222023","VGK","0",64.88,34.99,34.91,39.3,44.14,28.43,1.06,1.97,24.82,46.29,38.53,59.51,59.21,74.92,2.37,5.96,-0.91,-21.47,-20.98,-15.72,-3.59
"WPG","2022-11-03","2022020165","20222023","MTL","1",61.75,57.21,59.88,59.46,61.35,55.17,2.84,2.12,34.51,23.12,49.47,33.72,63.43,39.96,4.11,3.34,0.72,11.38,15.74,23.47,0.77
"WPG","2022-11-05","2022020176","20222023","CHI","1",60,100,56.03,57.84,58.42,58.86,3.92,0,37.9,29.74,54.56,39.77,69.66,49.57,3.86,2.69,3.92,8.16,14.79,20.09,1.16
"WPG","2022-11-08","2022020204","20222023","DAL","1",60,82.18,60.49,57.89,54.22,69.23,4.89,1.06,33.16,21.65,41.62,30.27,52.69,44.48,3.99,1.77,3.83,11.5,11.35,8.21,2.22
"WPG","2022-11-12","2022020236","20222023","CGY","0",60,42.59,39.22,43.46,46.94,55.84,2.09,2.82,22.63,35.07,31.58,41.08,50.15,56.69,2.86,2.26,-0.73,-12.44,-9.5,-6.54,0.6
"WPG","2022-11-13","2022020243","20222023","SEA","0",60.9,61.13,59.69,60.74,62.08,67.51,2.94,1.87,30.56,20.64,53.69,34.7,75.27,45.98,5.5,2.65,1.07,9.92,18.99,29.29,2.85
"WPG","2022-11-17","2022020266","20222023","ANA","1",60,58.18,47.33,48.96,50.41,53.36,2.76,1.98,30.19,33.6,41.44,43.2,56.26,55.34,3.68,3.21,0.77,-3.41,-1.76,0.92,0.46
"WPG","2022-11-19","2022020281","20222023","PIT","1",60,0,47.63,48.36,47.21,40.21,0,3.1,30.48,33.52,46.45,49.6,53.04,59.32,2.48,3.69,-3.1,-3.04,-3.14,-6.28,-1.21
"WPG","2022-11-21","2022020294","20222023","CAR","1",62.17,57.63,46.56,38.84,37.48,56.08,3.95,2.91,23.15,26.56,34.2,53.86,43.65,72.81,3.27,2.56,1.05,-3.42,-19.65,-29.16,0.71
