"Name","Team","Dates","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF/60","GA/60","SF/60","SA/60","FF/60","FA/60","CF/60","CA/60","xGF/60","xGA/60","G±/60","S±/60","F±/60","C±/60","xG±/60","Sh%","Sv%"
"Ducks","ANA","10/15/21 - 11/06/21",11,521.1,47.74,47.62,48.46,48.71,47.9,2.29,2.5,28.9,31.79,40.47,43.05,54.93,57.83,2.54,2.77,-0.22,-2.89,-2.57,-2.9,-0.22,7.91,92.13
"Coyotes","ARI","10/15/21 - 11/06/21",11,541.07,37.61,42.9,43.27,42.17,43.23,1.64,2.71,23.7,31.54,33.25,43.6,43.12,59.14,1.74,2.28,-1.08,-7.85,-10.35,-16.02,-0.54,6.9,91.4
"Bruins","BOS","10/15/21 - 11/06/21",9,436.57,45.52,56.94,56.59,55.57,58.53,1.79,2.14,35.37,26.75,46.4,35.59,59.32,47.43,2.41,1.71,-0.35,8.62,10.81,11.89,0.7,5.07,91.98
"Sabres","BUF","10/15/21 - 11/06/21",10,494.15,44.23,48.96,48.89,49.42,47.02,1.92,2.42,29.45,30.71,38.68,40.45,50.22,51.39,2.17,2.45,-0.5,-1.25,-1.76,-1.18,-0.27,6.51,92.13
"Hurricanes","CAR","10/15/21 - 11/06/21",9,389.02,72.5,54.11,54.62,54.84,52.97,3.25,1.23,34.68,29.42,47.65,39.59,63.22,52.06,2.79,2.47,2.02,5.27,8.06,11.16,0.31,9.36,95.81
"Blue Jackets","CBJ","10/15/21 - 11/06/21",9,433.88,46.47,46.61,47.31,48.68,46.67,1.92,2.21,28.89,33.1,39.54,44.03,54.73,57.7,2.3,2.63,-0.29,-4.21,-4.49,-2.97,-0.33,6.63,93.33
"Flames","CGY","10/15/21 - 11/06/21",11,524.13,67.53,57.76,56.66,57.44,56.35,2.82,1.35,36.5,26.7,49.35,37.74,65.38,48.45,2.77,2.15,1.46,9.81,11.61,16.93,0.62,7.71,94.93
"Blackhawks","CHI","10/15/21 - 11/06/21",11,513.68,25.36,41.91,42.76,43.43,41.43,1.36,4.01,23.59,32.7,33.07,44.26,46.02,59.93,1.84,2.6,-2.65,-9.11,-11.19,-13.91,-0.76,5.78,87.73
"Avalanche","COL","10/15/21 - 11/06/21",9,419.07,38.38,48.38,47.92,48.88,51.85,2.02,3.25,31.03,33.11,39.33,42.75,55.5,58.04,2.41,2.24,-1.22,-2.08,-3.42,-2.54,0.17,6.52,90.19
"Stars","DAL","10/15/21 - 11/06/21",9,439.02,43.97,49.72,49.83,47.79,53.21,1.38,1.76,28.46,28.78,38.46,38.72,49.97,54.59,2.2,1.94,-0.38,-0.32,-0.26,-4.62,0.27,4.87,93.87
"Red Wings","DET","10/15/21 - 11/06/21",11,530.73,46.51,46.86,45.27,43.93,48.21,1.95,2.24,28.87,32.75,37.5,45.33,48.01,61.27,2.45,2.63,-0.29,-3.87,-7.84,-13.26,-0.18,6.74,93.16
"Oilers","EDM","10/15/21 - 11/06/21",9,440.35,51.28,48.79,49.55,51,49,2.94,2.79,29.91,31.4,41.02,41.76,56.6,54.37,2.61,2.72,0.15,-1.49,-0.75,2.22,-0.11,9.82,91.12
"Panthers","FLA","10/15/21 - 11/06/21",10,470.35,60.97,55.24,55.8,56.8,51.5,2.78,1.78,35.19,28.51,46.96,37.2,64.63,49.14,2.49,2.35,1,6.68,9.76,15.48,0.15,7.91,93.75
"Kings","L.A","10/15/21 - 11/06/21",10,470.65,50.67,50.96,51.23,50.37,49.2,1.87,1.82,30.88,29.71,41.99,39.96,54.12,53.33,2.28,2.35,0.05,1.17,2.02,0.79,-0.07,6.05,93.87
"Wild","MIN","10/15/21 - 11/06/21",10,456.52,47.54,55.25,54.41,54.11,57.01,2.51,2.77,35.49,28.75,45.74,38.32,61.63,52.27,2.67,2.02,-0.26,6.74,7.42,9.36,0.66,7.07,90.37
"Canadiens","MTL","10/15/21 - 11/06/21",11,519.17,40.58,51.03,50.74,51.73,51.21,1.62,2.37,28.69,27.53,37.47,36.38,53.64,50.04,2.38,2.27,-0.75,1.15,1.09,3.6,0.11,5.64,91.4
"Devils","N.J","10/15/21 - 11/06/21",10,462.4,50.48,53.28,51.93,50.64,52.97,2.03,1.99,31.91,27.98,43.54,40.3,57.92,56.45,2.72,2.41,0.04,3.93,3.24,1.47,0.3,6.35,92.89
"Predators","NSH","10/15/21 - 11/06/21",10,459.02,45.93,47.44,48.57,49.18,49.8,1.98,2.33,28.04,31.07,39.98,42.32,52.71,54.47,2.27,2.29,-0.35,-3.03,-2.35,-1.76,-0.02,7.05,92.51
"Islanders","NYI","10/15/21 - 11/06/21",8,398.98,67.63,52.16,50.76,47.89,53.87,2.72,1.3,31.8,29.17,43.67,42.36,55.08,59.93,2.57,2.2,1.42,2.63,1.3,-4.85,0.37,8.55,95.54
"Rangers","NYR","10/15/21 - 11/06/21",10,471.62,45.34,43,44.19,44.63,43.19,1.85,2.23,24.11,31.97,36.15,45.66,49.08,60.9,2.01,2.65,-0.38,-7.85,-9.51,-11.81,-0.63,7.68,93.02
"Senators","OTT","10/15/21 - 11/06/21",10,489.47,38.84,45.37,44.91,43.67,45.59,2.16,3.41,27.75,33.42,38.05,46.68,50.25,64.83,2.29,2.74,-1.24,-5.67,-8.62,-14.58,-0.44,7.8,89.8
"Flyers","PHI","10/15/21 - 11/06/21",10,476.9,61.53,49.3,48.04,49.06,46.96,2.77,1.73,31.22,32.11,40.67,44,55.66,57.81,2.44,2.76,1.04,-0.88,-3.33,-2.14,-0.32,8.87,94.6
"Penguins","PIT","10/15/21 - 11/06/21",8,399.57,53.8,50.69,51.64,50.14,53.22,2.75,2.36,32.54,31.65,42.57,39.87,54.07,53.77,2.45,2.15,0.39,0.89,2.7,0.29,0.3,8.46,92.54
"Sharks","S.J","10/15/21 - 11/06/21",11,538,50.23,47.26,45.34,46.03,47.74,2.25,2.23,25.51,28.47,34.28,41.33,48.16,56.46,2.04,2.23,0.02,-2.96,-7.05,-8.3,-0.19,8.84,92.16
"Kraken","SEA","10/15/21 - 11/06/21",10,478.22,45.66,52.63,53.31,52.86,53.63,2.6,3.1,28.44,25.6,40.16,35.17,53.07,47.33,2.39,2.06,-0.49,2.84,4.99,5.74,0.32,9.15,87.9
"Blues","STL","10/15/21 - 11/06/21",9,429.93,60.9,51.51,50.55,51.24,50.64,2.99,1.92,32.85,30.92,43.98,43.02,57.16,54.39,2.57,2.5,1.07,1.93,0.96,2.77,0.06,9.11,93.78
"Lightning","T.B","10/15/21 - 11/06/21",9,426.38,58.31,53.23,54.54,54.01,56.85,2.55,1.82,30.58,26.87,43.36,36.14,55.73,47.46,2.58,1.96,0.73,3.71,7.22,8.27,0.62,8.34,93.21
"Maple Leafs","TOR","10/15/21 - 11/06/21",10,491.17,50.53,51.36,51.84,54.55,53.2,2.39,2.33,31.88,30.19,44.24,41.1,62.19,51.83,2.69,2.37,0.05,1.69,3.14,10.37,0.32,7.48,92.27
"Canucks","VAN","10/15/21 - 11/06/21",10,461.53,52.16,47.33,48.02,49.27,44.81,1.96,1.79,27.03,30.08,37.1,40.15,51.56,53.1,1.84,2.27,0.16,-3.05,-3.06,-1.53,-0.43,7.24,94.03
"Golden Knights","VGK","10/15/21 - 11/06/21",9,457.53,45.35,50.18,50.5,50.34,45,1.97,2.38,32.74,32.5,44.06,43.2,60.85,60.04,2.61,3.19,-0.4,0.24,0.87,0.81,-0.58,6.02,92.69
"Jets","WPG","10/15/21 - 11/06/21",10,496.83,61.05,49.02,50.2,51.86,46.71,2.79,1.78,28.91,30.07,40.93,40.61,57.47,53.35,2.38,2.71,1.01,-1.16,0.32,4.12,-0.33,9.66,94.08
"Capitals","WSH","10/15/21 - 11/06/21",10,481.77,61.54,53.98,54.77,51.96,56.03,3.16,1.97,31.14,26.55,43.06,35.56,55.62,51.43,2.71,2.13,1.18,4.59,7.5,4.2,0.58,10.15,92.56
