"Name","Team","Season","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF/60","GA/60","SF/60","SA/60","FF/60","FA/60","CF/60","CA/60","xGF/60","xGA/60","G±/60","S±/60","F±/60","C±/60","xG±/60","Sh%","Sv%"
"Ducks","ANA","22-23",10,481.08,43.98,41.72,41.35,43.23,41.29,2.5,3.18,26.5,37.02,35.2,49.93,48.29,63.42,2.22,3.15,-0.68,-10.52,-14.73,-15.14,-0.93,9.43,91.4
"Coyotes","ARI","22-23",9,405.17,30.51,36.09,38.13,38.8,32.18,1.66,3.78,21.05,37.27,30.31,49.19,41,64.66,1.6,3.38,-2.12,-16.22,-18.88,-23.66,-1.78,7.89,89.86
"Bruins","BOS","22-23",10,461.3,59.14,53.98,54.01,53.07,55.35,3.51,2.43,34.41,29.33,45.39,38.65,60.14,53.18,2.87,2.32,1.09,5.08,6.74,6.97,0.56,10.21,91.73
"Sabres","BUF","22-23",10,471.95,58.32,50.74,51.55,52.23,49.75,3.26,2.33,32.38,31.44,44.71,42.03,58.31,53.34,2.67,2.7,0.93,0.95,2.68,4.97,-0.03,10.08,92.58
"Hurricanes","CAR","22-23",9,418.03,60.29,59.23,63.12,64.28,60.79,3.07,2.02,35.76,24.61,53.47,31.24,74.44,41.37,3.3,2.13,1.05,11.14,22.23,33.07,1.17,8.58,91.79
"Blue Jackets","CBJ","22-23",10,491.42,38.34,44.35,42.58,42.68,42.34,2.65,4.26,27.88,34.98,36.95,49.82,50.54,67.89,2.15,2.93,-1.61,-7.1,-12.87,-17.34,-0.78,9.51,87.81
"Flames","CGY","22-23",8,357.6,53.03,56.77,54.98,54.39,52.05,2.94,2.6,36.68,27.93,49.42,40.47,64.88,54.4,2.79,2.57,0.34,8.74,8.95,10.48,0.22,8.01,90.69
"Blackhawks","CHI","22-23",10,460.7,42.42,41.6,41.59,41.3,45.09,2.05,2.78,24,33.69,32.57,45.74,44.34,63.02,2.19,2.67,-0.73,-9.69,-13.17,-18.69,-0.48,8.54,91.75
"Avalanche","COL","22-23",9,421.13,48.86,51.27,50.99,52.8,46.69,1.59,1.67,33.26,31.61,43.77,42.07,61.8,55.24,2.45,2.8,-0.07,1.65,1.7,6.56,-0.35,4.79,94.73
"Stars","DAL","22-23",10,457.1,60.98,51.74,50.81,51.79,52.72,2.63,1.69,30.36,28.32,42.82,41.44,60.25,56.1,2.74,2.45,0.95,2.04,1.37,4.16,0.28,8.68,94.05
