"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Aaron Dell","2021-11-13","2021020211","20212022","BUF","TOR","1","G",59.8,99.67,5.44,28.09,38.1,1.56,80.65,85.73,95.92,-10.19,-3.88
"Aaron Dell","2021-11-18","2021020247","20212022","BUF","CGY","1","G",20,33.33,0,11.91,16.76,0.61,100,100,96.36,3.64,0.61
"Aaron Dell","2021-11-21","2021020277","20212022","BUF","NYR","0","G",58.98,98.31,4.73,34.67,43.22,4.31,86.37,89.06,90.02,-0.96,-0.41
"Aaron Dell","2021-11-22","2021020281","20212022","BUF","CBJ","1","G",38.5,64.17,1.07,16.7,30.38,1.42,93.59,96.47,95.33,1.14,0.35
"Aaron Dell","2021-11-24","2021020290","20212022","BUF","BOS","1","G",20,33.33,4.33,23.46,28.14,1.19,81.56,84.62,95.77,-11.15,-3.14
"Aaron Dell","2021-12-02","2021020354","20212022","BUF","FLA","0","G",58.25,97.08,4.62,38.5,46.59,3.66,87.99,90.07,92.14,-2.06,-0.96
"Aaron Dell","2021-12-04","2021020373","20212022","BUF","CAR","0","G",10.05,16.75,0,4.42,4.44,0.37,100,100,91.63,8.37,0.37
"Aaron Dell","2022-01-13","2021020657","20212022","BUF","NSH","0","G",59.95,99.92,0.87,27.12,37.02,1.71,96.81,97.66,95.38,2.28,0.84
"Aaron Dell","2022-01-15","2021020667","20212022","BUF","DET","0","G",59.98,99.97,3.9,40.35,49.69,4.01,90.33,92.15,91.94,0.21,0.1
"Aaron Dell","2022-01-17","2021020682","20212022","BUF","DET","1","G",62.12,100,2.99,34.66,44.56,3.03,91.38,93.3,93.21,0.09,0.04
"Aaron Dell","2022-01-20","2021020705","20212022","BUF","DAL","1","G",57.97,96.61,5.11,45.66,62.26,4.46,88.81,91.8,92.83,-1.04,-0.64
"Aaron Dell","2022-01-25","2021020744","20212022","BUF","OTT","0","G",59.78,99.64,4.9,51.12,66.83,4.12,90.41,92.66,93.83,-1.17,-0.78
"Aaron Dell","Total","-","21-22","BUF","-","-","G",47.12,78.3,37.95,356.65,467.99,30.45,89.36,91.89,93.49,-1.6,-7.5
