"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Adin Hill","2021-10-16","2021020033","20212022","S.J","WPG","1","G",60,100,3.26,24.5,31.86,1.88,86.71,89.78,94.09,-4.31,-1.37
"Adin Hill","2021-10-19","2021020040","20212022","S.J","MTL","0","G",60,100,0,18.15,30.11,1.26,100,100,95.82,4.18,1.26
"Adin Hill","2021-10-22","2021020063","20212022","S.J","TOR","0","G",60,100,2.81,30.56,47.74,3.78,90.79,94.1,92.09,2.02,0.96
"Adin Hill","2021-10-24","2021020079","20212022","S.J","BOS","0","G",25.68,42.81,3.92,14.69,21.1,0.67,73.34,81.45,96.8,-15.36,-3.24
"Adin Hill","2021-10-28","2021020109","20212022","S.J","MTL","1","G",58.73,97.89,3.32,35.57,40.55,3.57,90.68,91.82,91.2,0.63,0.25
"Adin Hill","2021-11-04","2021020155","20212022","S.J","STL","1","G",59.37,98.94,4.09,27.57,40.44,2.5,85.16,89.88,93.82,-3.94,-1.59
"Adin Hill","2021-11-09","2021020189","20212022","S.J","CGY","0","G",60,100,0.94,35.97,52.04,3.34,97.39,98.2,93.58,4.62,2.4
"Adin Hill","2021-11-13","2021020221","20212022","S.J","COL","0","G",59.9,99.83,4.78,31.04,42.27,2.54,84.59,88.69,93.99,-5.31,-2.24
"Adin Hill","2021-11-20","2021020273","20212022","S.J","WSH","1","G",58.57,97.61,3.32,22.9,33.52,1.95,85.52,90.11,94.17,-4.06,-1.36
"Adin Hill","2021-11-26","2021020316","20212022","S.J","TOR","1","G",29.27,48.78,0,19.13,20.41,0.94,100,100,95.38,4.62,0.94
"Adin Hill","2021-12-02","2021020355","20212022","S.J","NYI","0","G",60.65,100,0.94,24.65,33.43,1.56,96.17,97.17,95.32,1.85,0.62
"Adin Hill","2021-12-03","2021020362","20212022","S.J","NYR","0","G",59.12,98.53,0.93,27.61,38.78,2.63,96.62,97.59,93.22,4.37,1.7
"Adin Hill","2021-12-05","2021020379","20212022","S.J","CBJ","0","G",58.98,98.31,4.75,28.7,38.26,1.64,83.44,87.58,95.7,-8.13,-3.11
"Adin Hill","2021-12-07","2021020397","20212022","S.J","CGY","1","G",60,100,3.19,45.44,64.14,3.36,92.97,95.02,94.76,0.26,0.17
"Adin Hill","2021-12-09","2021020410","20212022","S.J","MIN","1","G",59.08,98.47,3.43,28.17,43.01,2.44,87.83,92.03,94.32,-2.29,-0.98
"Adin Hill","2021-12-16","2021020464","20212022","S.J","VAN","1","G",59.85,99.75,4.39,32.13,42.68,2.42,86.35,89.72,94.32,-4.6,-1.96
"Adin Hill","2022-01-04","2021020588","20212022","S.J","DET","0","G",20,33.33,1.98,7.6,14.31,0.91,74,86.19,93.66,-7.47,-1.07
"Adin Hill","2022-01-06","2021020600","20212022","S.J","BUF","0","G",60,100,1.97,34.92,43.85,1.76,94.36,95.51,95.98,-0.47,-0.21
"Adin Hill","2022-01-08","2021020616","20212022","S.J","PHI","0","G",60.4,100,1.94,30.22,41.84,2.44,93.58,95.37,94.17,1.2,0.5
"Adin Hill","2022-01-11","2021020645","20212022","S.J","DET","1","G",60.88,99.81,2.14,19.19,26.22,2.05,88.87,91.85,92.19,-0.33,-0.09
"Adin Hill","2022-01-13","2021020660","20212022","S.J","NYR","1","G",58.93,98.22,2.15,33.3,41.58,2.47,93.55,94.83,94.05,0.78,0.33
"Adin Hill","2022-01-15","2021020678","20212022","S.J","PIT","1","G",60.62,100,1.98,27.91,39.45,2.47,92.9,94.98,93.74,1.24,0.49
"Adin Hill","2022-01-20","2021020712","20212022","S.J","SEA","0","G",58.45,97.42,2.87,16.67,26.61,1.61,82.78,89.21,93.96,-4.75,-1.26
"Adin Hill","2022-01-22","2021020731","20212022","S.J","T.B","1","G",47.47,79.11,3.33,21.61,33.74,2.76,84.62,90.15,91.81,-1.67,-0.56
"Adin Hill","2022-03-12","2021020941","20212022","S.J","L.A","1","G",60,100,0,27.52,39.7,2.52,100,100,93.65,6.35,2.52
"Adin Hill","Total","-","21-22","S.J","-","-","G",55.04,91.57,62.41,665.7,927.62,55.5,90.62,93.27,94.02,-0.75,-6.91
