"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Alexandar Georgiev","2021-10-13","2021020004","20212022","NYR","WSH","0","G",59.57,99.28,4.9,28.28,41.87,2.38,82.66,88.29,94.32,-6.03,-2.53
"Alexandar Georgiev","2021-10-23","2021020067","20212022","NYR","OTT","0","G",60,100,1.87,29.01,40.51,1.9,93.54,95.37,95.3,0.07,0.03
"Alexandar Georgiev","2021-11-05","2021020158","20212022","NYR","EDM","0","G",63.45,100,5.58,35.64,51.09,3.34,84.35,89.08,93.45,-4.37,-2.23
"Alexandar Georgiev","2021-11-13","2021020217","20212022","NYR","CBJ","0","G",6.75,11.25,0,1.78,4.64,0.16,100,100,96.6,3.4,0.16
"Alexandar Georgiev","2021-11-14","2021020226","20212022","NYR","N.J","1","G",64.98,99.97,3.08,27.59,38.8,2.13,88.84,92.06,94.52,-2.45,-0.95
"Alexandar Georgiev","2021-11-21","2021020277","20212022","NYR","BUF","1","G",39.17,65.28,4.21,18.86,27.34,1.15,77.67,84.6,95.79,-11.19,-3.06
"Alexandar Georgiev","2021-12-03","2021020362","20212022","NYR","S.J","1","G",14.87,24.78,0,8.69,12.62,0.59,100,100,95.3,4.7,0.59
"Alexandar Georgiev","2021-12-04","2021020371","20212022","NYR","CHI","1","G",60,100,2.03,27.63,35.68,2.41,92.65,94.31,93.24,1.07,0.38
"Alexandar Georgiev","2021-12-07","2021020393","20212022","NYR","CHI","0","G",60,100,1.88,24.67,38.21,2.61,92.37,95.07,93.16,1.91,0.73
"Alexandar Georgiev","2021-12-10","2021020412","20212022","NYR","BUF","0","G",60,100,0.94,33.45,38.78,2.44,97.2,97.58,93.71,3.87,1.5
"Alexandar Georgiev","2021-12-12","2021020431","20212022","NYR","NSH","1","G",58.43,97.39,1.06,25.58,31.07,2.11,95.85,96.59,93.19,3.39,1.05
"Alexandar Georgiev","2021-12-14","2021020447","20212022","NYR","COL","0","G",56.75,94.58,3.92,31.9,42.91,3.54,87.73,90.88,91.75,-0.88,-0.38
"Alexandar Georgiev","2021-12-17","2021020465","20212022","NYR","VGK","1","G",64.97,99.95,2.07,31.04,48.18,3.27,93.32,95.7,93.21,2.49,1.2
"Alexandar Georgiev","2022-01-03","2021020585","20212022","NYR","EDM","1","G",59.7,99.5,1.01,32.34,44.81,2.64,96.87,97.74,94.11,3.63,1.63
"Alexandar Georgiev","2022-01-06","2021020608","20212022","NYR","VGK","0","G",60,100,4.84,35.85,52.19,4.04,86.49,90.72,92.26,-1.53,-0.8
"Alexandar Georgiev","2022-01-08","2021020627","20212022","NYR","ANA","0","G",59.78,99.64,0.94,13.35,37.28,1.97,92.92,97.46,94.7,2.76,1.03
"Alexandar Georgiev","2022-01-10","2021020636","20212022","NYR","L.A","0","G",58.15,96.92,1.93,38.86,52.42,3.59,95.03,96.31,93.15,3.16,1.66
"Alexandar Georgiev","2022-01-21","2021020715","20212022","NYR","CAR","0","G",59.57,99.28,5.88,36.76,53.4,5.27,84.01,88.99,90.13,-1.14,-0.61
"Alexandar Georgiev","2022-01-27","2021020763","20212022","NYR","CBJ","0","G",57.73,96.22,3.74,18.17,27.43,1.2,79.44,86.37,95.63,-9.25,-2.54
"Alexandar Georgiev","2022-02-15","2021021263","20212022","NYR","BOS","1","G",0.68,1.05,0,0,0,0,0,0,0,0,0
"Alexandar Georgiev","2022-02-27","2021020839","20212022","NYR","VAN","1","G",58.4,97.33,4.39,37.9,53.36,3.38,88.43,91.78,93.66,-1.88,-1
"Alexandar Georgiev","2022-03-08","2021020910","20212022","NYR","MIN","0","G",60,100,4.84,29.72,42.57,2.95,83.71,88.63,93.08,-4.45,-1.9
"Alexandar Georgiev","2022-03-10","2021020924","20212022","NYR","STL","0","G",39.75,66.25,2.02,19.42,26.25,1.46,89.59,92.3,94.46,-2.16,-0.57
"Alexandar Georgiev","2022-03-15","2021020955","20212022","NYR","ANA","1","G",60.4,99.15,3.08,23.3,34.5,2.98,86.79,91.07,91.37,-0.3,-0.1
"Alexandar Georgiev","2022-03-20","2021020996","20212022","NYR","CAR","0","G",60,100,0,41.51,66.42,5.25,100,100,92.1,7.9,5.25
"Alexandar Georgiev","2022-03-22","2021021005","20212022","NYR","N.J","0","G",19.55,32.58,1.98,7.62,8.71,0.63,73.98,77.24,92.74,-15.5,-1.35
"Alexandar Georgiev","2022-03-27","2021021049","20212022","NYR","BUF","1","G",62.03,100,4.09,17.21,22.32,1.51,76.23,81.67,93.24,-11.57,-2.58
"Alexandar Georgiev","2022-03-30","2021021069","20212022","NYR","DET","0","G",61.57,100,3.75,25.41,32.07,1.52,85.25,88.31,95.27,-6.96,-2.23
"Alexandar Georgiev","2022-04-05","2021021117","20212022","NYR","N.J","0","G",60,100,0.94,19.32,30.95,1.47,95.11,96.95,95.25,1.7,0.52
"Alexandar Georgiev","2022-04-13","2021021177","20212022","NYR","PHI","0","G",60,100,0,25.21,35.2,2.6,100,100,92.62,7.38,2.6
"Alexandar Georgiev","2022-04-21","2021021237","20212022","NYR","NYI","0","G",60,100,2.74,25.8,35.43,2.45,89.37,92.26,93.1,-0.84,-0.3
"Alexandar Georgiev","2022-04-27","2021020505","20212022","NYR","MTL","1","G",59.85,99.75,4.24,24.1,32.59,2.28,82.39,86.98,93.01,-6.03,-1.97
"Alexandar Georgiev","2022-04-29","2021021302","20212022","NYR","WSH","1","G",60,100,2.09,37.13,50.83,3.55,94.37,95.89,93.01,2.88,1.46
"Alexandar Georgiev","Total","-","21-22","NYR","-","-","G",52.91,87.18,84.06,833.1,1190.45,78.76,89.91,92.94,93.38,-0.45,-5.31
