"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Alex Nedeljkovic","2021-10-14","2021020009","20212022","DET","T.B","1","G",62.72,100,6.94,47.05,55.94,4.65,85.24,87.59,91.69,-4.1,-2.29
"Alex Nedeljkovic","2021-10-21","2021020054","20212022","DET","CGY","1","G",59.68,99.47,2.13,31.38,39.58,1.7,93.2,94.61,95.71,-1.09,-0.43
"Alex Nedeljkovic","2021-10-23","2021020066","20212022","DET","MTL","0","G",29.58,49.31,0,6.62,15.39,0.73,100,100,95.26,4.74,0.73
"Alex Nedeljkovic","2021-10-24","2021020080","20212022","DET","CHI","0","G",60,100,2.74,30.61,43.19,4.39,91.04,93.65,89.83,3.83,1.65
"Alex Nedeljkovic","2021-10-29","2021020111","20212022","DET","FLA","1","G",63.22,99.58,3.1,36.28,48.38,3.63,91.45,93.59,92.49,1.1,0.53
"Alex Nedeljkovic","2021-11-02","2021020136","20212022","DET","MTL","0","G",58.18,96.97,1.93,42.41,50.92,3.5,95.44,96.2,93.13,3.07,1.57
"Alex Nedeljkovic","2021-11-06","2021020162","20212022","DET","BUF","0","G",62.75,100,2.86,31.06,41.62,2.18,90.79,93.13,94.76,-1.63,-0.68
"Alex Nedeljkovic","2021-11-09","2021020184","20212022","DET","EDM","1","G",60,100,2.02,31.99,39.89,2.81,93.67,94.93,92.96,1.96,0.78
"Alex Nedeljkovic","2021-11-13","2021020213","20212022","DET","MTL","1","G",61.53,99.76,2.07,38.02,45.69,2.39,94.55,95.46,94.77,0.7,0.32
"Alex Nedeljkovic","2021-11-16","2021020239","20212022","DET","DAL","0","G",58.97,98.28,3.91,29.87,41.17,2.06,86.91,90.51,95,-4.5,-1.85
"Alex Nedeljkovic","2021-11-18","2021020257","20212022","DET","VGK","0","G",20,33.33,0.99,11.04,13.31,1.06,91.05,92.58,92.03,0.55,0.07
"Alex Nedeljkovic","2021-11-20","2021020270","20212022","DET","ARI","0","G",60.38,99.94,1.97,26.99,37.03,1.14,92.7,94.68,96.93,-2.26,-0.84
"Alex Nedeljkovic","2021-11-24","2021020291","20212022","DET","STL","1","G",60,100,2.09,37.23,48.28,4.06,94.39,95.67,91.59,4.08,1.97
"Alex Nedeljkovic","2021-11-27","2021020317","20212022","DET","BUF","1","G",60.43,100,2.03,28.13,32.27,1.9,92.78,93.71,94.1,-0.39,-0.13
"Alex Nedeljkovic","2021-11-30","2021020337","20212022","DET","BOS","0","G",59.9,99.83,0.84,38.48,48.31,3.1,97.82,98.26,93.59,4.67,2.26
"Alex Nedeljkovic","2021-12-04","2021020369","20212022","DET","NYI","1","G",63.55,100,3.09,22.75,33.49,2,86.42,90.78,94.04,-3.27,-1.09
"Alex Nedeljkovic","2021-12-07","2021020392","20212022","DET","NSH","1","G",57.12,95.19,4.29,35.49,44.7,3.63,87.91,90.4,91.88,-1.48,-0.66
"Alex Nedeljkovic","2021-12-09","2021020406","20212022","DET","STL","0","G",40,66.67,2.92,18.55,29.01,2.65,84.25,89.93,90.86,-0.93,-0.27
"Alex Nedeljkovic","2021-12-10","2021020415","20212022","DET","COL","0","G",47.9,79.83,2.96,42.24,52.08,4.58,92.98,94.31,91.2,3.11,1.62
"Alex Nedeljkovic","2021-12-14","2021020438","20212022","DET","NYI","1","G",60,100,0.97,34.02,43.97,3.53,97.15,97.8,91.98,5.82,2.56
"Alex Nedeljkovic","2021-12-16","2021020459","20212022","DET","CAR","0","G",58.45,97.42,3.77,32.13,46.31,3.16,88.27,91.86,93.18,-1.32,-0.61
"Alex Nedeljkovic","2022-01-02","2021020575","20212022","DET","BOS","1","G",59.42,99.03,5.29,40.28,58.29,5.66,86.88,90.93,90.29,0.64,0.37
"Alex Nedeljkovic","2022-01-04","2021020588","20212022","DET","S.J","1","G",59.85,99.75,2.02,24.78,28.67,3.12,91.83,92.94,89.1,3.84,1.1
"Alex Nedeljkovic","2022-01-08","2021020628","20212022","DET","L.A","0","G",57.55,95.92,2.93,42.77,54.27,3.95,93.16,94.61,92.73,1.88,1.02
"Alex Nedeljkovic","2022-01-11","2021020645","20212022","DET","S.J","0","G",61,100,2.9,39.86,50.52,4.2,92.71,94.25,91.69,2.56,1.29
"Alex Nedeljkovic","2022-01-13","2021020651","20212022","DET","WPG","1","G",58.03,96.72,2.13,34.67,47.55,2.52,93.85,95.52,94.69,0.82,0.39
"Alex Nedeljkovic","2022-01-15","2021020667","20212022","DET","BUF","1","G",58.72,97.86,0,21,30.61,1.81,100,100,94.09,5.91,1.81
"Alex Nedeljkovic","2022-01-17","2021020682","20212022","DET","BUF","0","G",62.12,100,1.93,28.69,35.81,2.43,93.26,94.6,93.2,1.4,0.5
"Alex Nedeljkovic","2022-01-21","2021020713","20212022","DET","DAL","1","G",62.08,98.78,5.19,32.79,42.06,2.78,84.16,87.65,93.4,-5.75,-2.42
"Alex Nedeljkovic","2022-01-22","2021020727","20212022","DET","NSH","0","G",57.93,96.56,2.91,24.15,34.06,2.13,87.96,91.46,93.75,-2.29,-0.78
"Alex Nedeljkovic","2022-01-26","2021020753","20212022","DET","CHI","1","G",20,33.33,4.39,17.56,21.01,1.59,75.02,79.12,92.45,-13.33,-2.8
