"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Andrei Vasilevskiy","2021-10-12","2021020001","20212022","T.B","PIT","1","G",57.9,96.5,3.2,34.8,48.38,2.85,90.8,93.38,94.1,-0.72,-0.35
"Andrei Vasilevskiy","2021-10-14","2021020009","20212022","T.B","DET","0","G",62.12,99.04,5.72,26.65,35.81,4.23,78.53,84.03,88.18,-4.15,-1.49
"Andrei Vasilevskiy","2021-10-16","2021020027","20212022","T.B","WSH","0","G",64.75,100,0.94,31.83,40.61,2.04,97.03,97.67,94.98,2.69,1.09
"Andrei Vasilevskiy","2021-10-19","2021020042","20212022","T.B","FLA","1","G",57.75,96.25,3.21,33.35,41.24,2.27,90.38,92.22,94.49,-2.27,-0.94
"Andrei Vasilevskiy","2021-10-23","2021020068","20212022","T.B","COL","1","G",64.7,99.54,3.2,29.26,42.75,3.46,89.07,92.52,91.9,0.62,0.26
"Andrei Vasilevskiy","2021-10-26","2021020091","20212022","T.B","PIT","0","G",60,100,1.03,26.85,38.63,2.47,96.15,97.33,93.62,3.71,1.43
"Andrei Vasilevskiy","2021-10-28","2021020102","20212022","T.B","ARI","1","G",60,100,1.01,23.68,38.66,1.79,95.73,97.38,95.37,2.01,0.78
"Andrei Vasilevskiy","2021-11-01","2021020132","20212022","T.B","WSH","1","G",60,100,2.07,34.89,44.84,2.95,94.08,95.39,93.43,1.96,0.88
"Andrei Vasilevskiy","2021-11-04","2021020149","20212022","T.B","TOR","0","G",62.72,100,1.96,31.41,40.45,3.21,93.77,95.16,92.07,3.09,1.25
"Andrei Vasilevskiy","2021-11-09","2021020185","20212022","T.B","CAR","1","G",63.43,100,1.98,31.84,43.24,3.25,93.8,95.43,92.48,2.95,1.28
"Andrei Vasilevskiy","2021-11-13","2021020214","20212022","T.B","FLA","1","G",61.75,99.25,2.02,28.21,40.37,2.54,92.82,94.99,93.71,1.28,0.52
"Andrei Vasilevskiy","2021-11-15","2021020230","20212022","T.B","NYI","1","G",60,100,1.06,25.37,35.24,2.24,95.82,96.99,93.64,3.35,1.18
"Andrei Vasilevskiy","2021-11-18","2021020252","20212022","T.B","PHI","0","G",65,100,2.97,29.82,40.58,2.45,90.05,92.69,93.97,-1.28,-0.52
"Andrei Vasilevskiy","2021-11-20","2021020264","20212022","T.B","N.J","1","G",57.45,95.75,4.1,25.38,35.28,2.29,83.86,88.39,93.5,-5.11,-1.8
"Andrei Vasilevskiy","2021-11-23","2021020287","20212022","T.B","PHI","1","G",59.62,99.36,0,32.11,39.62,2.28,100,100,94.25,5.75,2.28
"Andrei Vasilevskiy","2021-11-26","2021020306","20212022","T.B","SEA","1","G",59.72,99.53,0,16.27,19.98,0.73,100,100,96.35,3.65,0.73
"Andrei Vasilevskiy","2021-11-28","2021020331","20212022","T.B","MIN","0","G",57.13,95.22,2.84,35.41,44.23,2.3,91.99,93.59,94.81,-1.22,-0.54
"Andrei Vasilevskiy","2021-12-02","2021020353","20212022","T.B","STL","1","G",59.48,99.14,2.01,27.42,38.4,2.61,92.66,94.76,93.19,1.57,0.6
"Andrei Vasilevskiy","2021-12-04","2021020367","20212022","T.B","BOS","0","G",61.52,100,1.88,36.3,57.53,3.89,94.83,96.74,93.24,3.5,2.01
"Andrei Vasilevskiy","2021-12-07","2021020390","20212022","T.B","MTL","0","G",59.33,98.89,1.88,22.52,30.48,1.75,91.64,93.82,94.27,-0.45,-0.14
"Andrei Vasilevskiy","2021-12-09","2021020402","20212022","T.B","TOR","0","G",59.98,99.97,2.74,35.26,50.83,3.84,92.24,94.61,92.45,2.17,1.1
"Andrei Vasilevskiy","2021-12-14","2021020439","20212022","T.B","L.A","1","G",63.3,99.82,2.14,31.74,38.25,2.11,93.26,94.41,94.47,-0.06,-0.02
"Andrei Vasilevskiy","2021-12-16","2021020455","20212022","T.B","OTT","1","G",60,100,1.06,26.54,37.95,2.71,96,97.2,92.86,4.35,1.65
"Andrei Vasilevskiy","2021-12-21","2021020501","20212022","T.B","VGK","0","G",59.95,99.92,2.8,39.63,45.48,3.45,92.94,93.85,92.41,1.44,0.65
"Andrei Vasilevskiy","2022-01-02","2021020576","20212022","T.B","NYR","0","G",59.97,99.94,3.79,22.1,33.79,2.21,82.84,88.78,93.45,-4.68,-1.58
"Andrei Vasilevskiy","2022-01-04","2021020590","20212022","T.B","CBJ","0","G",60,100,1.88,19.54,32.6,1.6,90.4,94.25,95.08,-0.84,-0.27
"Andrei Vasilevskiy","2022-01-06","2021020602","20212022","T.B","CGY","1","G",60,100,1.01,26.6,35.69,2.41,96.2,97.16,93.24,3.92,1.4
"Andrei Vasilevskiy","2022-01-08","2021020615","20212022","T.B","BOS","1","G",58.92,98.19,4.27,33.95,47.12,2.76,87.41,90.93,94.15,-3.22,-1.52
"Andrei Vasilevskiy","2022-01-11","2021020637","20212022","T.B","BUF","0","G",60,100,0.87,15.62,18.98,0.9,94.46,95.44,95.28,0.16,0.03
"Andrei Vasilevskiy","2022-01-13","2021020652","20212022","T.B","VAN","1","G",59.95,99.92,2.02,25.48,39.17,2.5,92.06,94.83,93.62,1.21,0.47
