"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Anthony Stolarz","2021-10-15","2021020019","20212022","ANA","MIN","1","G",59.92,99.86,2.07,43.69,61,3.64,95.27,96.61,94.04,2.58,1.57
"Anthony Stolarz","2021-10-19","2021020049","20212022","ANA","EDM","0","G",57.68,96.14,4.62,35.06,44.4,3.98,86.82,89.59,91.04,-1.44,-0.64
"Anthony Stolarz","2021-10-28","2021020107","20212022","ANA","BUF","1","G",64.27,100,4.28,31.38,45.58,3.55,86.35,90.6,92.21,-1.61,-0.73
"Anthony Stolarz","2021-11-05","2021020160","20212022","ANA","ARI","1","G",59.4,99,1.01,27.54,35.87,2.04,96.33,97.18,94.3,2.88,1.03
"Anthony Stolarz","2021-11-26","2021020315","20212022","ANA","OTT","1","G",60,100,0,33.25,44.01,3.24,100,100,92.63,7.37,3.24
"Anthony Stolarz","2021-12-01","2021020351","20212022","ANA","VGK","1","G",60,100,5,38.97,45.91,3.01,87.17,89.11,93.44,-4.33,-1.99
"Anthony Stolarz","2021-12-07","2021020388","20212022","ANA","BUF","0","G",60,100,0,23.1,38.47,1.87,100,100,95.13,4.87,1.87
"Anthony Stolarz","2021-12-11","2021020423","20212022","ANA","PIT","0","G",18.2,30.33,0,13.48,17.63,0.67,100,100,96.2,3.8,0.67
"Anthony Stolarz","2021-12-12","2021020432","20212022","ANA","STL","0","G",63.97,100,1.88,23.72,30.38,2.13,92.06,93.8,92.98,0.82,0.25
"Anthony Stolarz","2021-12-15","2021020453","20212022","ANA","SEA","1","G",60,100,1.01,19.02,27.52,1.32,94.71,96.34,95.19,1.16,0.32
"Anthony Stolarz","2022-01-08","2021020627","20212022","ANA","NYR","1","G",57.97,96.61,3.14,42.42,51.22,4.01,92.59,93.86,92.17,1.69,0.87
"Anthony Stolarz","2022-01-11","2021020644","20212022","ANA","PIT","1","G",58.8,98,3.32,37.49,57.26,3.56,91.16,94.21,93.79,0.42,0.24
"Anthony Stolarz","2022-01-14","2021020662","20212022","ANA","MIN","0","G",42.08,70.14,5.88,30.5,35.85,1.98,80.7,83.58,94.47,-10.88,-3.9
"Anthony Stolarz","2022-01-27","2021020757","20212022","ANA","MTL","0","G",60,100,3.78,36.3,43.13,2.13,89.6,91.25,95.06,-3.81,-1.64
"Anthony Stolarz","2022-02-16","2021020500","20212022","ANA","CGY","0","G",31.47,52.44,0.99,23.75,32.36,2.71,95.84,96.95,91.63,5.32,1.72
"Anthony Stolarz","2022-02-22","2021020536","20212022","ANA","S.J","1","G",65,100,3.15,45.08,53.53,4.07,93.01,94.12,92.39,1.72,0.92
"Anthony Stolarz","2022-02-25","2021020828","20212022","ANA","L.A","1","G",22.93,38.22,0,14.43,18.11,1.67,100,100,90.76,9.24,1.67
"Anthony Stolarz","2022-02-27","2021020845","20212022","ANA","NYI","1","G",60,100,4.27,24.78,42.94,2.64,82.75,90.05,93.86,-3.82,-1.64
"Anthony Stolarz","2022-03-06","2021020897","20212022","ANA","S.J","1","G",60.23,100,2.12,23.91,31.54,1.99,91.13,93.27,93.68,-0.41,-0.13
"Anthony Stolarz","2022-03-08","2021020907","20212022","ANA","CHI","0","G",39.4,65.67,2.96,20.75,26.3,1.51,85.71,88.73,94.26,-5.53,-1.45
"Anthony Stolarz","2022-03-12","2021020935","20212022","ANA","N.J","0","G",65,100,0.94,38.29,57.17,3.01,97.55,98.36,94.74,3.62,2.07
"Anthony Stolarz","2022-04-01","2021021088","20212022","ANA","ARI","0","G",60,100,0,19.11,34.94,1.15,100,100,96.7,3.3,1.15
"Anthony Stolarz","2022-04-06","2021021127","20212022","ANA","CGY","1","G",59.72,99.53,3.2,29.28,45.17,3.26,89.06,92.91,92.79,0.12,0.05
"Anthony Stolarz","2022-04-09","2021021145","20212022","ANA","PHI","0","G",60,100,2.87,33.15,42.14,1.9,91.34,93.19,95.49,-2.3,-0.97
"Anthony Stolarz","2022-04-14","2021021184","20212022","ANA","T.B","0","G",61.97,100,4,30.58,44.42,3.27,86.92,91,92.63,-1.64,-0.73
"Anthony Stolarz","2022-04-23","2021021258","20212022","ANA","L.A","0","G",58.42,97.36,2.83,38.39,50.06,3.44,92.63,94.35,93.13,1.22,0.61
"Anthony Stolarz","2022-04-26","2021021285","20212022","ANA","S.J","0","G",60,100,1.8,29.82,45.84,2.42,93.95,96.07,94.72,1.35,0.62
"Anthony Stolarz","2022-04-29","2021021307","20212022","ANA","DAL","0","G",20,33.33,1.88,9.87,18.08,1.37,80.93,89.58,92.4,-2.82,-0.51
"Anthony Stolarz","Total","-","21-22","ANA","-","-","G",53.8,88.59,67.02,817.13,1120.82,71.57,91.8,94.02,93.61,0.41,4.56
