"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Antti Raanta","2021-10-29","2021020114","20212022","CAR","CHI","1","G",60,100,3.14,25.36,39.76,3.02,87.6,92.09,92.4,-0.3,-0.12
"Antti Raanta","2021-11-06","2021020166","20212022","CAR","FLA","0","G",12.37,20.61,0,4.42,8.87,0.49,100,100,94.52,5.48,0.49
"Antti Raanta","2021-11-16","2021020242","20212022","CAR","VGK","0","G",60,100,1.88,21.72,32.06,2.58,91.36,94.15,91.97,2.18,0.7
"Antti Raanta","2021-11-22","2021020286","20212022","CAR","S.J","0","G",61.7,100,1.87,25.67,35.99,2.31,92.73,94.81,93.59,1.23,0.44
"Antti Raanta","2021-11-26","2021020308","20212022","CAR","PHI","0","G",60,100,2.82,21.28,32.43,1.81,86.73,91.29,94.43,-3.13,-1.02
"Antti Raanta","2021-12-02","2021020357","20212022","CAR","OTT","1","G",59.03,98.39,3.19,22.07,40.35,4.08,85.53,92.09,89.89,2.2,0.89
"Antti Raanta","2021-12-04","2021020373","20212022","CAR","BUF","1","G",60,100,2.02,32.12,45.14,3.62,93.72,95.53,91.97,3.56,1.61
"Antti Raanta","2021-12-12","2021020434","20212022","CAR","VAN","0","G",58,96.67,1.93,26.8,33.11,2.09,92.79,94.16,93.69,0.47,0.16
"Antti Raanta","2021-12-30","2021020554","20212022","CAR","MTL","1","G",60,100,0,24.58,31.26,2.73,100,100,91.28,8.72,2.73
"Antti Raanta","2022-01-01","2021020570","20212022","CAR","CBJ","0","G",20,33.33,2.93,9.12,10.18,1.06,67.91,71.24,89.62,-18.38,-1.87
"Antti Raanta","2022-01-29","2021020779","20212022","CAR","N.J","1","G",59.4,99,1.01,24.26,37.91,3.45,95.83,97.33,90.9,6.43,2.44
"Antti Raanta","2022-02-08","2021020510","20212022","CAR","OTT","0","G",57.23,95.39,3.85,33.06,42.62,2.56,88.36,90.97,93.99,-3.02,-1.29
"Antti Raanta","2022-02-20","2021021304","20212022","CAR","PIT","0","G",60,100,2.91,31.68,41.35,2.72,90.82,92.97,93.42,-0.46,-0.19
"Antti Raanta","2022-03-01","2021020851","20212022","CAR","DET","0","G",64.87,100,3.74,39.12,44.74,5.15,90.43,91.63,88.5,3.14,1.4
"Antti Raanta","2022-03-04","2021020876","20212022","CAR","PIT","1","G",63.23,100,2.13,26.39,34.48,2.97,91.92,93.82,91.4,2.42,0.83
"Antti Raanta","2022-03-06","2021020892","20212022","CAR","SEA","1","G",60,100,2.14,31.29,42.73,2.4,93.17,95,94.37,0.62,0.27
"Antti Raanta","2022-03-10","2021020923","20212022","CAR","COL","1","G",59.98,99.97,0,37.33,48.83,2.54,100,100,94.8,5.2,2.54
"Antti Raanta","2022-03-13","2021020945","20212022","CAR","PIT","0","G",58.57,97.61,1.93,20.55,23.56,1.22,90.59,91.8,94.81,-3.02,-0.71
"Antti Raanta","2022-03-18","2021020978","20212022","CAR","WSH","1","G",64.95,99.92,3.08,40.98,54.2,3.19,92.49,94.32,94.12,0.2,0.11
"Antti Raanta","2022-03-26","2021021039","20212022","CAR","STL","0","G",60,100,1.79,28.3,41.51,2.23,93.66,95.68,94.63,1.04,0.43
"Antti Raanta","2022-03-29","2021021060","20212022","CAR","T.B","0","G",60.82,99.92,3.58,29.76,40.09,2.76,87.96,91.06,93.13,-2.07,-0.83
"Antti Raanta","2022-04-07","2021021130","20212022","CAR","BUF","1","G",60,100,3.2,23.2,38.17,2.54,86.19,91.61,93.34,-1.73,-0.66
"Antti Raanta","2022-04-14","2021021186","20212022","CAR","DET","1","G",60,100,3.22,23.79,32.25,2.51,86.47,90.02,92.21,-2.19,-0.71
"Antti Raanta","2022-04-16","2021021205","20212022","CAR","COL","0","G",4.52,7.53,0,4.42,4.44,0.6,100,100,86.51,13.49,0.6
"Antti Raanta","2022-04-18","2021021218","20212022","CAR","ARI","0","G",60,100,2.81,23.2,32.05,1.86,87.87,91.22,94.2,-2.98,-0.96
"Antti Raanta","2022-04-21","2021021239","20212022","CAR","WPG","1","G",59.02,98.36,2.15,23.88,34.12,2.99,90.98,93.69,91.22,2.47,0.84
"Antti Raanta","2022-04-24","2021021262","20212022","CAR","NYI","0","G",32.95,54.92,0.94,16.59,23.76,1.5,94.35,96.05,93.69,2.36,0.56
"Antti Raanta","2022-04-28","2021021294","20212022","CAR","N.J","1","G",60,100,3.04,27.94,37.16,2.81,89.13,91.83,92.45,-0.62,-0.23
"Antti Raanta","Total","-","21-22","CAR","-","-","G",54.17,89.44,61.32,698.86,963.1,69.76,91.23,93.63,92.76,0.88,8.44
