"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Anton Forsberg","2021-10-14","2021020008","20212022","OTT","TOR","1","G",60,100,2.01,45.87,60.27,4.85,95.61,96.66,91.96,4.71,2.84
"Anton Forsberg","2021-10-16","2021020022","20212022","OTT","TOR","0","G",57.48,95.81,2.92,29.96,46.9,2.94,90.25,93.77,93.74,0.03,0.02
"Anton Forsberg","2021-10-23","2021020067","20212022","OTT","NYR","1","G",4.27,7.11,2.14,3.1,3.12,0.29,30.96,31.31,90.84,-59.53,-1.86
"Anton Forsberg","2021-10-25","2021020084","20212022","OTT","WSH","1","G",15.72,26.19,4.22,16.34,18.53,0.91,74.21,77.26,95.11,-17.85,-3.31
"Anton Forsberg","2021-11-14","2021020225","20212022","OTT","CGY","1","G",59.87,99.78,4.39,38.28,50.9,3.47,88.54,91.38,93.19,-1.8,-0.92
"Anton Forsberg","2021-11-26","2021020315","20212022","OTT","ANA","0","G",59.6,99.33,3.92,33.98,47.64,2.97,88.48,91.78,93.78,-1.99,-0.95
"Anton Forsberg","2021-12-02","2021020357","20212022","OTT","CAR","0","G",60,100,1.8,43.87,58.26,5.25,95.89,96.9,90.99,5.92,3.45
"Anton Forsberg","2021-12-04","2021020368","20212022","OTT","COL","1","G",60.85,100,5.02,30.91,42.55,2.05,83.77,88.21,95.17,-6.97,-2.96
"Anton Forsberg","2021-12-06","2021020234","20212022","OTT","N.J","0","G",65,100,1.89,23.96,51.12,2.96,92.11,96.3,94.21,2.09,1.07
"Anton Forsberg","2021-12-11","2021020421","20212022","OTT","T.B","1","G",59.77,99.61,0,23.98,38.43,2.78,100,100,92.78,7.22,2.78
"Anton Forsberg","2021-12-14","2021020440","20212022","OTT","FLA","0","G",60,100,1.88,30.99,41.58,2.96,93.95,95.49,92.88,2.6,1.08
"Anton Forsberg","2021-12-16","2021020455","20212022","OTT","T.B","0","G",58.75,97.92,1.87,26.45,43.09,2.83,92.93,95.66,93.43,2.23,0.96
"Anton Forsberg","2021-12-18","2021020473","20212022","OTT","PHI","0","G",61.58,100,3.9,37.97,48.87,3.02,89.72,92.01,93.82,-1.81,-0.89
"Anton Forsberg","2022-01-18","2021020692","20212022","OTT","BUF","1","G",59.62,99.36,2.12,32.83,45.86,1.8,93.54,95.37,96.07,-0.7,-0.32
"Anton Forsberg","2022-01-20","2021020707","20212022","OTT","PIT","0","G",14.37,23.94,1.89,7,11.06,0.82,73,82.91,92.62,-9.7,-1.07
"Anton Forsberg","2022-01-23","2021020734","20212022","OTT","CBJ","0","G",60,100,0.94,33.75,44.61,2.78,97.22,97.9,93.77,4.12,1.84
"Anton Forsberg","2022-01-29","2021020773","20212022","OTT","ANA","1","G",57.47,95.78,2.12,20.76,32.43,2.03,89.78,93.46,93.73,-0.28,-0.09
"Anton Forsberg","2022-02-01","2021020799","20212022","OTT","NYI","0","G",60,100,3.73,29.12,38.97,2.59,87.2,90.43,93.34,-2.91,-1.13
"Anton Forsberg","2022-02-08","2021020510","20212022","OTT","CAR","1","G",59.87,99.78,2.99,42.58,53.8,2.8,92.97,94.44,94.8,-0.36,-0.19
"Anton Forsberg","2022-02-13","2021020526","20212022","OTT","WSH","0","G",60,100,0.87,30.46,40.24,2.32,97.16,97.85,94.24,3.61,1.45
"Anton Forsberg","2022-02-15","2021020495","20212022","OTT","STL","1","G",8.88,14.81,0,4.61,8.21,0.45,100,100,94.47,5.53,0.45
"Anton Forsberg","2022-02-17","2021021228","20212022","OTT","BUF","0","G",60,100,0.93,23.89,28.62,1.64,96.09,96.74,94.28,2.46,0.71
"Anton Forsberg","2022-02-19","2021020481","20212022","OTT","BOS","1","G",62.7,100,3.09,34.7,46.46,2.55,91.09,93.35,94.51,-1.16,-0.54
"Anton Forsberg","2022-02-22","2021020584","20212022","OTT","MIN","1","G",60,100,3.04,42.05,53.05,3.54,92.78,94.28,93.33,0.95,0.5
"Anton Forsberg","2022-03-03","2021020865","20212022","OTT","FLA","0","G",60,100,2.92,48.78,67.22,6.45,94.02,95.66,90.4,5.26,3.54
"Anton Forsberg","2022-03-06","2021020896","20212022","OTT","VGK","0","G",59.9,99.83,1.88,40.66,49.19,2.71,95.38,96.18,94.48,1.7,0.84
"Anton Forsberg","2022-03-08","2021020908","20212022","OTT","STL","0","G",60,100,0.94,21.28,31.23,1.82,95.59,97,94.17,2.83,0.88
"Anton Forsberg","2022-03-10","2021020918","20212022","OTT","SEA","1","G",62.57,100,3.04,31.79,39.7,2.94,90.45,92.35,92.61,-0.25,-0.1
"Anton Forsberg","2022-03-12","2021020934","20212022","OTT","CHI","1","G",60,100,6.28,29.2,38.7,2.37,78.49,83.77,93.88,-10.11,-3.91
"Anton Forsberg","2022-03-16","2021020964","20212022","OTT","CBJ","1","G",58.57,97.61,3.14,41.19,55.82,4.01,92.37,94.37,92.82,1.55,0.86
"Anton Forsberg","2022-03-18","2021020977","20212022","OTT","PHI","1","G",60,100,1.01,29.02,40.17,3.19,96.51,97.48,92.07,5.42,2.18
"Anton Forsberg","2022-03-22","2021021021","20212022","OTT","NYI","0","G",58.18,96.97,1.93,25.53,33.23,2.74,92.43,94.18,91.76,2.42,0.81
"Anton Forsberg","2022-03-24","2021020675","20212022","OTT","WPG","0","G",60,100,1.98,23.37,28.88,1.62,91.54,93.15,94.4,-1.24,-0.36
"Anton Forsberg","2022-03-26","2021021036","20212022","OTT","FLA","1","G",65,100,2.99,47.73,60.14,4.51,93.74,95.03,92.5,2.53,1.52
"Anton Forsberg","2022-03-29","2021021064","20212022","OTT","NSH","0","G",57.63,96.06,2.8,30.31,38.28,2.18,90.77,92.69,94.31,-1.62,-0.62
"Anton Forsberg","2022-04-03","2021021101","20212022","OTT","DET","1","G",59.98,99.97,2.07,30.93,39.8,2.58,93.3,94.79,93.53,1.26,0.5
"Anton Forsberg","2022-04-05","2021021114","20212022","OTT","MTL","0","G",59.77,99.61,2.75,28.85,38.2,2.5,90.47,92.8,93.45,-0.65,-0.25
"Anton Forsberg","2022-04-07","2021020250","20212022","OTT","NSH","1","G",58.57,97.61,3.15,37.17,49.48,3.59,91.52,93.63,92.74,0.89,0.44
"Anton Forsberg","2022-04-09","2021021144","20212022","OTT","NYR","0","G",60,100,4.85,33.39,49.27,3.41,85.48,90.16,93.08,-2.92,-1.44
"Anton Forsberg","2022-04-12","2021021166","20212022","OTT","DET","0","G",60,100,0.87,23.33,29.56,1.96,96.29,97.07,93.38,3.69,1.09
"Anton Forsberg","2022-04-14","2021021181","20212022","OTT","BOS","0","G",60,100,1.93,40.21,53.63,2.52,95.19,96.4,95.3,1.09,0.59
"Anton Forsberg","2022-04-16","2021021199","20212022","OTT","TOR","1","G",63.43,100,5.02,41.32,58.57,4.79,87.86,91.43,91.82,-0.39,-0.23
"Anton Forsberg","2022-04-18","2021020611","20212022","OTT","SEA","0","G",59.58,99.31,2.82,28.05,35.84,2.61,89.96,92.14,92.73,-0.59,-0.21
"Anton Forsberg","2022-04-23","2021021250","20212022","OTT","MTL","1","G",59.63,99.39,4,45.78,50.53,5.12,91.25,92.07,89.87,2.2,1.11
"Anton Forsberg","2022-04-26","2021021274","20212022","OTT","N.J","1","G",63.28,100,4.05,40.47,46.64,2.97,90,91.32,93.62,-2.3,-1.07
"Anton Forsberg","2022-04-29","2021021303","20212022","OTT","PHI","0","G",59.57,99.28,1.77,32.15,43.64,4.19,94.49,95.94,90.4,5.53,2.41
"Anton Forsberg","Total","-","21-22","OTT","-","-","G",55.9,92.35,119.85,1437.92,1932.3,131.34,91.66,93.8,93.2,0.59,11.49
