"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Braden Holtby","2021-10-14","2021020011","20212022","DAL","NYR","0","G",48.12,78.07,1.88,25.32,38.31,2.59,92.59,95.1,93.25,1.85,0.71
"Braden Holtby","2021-10-16","2021020020","20212022","DAL","BOS","0","G",58.25,97.08,1.98,38.75,50.64,1.96,94.9,96.09,96.13,-0.04,-0.02
"Braden Holtby","2021-10-19","2021020044","20212022","DAL","PIT","0","G",65,100,0.94,27.14,39.6,1.93,96.54,97.63,95.13,2.5,0.99
"Braden Holtby","2021-10-22","2021020064","20212022","DAL","L.A","1","G",64.1,99.77,2.14,47.42,63.51,3.8,95.49,96.63,94.02,2.61,1.66
"Braden Holtby","2021-10-25","2021020088","20212022","DAL","CBJ","0","G",58.15,96.92,2.92,26.25,39.74,3.09,88.87,92.65,92.22,0.43,0.17
"Braden Holtby","2021-10-29","2021020115","20212022","DAL","OTT","1","G",56.53,94.22,4.29,27.12,35.36,2.3,84.18,87.87,93.51,-5.64,-1.99
"Braden Holtby","2021-11-02","2021020139","20212022","DAL","WPG","0","G",64.82,99.72,2.87,35.8,51.27,2.99,91.98,94.4,94.18,0.22,0.11
"Braden Holtby","2021-11-10","2021020193","20212022","DAL","NSH","1","G",58.25,97.08,3.2,23.04,31.05,1.88,86.1,89.68,93.96,-4.27,-1.33
"Braden Holtby","2021-11-26","2021020313","20212022","DAL","COL","1","G",7.37,12.28,0,3.7,3.7,0.06,100,100,98.25,1.75,0.06
"Braden Holtby","2021-11-27","2021020323","20212022","DAL","ARI","0","G",60,100,1.88,24.69,32.98,1.92,92.4,94.31,94.17,0.14,0.05
"Braden Holtby","2021-11-30","2021020343","20212022","DAL","CAR","1","G",60,100,1.01,37.78,54.83,3.73,97.32,98.15,93.2,4.95,2.72
"Braden Holtby","2021-12-06","2021020385","20212022","DAL","ARI","1","G",60,100,1.01,18.9,24.03,1.26,94.65,95.79,94.76,1.03,0.25
"Braden Holtby","2021-12-08","2021020401","20212022","DAL","VGK","0","G",58.55,97.58,4.79,41.35,50.94,2.59,88.41,90.59,94.91,-4.32,-2.2
"Braden Holtby","2021-12-11","2021020429","20212022","DAL","S.J","0","G",58.23,97.06,1.93,25.83,38.36,2.11,92.52,94.96,94.49,0.47,0.18
"Braden Holtby","2021-12-17","2021020468","20212022","DAL","STL","0","G",59.7,99.5,2.93,33.95,40.89,2.7,91.38,92.84,93.39,-0.55,-0.22
"Braden Holtby","2022-01-06","2021020605","20212022","DAL","FLA","1","G",65,100,5.2,44.18,60.65,4.38,88.24,91.43,92.77,-1.34,-0.81
"Braden Holtby","2022-01-09","2021020629","20212022","DAL","STL","0","G",59.52,99.19,1.97,29.05,40.96,2.65,93.23,95.2,93.53,1.68,0.69
"Braden Holtby","2022-01-18","2021020697","20212022","DAL","MTL","1","G",11.38,18.97,0,3.62,6.18,0.39,100,100,93.73,6.27,0.39
"Braden Holtby","2022-01-20","2021020705","20212022","DAL","BUF","0","G",59.9,99.83,3.87,24.66,31.94,2.5,84.3,87.88,92.19,-4.31,-1.38
"Braden Holtby","2022-01-21","2021020713","20212022","DAL","DET","0","G",62.37,99.23,3.75,27.27,37.8,1.7,86.23,90.07,95.5,-5.43,-2.05
"Braden Holtby","2022-01-25","2021020745","20212022","DAL","N.J","0","G",60,100,0.87,32.2,46.08,2.82,97.31,98.12,93.89,4.24,1.95
"Braden Holtby","2022-01-28","2021020770","20212022","DAL","WSH","1","G",40,66.67,5.47,31.45,44.17,2.98,82.6,87.61,93.24,-5.64,-2.49
"Braden Holtby","2022-02-13","2021020563","20212022","DAL","COL","1","G",58.73,97.89,3.2,33.04,50.79,2.63,90.31,93.69,94.83,-1.13,-0.57
"Braden Holtby","2022-03-04","2021020878","20212022","DAL","WPG","0","G",64.5,100,2.75,38.74,54.78,4.78,92.9,94.98,91.28,3.7,2.03
"Braden Holtby","Total","-","21-22","DAL","-","-","G",54.94,89.8,60.85,701.27,968.57,59.73,91.32,93.72,93.83,-0.12,-1.12
