"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Brian Elliott","2021-10-25","2021020083","20212022","T.B","BUF","0","G",57.07,95.11,2.88,23.68,34.92,1.75,87.85,91.76,94.99,-3.24,-1.13
"Brian Elliott","2021-11-06","2021020165","20212022","T.B","OTT","0","G",60,100,2.81,25.07,30.38,2.47,88.77,90.74,91.88,-1.14,-0.35
"Brian Elliott","2021-11-21","2021020275","20212022","T.B","MIN","1","G",65,100,3.96,31.7,44.49,2.03,87.52,91.11,95.43,-4.32,-1.92
"Brian Elliott","2021-11-30","2021020341","20212022","T.B","STL","0","G",65,100,2.74,29.68,42.01,2.4,90.76,93.47,94.29,-0.82,-0.34
"Brian Elliott","2021-12-05","2021020378","20212022","T.B","PHI","0","G",60,100,0.87,34.87,43.35,1.91,97.52,98,95.59,2.41,1.05
"Brian Elliott","2021-12-11","2021020421","20212022","T.B","OTT","0","G",59.42,99.03,2.93,22.9,33.28,2.62,87.19,91.19,92.13,-0.94,-0.31
"Brian Elliott","2021-12-21","2021020501","20212022","T.B","VGK","0","G",0.05,0.08,0,0,0,0,0,0,0,0,0
"Brian Elliott","2021-12-31","2021020561","20212022","T.B","NYR","1","G",64.28,98.9,3.15,24.07,36.74,2.55,86.91,91.43,93.06,-1.64,-0.6
"Brian Elliott","2022-01-22","2021020731","20212022","T.B","S.J","0","G",60,100,0.94,24.2,43.07,1.9,96.12,97.82,95.59,2.23,0.96
"Brian Elliott","2022-02-11","2021020519","20212022","T.B","ARI","0","G",59.67,99.44,2.91,17.35,26.31,1.53,83.23,88.95,94.17,-5.23,-1.38
"Brian Elliott","2022-03-04","2021020874","20212022","T.B","DET","1","G",59.67,99.44,1.01,23.26,32.6,2.13,95.65,96.9,93.47,3.42,1.12
"Brian Elliott","2022-03-12","2021020940","20212022","T.B","EDM","0","G",58.95,98.25,2.93,49.84,58.96,5.17,94.13,95.04,91.23,3.8,2.24
"Brian Elliott","2022-03-26","2021021037","20212022","T.B","DET","0","G",62.47,99.89,0.94,25.97,37.47,2.66,96.36,97.48,92.89,4.59,1.72
"Brian Elliott","2022-04-02","2021021091","20212022","T.B","MTL","1","G",65,100,4.05,30.28,40.37,2.59,86.63,89.97,93.57,-3.6,-1.45
"Brian Elliott","2022-04-10","2021021156","20212022","T.B","BUF","1","G",60,100,0,26.29,38.6,2.15,100,100,94.44,5.56,2.15
"Brian Elliott","2022-04-14","2021021184","20212022","T.B","ANA","1","G",29.65,47.85,0,14.26,22.12,1.44,100,100,93.47,6.53,1.44
"Brian Elliott","2022-04-16","2021021200","20212022","T.B","WPG","1","G",60,100,4.37,19.06,26.45,1.87,77.1,83.49,92.92,-9.43,-2.49
"Brian Elliott","2022-04-23","2021021252","20212022","T.B","NSH","1","G",60,100,2.01,19.86,32.2,2.21,89.87,93.75,93.14,0.61,0.2
"Brian Elliott","2022-04-28","2021021305","20212022","T.B","CBJ","0","G",57.2,95.33,3.87,35.1,51.45,3.04,88.97,92.47,94.1,-1.62,-0.83
"Brian Elliott","Total","-","21-22","T.B","-","-","G",55.97,91.32,42.37,477.46,674.78,42.42,91.13,93.72,93.71,0.01,0.06
