"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Calvin Petersen","2021-10-14","2021020016","20212022","L.A","VGK","1","G",59.72,99.53,2.07,24.81,31.37,2.27,91.64,93.39,92.76,0.63,0.2
"Calvin Petersen","2021-10-19","2021020047","20212022","L.A","NSH","0","G",57.97,96.61,1.81,29.45,39.79,2.03,93.85,95.45,94.9,0.55,0.22
"Calvin Petersen","2021-10-23","2021020074","20212022","L.A","STL","0","G",60,100,6.76,41.43,51.71,3.46,83.69,86.93,93.32,-6.38,-3.3
"Calvin Petersen","2021-10-30","2021020125","20212022","L.A","MTL","1","G",60,100,2.07,27.67,38.07,2.66,92.51,94.55,93.02,1.53,0.58
"Calvin Petersen","2021-11-05","2021020161","20212022","L.A","N.J","1","G",60.67,99.95,1.98,23.67,33.94,2.14,91.63,94.16,93.7,0.46,0.16
"Calvin Petersen","2021-11-09","2021020183","20212022","L.A","MTL","0","G",63.57,99.87,1.88,33.92,48.33,3.66,94.45,96.1,92.42,3.68,1.78
"Calvin Petersen","2021-11-13","2021020220","20212022","L.A","WPG","0","G",60.53,100,2.84,22.11,33.56,1.76,87.14,91.52,94.76,-3.24,-1.09
"Calvin Petersen","2021-11-20","2021020272","20212022","L.A","CAR","1","G",58.13,96.89,5.3,21.46,31.48,2.35,75.29,83.15,92.55,-9.4,-2.96
"Calvin Petersen","2021-11-27","2021020325","20212022","L.A","OTT","1","G",60,100,2.02,31.49,35.47,2.22,93.57,94.29,93.73,0.56,0.2
"Calvin Petersen","2021-12-02","2021020361","20212022","L.A","CGY","1","G",58.3,97.17,3.15,34.99,52.08,3.87,90.99,93.94,92.57,1.38,0.72
"Calvin Petersen","2021-12-06","2021020386","20212022","L.A","VAN","0","G",60,100,3.9,30.52,47.28,3.32,87.21,91.74,92.99,-1.24,-0.59
"Calvin Petersen","2022-01-08","2021020628","20212022","L.A","DET","1","G",59.87,99.78,0,19.7,27.28,2.36,100,100,91.35,8.65,2.36
"Calvin Petersen","2022-01-10","2021020636","20212022","L.A","NYR","1","G",60,100,1.01,22.42,29.51,2.02,95.49,96.57,93.15,3.42,1.01
"Calvin Petersen","2022-01-15","2021020679","20212022","L.A","SEA","0","G",60,100,0.87,16.27,24.11,2.01,94.68,96.41,91.64,4.76,1.15
"Calvin Petersen","2022-01-18","2021020700","20212022","L.A","T.B","1","G",58.57,97.61,5.28,25.51,32.33,2.65,79.32,83.68,91.81,-8.13,-2.63
"Calvin Petersen","2022-01-23","2021020732","20212022","L.A","N.J","0","G",60,100,1.88,24.16,44.9,2.34,92.23,95.82,94.78,1.04,0.47
"Calvin Petersen","2022-01-27","2021020761","20212022","L.A","NYI","0","G",60,100,1.97,22.72,28.03,2.96,91.33,92.97,89.46,3.51,0.98
"Calvin Petersen","2022-01-30","2021020786","20212022","L.A","PIT","0","G",59.8,99.67,2.67,23.67,36.35,3.07,88.72,92.65,91.54,1.11,0.4
"Calvin Petersen","2022-02-15","2021020507","20212022","L.A","EDM","1","G",58.37,97.28,3.13,27.24,34.71,2.75,88.5,90.97,92.08,-1.1,-0.38
"Calvin Petersen","2022-02-19","2021020533","20212022","L.A","ARI","0","G",60,100,2.88,22.34,32.35,1.74,87.12,91.1,94.62,-3.52,-1.14
"Calvin Petersen","2022-02-23","2021020814","20212022","L.A","ARI","0","G",60,100,1.88,18.33,26.92,1.18,89.73,93,95.62,-2.62,-0.7
"Calvin Petersen","2022-02-26","2021020837","20212022","L.A","NYI","1","G",60,100,2.02,26.3,36.72,2.99,92.3,94.49,91.85,2.63,0.97
"Calvin Petersen","2022-02-28","2021020850","20212022","L.A","BOS","1","G",27.3,45.5,2.25,15.52,22.81,1.06,85.47,90.12,95.34,-5.22,-1.19
"Calvin Petersen","2022-03-02","2021020862","20212022","L.A","DAL","0","G",58.4,97.33,3.75,40.89,52.09,4.14,90.84,92.81,92.05,0.76,0.39
"Calvin Petersen","2022-03-06","2021020890","20212022","L.A","BUF","0","G",60,100,0,18.02,31.09,1.64,100,100,94.73,5.27,1.64
