"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Cam Talbot","2021-10-15","2021020019","20212022","MIN","ANA","0","G",59.45,99.08,0.93,28.49,42.1,2.14,96.73,97.78,94.91,2.87,1.21
"Cam Talbot","2021-10-16","2021020032","20212022","MIN","L.A","0","G",60,100,1.87,29.19,42.84,3,93.59,95.63,93,2.63,1.13
"Cam Talbot","2021-10-19","2021020048","20212022","MIN","WPG","1","G",61.77,97.27,5.35,32.34,44.28,2.33,83.47,87.92,94.73,-6.8,-3.01
"Cam Talbot","2021-10-23","2021020075","20212022","MIN","ANA","1","G",64.78,100,3.15,25.21,33.7,1.43,87.5,90.65,95.76,-5.11,-1.72
"Cam Talbot","2021-10-26","2021020094","20212022","MIN","VAN","0","G",60,100,1.8,21.34,29.48,1.68,91.55,93.88,94.31,-0.43,-0.13
"Cam Talbot","2021-10-28","2021020110","20212022","MIN","SEA","0","G",58.33,97.22,1.88,35.38,45.09,2.4,94.68,95.82,94.68,1.14,0.51
"Cam Talbot","2021-10-30","2021020122","20212022","MIN","COL","0","G",59.45,99.08,2.88,30.69,41.72,2.62,90.6,93.09,93.72,-0.63,-0.26
"Cam Talbot","2021-11-02","2021020138","20212022","MIN","OTT","1","G",62.03,100,4.09,28.66,36.73,2.64,85.73,88.86,92.82,-3.96,-1.45
"Cam Talbot","2021-11-06","2021020167","20212022","MIN","PIT","0","G",61.32,94.33,3.86,39.72,49.73,3.48,90.28,92.24,93.01,-0.77,-0.38
"Cam Talbot","2021-11-11","2021020204","20212022","MIN","VGK","0","G",57.17,95.28,2.92,36.64,43.8,2.57,92.03,93.33,94.12,-0.79,-0.35
"Cam Talbot","2021-11-13","2021020223","20212022","MIN","SEA","0","G",60,100,1.9,26.62,43.95,2.46,92.87,95.68,94.41,1.27,0.56
"Cam Talbot","2021-11-16","2021020240","20212022","MIN","S.J","1","G",56.27,93.78,4.28,23.84,35.41,1.41,82.03,87.9,96.01,-8.11,-2.87
"Cam Talbot","2021-11-18","2021020254","20212022","MIN","DAL","1","G",59.18,98.64,2.02,36.06,51.19,3.66,94.4,96.06,92.85,3.21,1.64
"Cam Talbot","2021-11-20","2021020265","20212022","MIN","FLA","0","G",54.85,91.42,3.91,36.62,46.97,2.71,89.33,91.68,94.23,-2.55,-1.2
"Cam Talbot","2021-11-24","2021020293","20212022","MIN","N.J","0","G",65,100,1.97,38.75,53.2,3.62,94.91,96.3,93.2,3.09,1.65
"Cam Talbot","2021-11-26","2021020314","20212022","MIN","WPG","1","G",60,100,1.01,29.26,43.17,2.16,96.56,97.67,94.99,2.68,1.16
"Cam Talbot","2021-11-28","2021020331","20212022","MIN","T.B","1","G",60,100,2.02,30.54,40.74,1.86,93.37,95.03,95.43,-0.4,-0.16
"Cam Talbot","2021-12-04","2021020375","20212022","MIN","TOR","1","G",64.97,99.95,3.02,41.42,50.3,3.08,92.7,93.99,93.88,0.1,0.05
"Cam Talbot","2021-12-07","2021020396","20212022","MIN","EDM","0","G",59.95,99.92,0.94,34.54,51.97,3.25,97.28,98.2,93.76,4.44,2.31
"Cam Talbot","2021-12-09","2021020410","20212022","MIN","S.J","0","G",59.52,99.19,1.8,31.1,40.97,3.12,94.2,95.6,92.39,3.21,1.31
"Cam Talbot","2021-12-12","2021020435","20212022","MIN","VGK","0","G",57.95,96.58,4.69,34.18,45.02,3.54,86.27,89.57,92.15,-2.57,-1.16
"Cam Talbot","2021-12-16","2021020461","20212022","MIN","BUF","1","G",65,100,2.02,39.99,51.03,3.15,94.94,96.03,93.83,2.2,1.12
"Cam Talbot","2021-12-20","2021020492","20212022","MIN","DAL","0","G",52.52,87.53,5.85,29.26,40.74,2.85,80,85.63,93.01,-7.38,-3.01
"Cam Talbot","2022-01-01","2021020572","20212022","MIN","STL","1","G",40,66.67,6.52,30.65,39.34,2.06,78.74,83.43,94.77,-11.34,-4.46
"Cam Talbot","2022-01-24","2021020741","20212022","MIN","MTL","1","G",40,66.67,1.06,14.45,17.29,0.46,92.66,93.86,97.32,-3.45,-0.6
"Cam Talbot","2022-01-28","2021020767","20212022","MIN","NYR","0","G",60,100,1.93,26.63,33.41,2.73,92.74,94.21,91.83,2.38,0.8
"Cam Talbot","2022-02-02","2021020809","20212022","MIN","CHI","0","G",60,100,0,26.96,34.77,1.78,100,100,94.88,5.12,1.78
"Cam Talbot","2022-02-12","2021020445","20212022","MIN","CAR","1","G",60,100,2.02,38.71,43.78,1.79,94.79,95.39,95.91,-0.52,-0.23
"Cam Talbot","2022-02-16","2021020633","20212022","MIN","WPG","0","G",56.95,94.92,4.84,29.03,38.47,2.93,83.34,87.43,92.38,-4.95,-1.9
"Cam Talbot","2022-02-18","2021020476","20212022","MIN","FLA","1","G",57.95,96.58,4.33,38.31,47.71,2.55,88.71,90.93,94.65,-3.72,-1.78
"Cam Talbot","2022-02-22","2021020584","20212022","MIN","OTT","0","G",58.97,98.28,3.83,34.6,51.77,3.09,88.93,92.6,94.04,-1.44,-0.74
"Cam Talbot","2022-03-01","2021020855","20212022","MIN","CGY","1","G",56.7,94.5,4.4,29.71,41.5,1.71,85.18,89.39,95.89,-6.5,-2.7
"Cam Talbot","2022-03-03","2021020867","20212022","MIN","PHI","0","G",60,100,3.77,30.06,36.08,2.68,87.47,89.56,92.57,-3.01,-1.09
"Cam Talbot","2022-03-06","2021020894","20212022","MIN","DAL","1","G",22.47,37.44,0,3.57,6.94,0.15,100,100,97.83,2.17,0.15
"Cam Talbot","2022-03-08","2021020910","20212022","MIN","NYR","1","G",60,100,2.02,23.38,34.92,1.86,91.37,94.22,94.67,-0.45,-0.16
"Cam Talbot","2022-03-10","2021020919","20212022","MIN","DET","0","G",65,100,4.74,33.11,48.9,2.25,85.7,90.32,95.4,-5.08,-2.48
"Cam Talbot","2022-03-16","2021020965","20212022","MIN","BOS","1","G",60,100,2.02,26.23,35.4,1.83,92.31,94.3,94.84,-0.54,-0.19
"Cam Talbot","2022-03-19","2021020988","20212022","MIN","CHI","1","G",59.82,99.69,1.01,21.85,25.05,1.28,95.37,95.96,94.9,1.06,0.27
