"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Carter Hart","2021-10-15","2021020018","20212022","PHI","VAN","1","G",63.45,97.62,4.39,42.3,51.45,4.07,89.61,91.46,92.1,-0.64,-0.33
"Carter Hart","2021-10-18","2021020036","20212022","PHI","SEA","1","G",60,100,1.01,22.91,30.57,2.74,95.58,96.69,91.04,5.65,1.73
"Carter Hart","2021-10-23","2021020070","20212022","PHI","FLA","1","G",58.5,97.5,3.17,30.9,49.99,3.71,89.75,93.67,92.58,1.09,0.55
"Carter Hart","2021-10-27","2021020101","20212022","PHI","EDM","0","G",60,100,2.74,34.34,45.3,3.05,92.01,93.95,93.27,0.67,0.3
"Carter Hart","2021-10-30","2021020123","20212022","PHI","CGY","0","G",59.1,98.5,2.92,35.06,43.83,2.88,91.69,93.35,93.42,-0.07,-0.03
"Carter Hart","2021-11-02","2021020137","20212022","PHI","ARI","1","G",60,100,0,29.52,40.92,2.43,100,100,94.05,5.95,2.43
"Carter Hart","2021-11-04","2021020153","20212022","PHI","PIT","0","G",61.9,100,2.92,36.87,51.3,4.03,92.07,94.3,92.15,2.15,1.1
"Carter Hart","2021-11-10","2021020192","20212022","PHI","TOR","1","G",59.82,99.69,3.32,36.4,43.29,3.51,90.89,92.34,91.89,0.45,0.2
"Carter Hart","2021-11-12","2021020208","20212022","PHI","CAR","0","G",60,100,0.94,38.84,55.15,4.61,97.57,98.29,91.64,6.64,3.66
"Carter Hart","2021-11-16","2021020236","20212022","PHI","CGY","1","G",60.5,99.59,1.06,36.02,42.8,3.3,97.05,97.52,92.28,5.24,2.24
"Carter Hart","2021-11-18","2021020252","20212022","PHI","T.B","1","G",63.25,97.31,3.08,31.24,45.91,2.85,90.14,93.29,93.8,-0.51,-0.23
"Carter Hart","2021-11-23","2021020287","20212022","PHI","T.B","0","G",60,100,3.95,37.64,63.16,3.72,89.49,93.74,94.11,-0.37,-0.24
"Carter Hart","2021-11-26","2021020308","20212022","PHI","CAR","1","G",60,100,6.24,37.89,49.32,2.63,83.54,87.35,94.66,-7.31,-3.6
"Carter Hart","2021-12-01","2021020349","20212022","PHI","NYR","0","G",58.27,97.11,2.91,28.59,34.76,2.67,89.82,91.63,92.32,-0.69,-0.24
"Carter Hart","2021-12-05","2021020378","20212022","PHI","T.B","1","G",28.57,47.61,5.46,16.53,20.1,2.34,66.98,72.85,88.37,-15.52,-3.12
"Carter Hart","2021-12-08","2021020398","20212022","PHI","N.J","0","G",57.02,95.03,1.94,26.22,42.39,2.42,92.6,95.43,94.28,1.14,0.48
"Carter Hart","2021-12-10","2021020418","20212022","PHI","VGK","0","G",60,100,2.91,40.3,49.23,2.85,92.78,94.09,94.21,-0.12,-0.06
"Carter Hart","2021-12-14","2021020441","20212022","PHI","N.J","1","G",60,100,1.01,25.48,35.08,1.82,96.03,97.12,94.8,2.32,0.81
"Carter Hart","2021-12-16","2021020454","20212022","PHI","MTL","0","G",64.73,99.59,1.88,39.16,54.9,4.86,95.19,96.57,91.15,5.42,2.98
"Carter Hart","2022-01-04","2021020594","20212022","PHI","ANA","0","G",57.43,95.72,2.93,30.37,39.75,2.12,90.36,92.64,94.66,-2.02,-0.8
"Carter Hart","2022-01-06","2021020604","20212022","PHI","PIT","1","G",60,100,6.56,35.54,48.97,3.89,81.56,86.62,92.06,-5.45,-2.67
"Carter Hart","2022-01-13","2021020650","20212022","PHI","BOS","0","G",56.18,93.64,2.87,37.47,50.03,3.14,92.35,94.27,93.73,0.55,0.27
"Carter Hart","2022-01-15","2021020671","20212022","PHI","NYR","1","G",57.58,95.97,3.15,28.07,38.69,1.71,88.78,91.86,95.59,-3.73,-1.44
"Carter Hart","2022-01-18","2021020340","20212022","PHI","NYI","1","G",64.98,99.97,3.13,32.17,38.73,2.74,90.26,91.91,92.91,-1.01,-0.39
"Carter Hart","2022-01-20","2021020706","20212022","PHI","CBJ","1","G",57.68,96.14,2.13,30.77,38.39,2.15,93.07,94.45,94.41,0.04,0.02
"Carter Hart","2022-01-22","2021020722","20212022","PHI","BUF","0","G",42,70,1.98,17.41,27.42,1.72,88.62,92.77,93.71,-0.94,-0.26
"Carter Hart","2022-01-24","2021020739","20212022","PHI","DAL","1","G",58.27,97.11,2.12,36.64,45.2,2.47,94.21,95.31,94.53,0.78,0.35
"Carter Hart","2022-01-29","2021020778","20212022","PHI","L.A","1","G",62.37,100,2.99,39.22,51,4.09,92.38,94.14,91.98,2.16,1.1
"Carter Hart","2022-02-01","2021020801","20212022","PHI","WPG","1","G",60,100,1.06,35.44,43.02,1.85,97.01,97.53,95.69,1.84,0.79
"Carter Hart","2022-02-09","2021020694","20212022","PHI","DET","1","G",56.82,94.69,5.34,35.36,51.56,3.34,84.9,89.64,93.51,-3.87,-2
"Carter Hart","2022-02-12","2021020811","20212022","PHI","DET","0","G",58.45,97.42,2.93,23.88,32.24,1.82,87.74,90.92,94.36,-3.44,-1.11
"Carter Hart","2022-02-15","2021020514","20212022","PHI","PIT","0","G",60.52,100,4.71,31.73,40.84,2.69,85.16,88.47,93.4,-4.93,-2.01
"Carter Hart","2022-02-26","2021020832","20212022","PHI","WSH","1","G",60,100,1.01,27.07,44.45,2.61,96.28,97.74,94.13,3.61,1.6
"Carter Hart","2022-03-01","2021020853","20212022","PHI","EDM","1","G",59.3,98.83,2.15,34.36,44.72,3.35,93.75,95.2,92.52,2.68,1.2
"Carter Hart","2022-03-03","2021020867","20212022","PHI","MIN","1","G",57.3,95.5,5.11,37.89,47.04,3.24,86.52,89.14,93.12,-3.98,-1.87
"Carter Hart","2022-03-08","2021020905","20212022","PHI","VGK","1","G",60,100,1.01,46.92,63.55,5.22,97.86,98.42,91.78,6.63,4.22
"Carter Hart","2022-03-10","2021020920","20212022","PHI","FLA","0","G",59.57,99.28,4.92,38.06,52,3.55,87.09,90.55,93.18,-2.63,-1.37
"Carter Hart","2022-03-13","2021020944","20212022","PHI","MTL","1","G",62.17,100,3.96,34.96,46.98,3.34,88.68,91.58,92.9,-1.32,-0.62
"Carter Hart","2022-03-17","2021020970","20212022","PHI","NSH","1","G",60,100,4.09,34.65,45.98,1.94,88.19,91.1,95.79,-4.69,-2.15
"Carter Hart","2022-03-20","2021020994","20212022","PHI","NYI","1","G",59.95,99.92,1.06,27.84,39.11,1.96,96.19,97.29,94.98,2.31,0.9
"Carter Hart","2022-03-22","2021021004","20212022","PHI","DET","0","G",59.62,99.36,3.91,30.62,38.02,2.46,87.23,89.72,93.52,-3.8,-1.45
"Carter Hart","2022-03-25","2021021031","20212022","PHI","COL","0","G",60,100,5.83,54.33,69.31,4.13,89.27,91.59,94.04,-2.45,-1.7
"Carter Hart","2022-04-02","2021021093","20212022","PHI","TOR","1","G",60,100,6.46,29,39.36,2.68,77.73,83.59,93.18,-9.59,-3.78
"Carter Hart","2022-04-05","2021021118","20212022","PHI","CBJ","1","G",57.78,96.31,3.19,31.13,45.31,2.34,89.74,92.95,94.83,-1.87,-0.85
"Carter Hart","2022-04-12","2021021170","20212022","PHI","WSH","0","G",20,33.33,2.92,10.28,15.41,1.3,71.59,81.04,91.59,-10.54,-1.62
"Carter Hart","Total","-","21-22","PHI","-","-","G",57.85,95.43,139.35,1477.38,1986.54,132.35,90.57,92.99,93.34,-0.35,-7
