"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Casey Desmith","2021-10-14","2021020010","20212022","PIT","FLA","0","G",61.42,99.68,4.84,38.52,50.41,3.5,87.43,90.4,93.06,-2.67,-1.35
"Casey Desmith","2021-10-28","2021020103","20212022","PIT","CGY","1","G",60,100,4.27,39.12,51.58,2.94,89.07,91.71,94.3,-2.59,-1.34
"Casey Desmith","2021-11-13","2021020212","20212022","PIT","OTT","0","G",56.92,94.86,4.91,23.68,34.05,2.25,79.27,85.58,93.4,-7.82,-2.66
"Casey Desmith","2021-11-27","2021020319","20212022","PIT","MTL","1","G",58,96.67,3.19,33.43,44.16,3.2,90.45,92.77,92.75,0.02,0.01
"Casey Desmith","2021-12-06","2021020387","20212022","PIT","SEA","0","G",60,100,0.94,25.07,32.06,1.62,96.26,97.07,94.95,2.13,0.68
"Casey Desmith","2021-12-11","2021020423","20212022","PIT","ANA","1","G",59.92,99.86,0,32.06,44.73,2.38,100,100,94.68,5.32,2.38
"Casey Desmith","2022-01-02","2021020577","20212022","PIT","S.J","1","G",59.67,99.44,5.05,25.32,36.54,1.8,80.04,86.17,95.08,-8.91,-3.26
"Casey Desmith","2022-01-05","2021020597","20212022","PIT","STL","1","G",33.82,56.36,3.23,17.32,21.81,1.32,81.35,85.19,93.93,-8.74,-1.91
"Casey Desmith","2022-01-21","2021020716","20212022","PIT","CBJ","0","G",20,33.33,1.81,11.27,14.07,1.26,83.93,87.13,91.04,-3.91,-0.55
"Casey Desmith","2022-01-28","2021020768","20212022","PIT","DET","1","G",64.95,99.92,2.14,33.28,43.92,3.75,93.58,95.13,91.45,3.68,1.62
"Casey Desmith","2022-02-10","2021020559","20212022","PIT","OTT","0","G",60,100,0,24.55,38.74,1.7,100,100,95.61,4.39,1.7
"Casey Desmith","2022-02-15","2021020514","20212022","PIT","PHI","1","G",60.52,100,4.2,28.82,38.14,2.21,85.41,88.98,94.2,-5.22,-1.99
"Casey Desmith","2022-02-24","2021020497","20212022","PIT","N.J","1","G",26.38,43.97,1.18,20.51,22,1.47,94.23,94.62,93.34,1.29,0.28
"Casey Desmith","2022-02-27","2021020841","20212022","PIT","CBJ","0","G",60,100,1.89,34.06,44.06,3.05,94.45,95.71,93.09,2.62,1.16
"Casey Desmith","2022-03-04","2021020876","20212022","PIT","CAR","0","G",62.93,99.53,2.8,38.4,55.75,4.32,92.71,94.98,92.26,2.72,1.52
"Casey Desmith","2022-03-15","2021020958","20212022","PIT","NSH","0","G",59.45,99.08,2.88,23.95,37.04,1.91,87.98,92.23,94.84,-2.61,-0.97
"Casey Desmith","2022-03-23","2021021014","20212022","PIT","BUF","0","G",65,100,2.84,32.35,41.88,2.35,91.24,93.23,94.39,-1.16,-0.49
"Casey Desmith","2022-03-25","2021021029","20212022","PIT","NYR","0","G",4.32,7.19,0,3.25,3.26,0.26,100,100,92.04,7.96,0.26
"Casey Desmith","2022-03-31","2021021079","20212022","PIT","MIN","0","G",63.87,99.87,2.74,28.44,49.59,2.84,90.36,94.47,94.27,0.2,0.1
"Casey Desmith","2022-04-10","2021021157","20212022","PIT","NSH","1","G",62.35,100,2.07,35.6,47,2.77,94.18,95.59,94.1,1.49,0.7
"Casey Desmith","2022-04-12","2021020922","20212022","PIT","NYI","0","G",64.47,99.18,3.73,36.35,44.29,2.39,89.73,91.57,94.61,-3.04,-1.35
"Casey Desmith","2022-04-16","2021021196","20212022","PIT","BOS","0","G",57.9,96.5,1.93,30.22,36.46,1.9,93.6,94.7,94.78,-0.09,-0.03
"Casey Desmith","2022-04-21","2021021238","20212022","PIT","BOS","1","G",60,100,0,49.27,60.73,3.25,100,100,94.65,5.35,3.25
"Casey Desmith","2022-04-23","2021021251","20212022","PIT","DET","0","G",60,100,1.8,22.86,28.14,1.75,92.11,93.59,93.78,-0.19,-0.05
"Casey Desmith","2022-04-26","2021021278","20212022","PIT","EDM","1","G",56.28,93.81,4.49,45.87,55.9,4.77,90.22,91.97,91.47,0.5,0.28
"Casey Desmith","2022-04-29","2021021169","20212022","PIT","CBJ","1","G",60,100,3.02,33.58,45.6,4.04,90.99,93.37,91.14,2.23,1.02
"Casey Desmith","Total","-","21-22","PIT","-","-","G",54.54,89.38,65.97,767.14,1021.9,64.99,91.4,93.54,93.64,-0.1,-0.99
