"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Cayden Primeau","2021-11-16","2021020235","20212022","MTL","NYR","0","G",59.57,99.28,2.88,34.36,52.52,3.37,91.62,94.52,93.59,0.93,0.49
"Cayden Primeau","2021-11-18","2021020249","20212022","MTL","PIT","1","G",40,66.67,5.46,35.88,45.29,3.91,84.79,87.95,91.36,-3.41,-1.54
"Cayden Primeau","2021-12-16","2021020454","20212022","MTL","PHI","1","G",65,100,2.07,40.26,51.16,2.81,94.85,95.95,94.51,1.44,0.74
"Cayden Primeau","2022-01-17","2021020687","20212022","MTL","ARI","0","G",40,66.67,3.91,16.5,26.72,2,76.31,85.37,92.53,-7.16,-1.91
"Cayden Primeau","2022-01-22","2021020729","20212022","MTL","COL","0","G",61.27,100,2.96,46.85,57.87,3.18,93.68,94.88,94.5,0.38,0.22
"Cayden Primeau","2022-01-24","2021020741","20212022","MTL","MIN","0","G",40,66.67,4.85,32.61,45.63,2.63,85.14,89.38,94.23,-4.85,-2.21
"Cayden Primeau","2022-01-27","2021020757","20212022","MTL","ANA","1","G",20,33.33,3.43,10.57,14.1,0.96,67.58,75.69,93.16,-17.46,-2.46
"Cayden Primeau","2022-01-29","2021020772","20212022","MTL","EDM","1","G",20,33.33,1.07,9.56,16.82,1.09,88.8,93.63,93.51,0.13,0.02
"Cayden Primeau","2022-01-30","2021020783","20212022","MTL","CBJ","1","G",48.5,80.83,2.14,32.62,49.69,3.48,93.43,95.69,92.99,2.7,1.34
"Cayden Primeau","2022-02-08","2021020666","20212022","MTL","N.J","1","G",60,100,7.6,38.71,51.39,3.25,80.37,85.21,93.68,-8.47,-4.35
"Cayden Primeau","2022-02-10","2021020587","20212022","MTL","WSH","1","G",25.3,42.17,4.27,15.77,17.07,1.07,72.9,74.96,93.74,-18.78,-3.21
"Cayden Primeau","2022-03-15","2021020954","20212022","MTL","ARI","1","G",39.58,65.97,1.18,12.49,14.94,1.46,90.53,92.08,90.24,1.84,0.27
"Cayden Primeau","Total","-","21-22","MTL","-","-","G",43.27,71.49,41.82,326.18,443.18,29.21,87.18,90.56,93.41,-2.84,-12.61
