"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Chris Driedger","2021-10-18","2021020036","20212022","SEA","PHI","0","G",31.18,51.97,0.99,7.6,14.11,1.05,86.99,93,92.59,0.41,0.06
"Chris Driedger","2021-11-09","2021020191","20212022","SEA","VGK","0","G",56.35,93.92,3.82,22.21,30.98,1.94,82.83,87.68,93.73,-6.05,-1.87
"Chris Driedger","2021-11-19","2021020260","20212022","SEA","COL","1","G",25.55,42.58,4.51,14.74,20.5,1.16,69.37,77.98,94.33,-16.35,-3.35
"Chris Driedger","2021-11-27","2021020318","20212022","SEA","FLA","0","G",60,100,0.94,31.02,40.73,2.18,96.98,97.7,94.64,3.06,1.25
"Chris Driedger","2021-11-29","2021020333","20212022","SEA","BUF","0","G",60,100,3.68,31.66,43.85,3.05,88.37,91.61,93.05,-1.44,-0.63
"Chris Driedger","2021-12-14","2021020450","20212022","SEA","S.J","0","G",60,100,1.03,32.76,39.35,2.58,96.85,97.38,93.45,3.93,1.55
"Chris Driedger","2021-12-15","2021020453","20212022","SEA","ANA","0","G",20,33.33,0.99,6.6,10.93,0.57,85.02,90.96,94.77,-3.82,-0.42
"Chris Driedger","2021-12-18","2021020480","20212022","SEA","EDM","1","G",58.43,97.39,4.14,40.77,55.35,3.18,89.84,92.52,94.25,-1.73,-0.96
"Chris Driedger","2021-12-30","2021020558","20212022","SEA","CGY","1","G",58.05,96.75,5.22,40.84,53.63,3.35,87.22,90.27,93.75,-3.48,-1.87
"Chris Driedger","2022-01-13","2021020656","20212022","SEA","STL","0","G",58.3,97.17,1.87,25.07,33.35,2.15,92.54,94.39,93.55,0.84,0.28
"Chris Driedger","2022-01-15","2021020679","20212022","SEA","L.A","1","G",58.78,97.97,2.13,23.09,34.3,2.04,90.76,93.78,94.04,-0.26,-0.09
"Chris Driedger","2022-02-01","2021020795","20212022","SEA","BOS","0","G",57.63,96.06,2.85,25.83,33.57,1.59,88.95,91.5,95.27,-3.77,-1.27
"Chris Driedger","2022-02-11","2021021033","20212022","SEA","ANA","0","G",60,100,2.81,25.83,43.13,3.57,89.13,93.49,91.73,1.76,0.76
"Chris Driedger","2022-02-14","2021020488","20212022","SEA","TOR","1","G",40,66.67,3.44,16.75,23.97,1.56,79.48,85.66,93.48,-7.82,-1.87
"Chris Driedger","2022-02-21","2021020534","20212022","SEA","VAN","0","G",59.25,98.75,3.82,44.39,56.23,3.97,91.39,93.2,92.94,0.26,0.15
"Chris Driedger","2022-03-02","2021020863","20212022","SEA","NSH","1","G",60,100,3.26,23.27,42.4,2.43,86.01,92.32,94.28,-1.96,-0.83
"Chris Driedger","2022-03-05","2021020884","20212022","SEA","WSH","0","G",58.58,97.64,3.86,24.02,29.09,2.58,83.93,86.73,91.15,-4.41,-1.28
"Chris Driedger","2022-03-10","2021020918","20212022","SEA","OTT","0","G",62.57,100,3.84,28.53,38.96,2.92,86.53,90.13,92.5,-2.37,-0.92
"Chris Driedger","2022-03-28","2021021058","20212022","SEA","L.A","0","G",60,100,0.87,32.99,43.49,2.91,97.37,98.01,93.31,4.69,2.04
"Chris Driedger","2022-03-30","2021021073","20212022","SEA","VGK","1","G",57.63,96.06,2.13,31.64,53.56,4.26,93.26,96.02,92.04,3.98,2.13
"Chris Driedger","2022-04-03","2021021108","20212022","SEA","DAL","1","G",60,100,1.08,28.95,44.3,2.69,96.26,97.56,93.94,3.62,1.6
"Chris Driedger","2022-04-06","2021021124","20212022","SEA","STL","0","G",58.77,97.94,2.91,35.96,45.34,3.6,91.91,93.58,92.06,1.53,0.69
"Chris Driedger","2022-04-12","2021021174","20212022","SEA","CGY","0","G",59.4,99,3.58,27.78,34.85,2.47,87.12,89.73,92.9,-3.17,-1.1
"Chris Driedger","2022-04-18","2021020611","20212022","SEA","OTT","1","G",60,100,2.07,14.02,26.76,1.8,85.21,92.25,93.29,-1.03,-0.28
"Chris Driedger","2022-04-23","2021021255","20212022","SEA","DAL","0","G",58.88,98.14,2.75,29.81,40.17,3.07,90.78,93.16,92.35,0.81,0.32
"Chris Driedger","2022-04-29","2021021312","20212022","SEA","S.J","1","G",60,100,0,22.8,30.42,1.69,100,100,94.43,5.57,1.69
"Chris Driedger","2022-05-01","2021021179","20212022","SEA","WPG","0","G",59.03,98.39,3.77,26.4,38.39,3.06,85.74,90.19,92.03,-1.84,-0.71
"Chris Driedger","Total","-","21-22","SEA","-","-","G",54.76,91.11,72.35,715.3,1001.7,67.43,89.88,92.78,93.27,-0.49,-4.92
