"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Craig Anderson","2021-10-14","2021020007","20212022","BUF","MTL","1","G",59.95,99.92,1.01,29.47,36.14,1.62,96.57,97.2,95.52,1.68,0.61
"Craig Anderson","2021-10-19","2021020039","20212022","BUF","VAN","1","G",60,100,2.12,34.47,39.62,2.4,93.84,94.64,93.93,0.71,0.28
"Craig Anderson","2021-10-22","2021020062","20212022","BUF","BOS","1","G",58.92,98.19,3.32,29.1,38.85,2.32,88.61,91.47,94.03,-2.57,-1
"Craig Anderson","2021-10-25","2021020083","20212022","BUF","T.B","1","G",59.97,99.94,1.01,35.88,51.9,2.53,97.18,98.05,95.12,2.93,1.52
"Craig Anderson","2021-10-28","2021020107","20212022","BUF","ANA","0","G",64.27,100,2.81,34.88,44.05,2.93,91.96,93.63,93.35,0.29,0.13
"Craig Anderson","2021-11-02","2021020143","20212022","BUF","S.J","0","G",57.5,95.83,4.8,28.02,34.2,2.24,82.89,85.98,93.45,-7.48,-2.56
"Craig Anderson","2022-01-29","2021020782","20212022","BUF","ARI","0","G",60,100,0.87,25.6,38.98,3.75,96.62,97.78,90.38,7.4,2.89
"Craig Anderson","2022-02-01","2021020806","20212022","BUF","VGK","0","G",59.65,99.42,4.91,37.47,54.72,5.48,86.9,91.03,89.98,1.05,0.57
"Craig Anderson","2022-02-13","2021020614","20212022","BUF","MTL","0","G",60,100,2.82,30.07,40.23,2.83,90.62,92.99,92.96,0.03,0.01
"Craig Anderson","2022-02-17","2021021228","20212022","BUF","OTT","1","G",59.53,99.22,2.07,27.29,41.87,2.95,92.4,95.05,92.95,2.09,0.88
"Craig Anderson","2022-02-20","2021020515","20212022","BUF","CBJ","0","G",59,98.33,5.79,39.36,52.8,2.9,85.28,89.03,94.51,-5.48,-2.89
"Craig Anderson","2022-02-23","2021021273","20212022","BUF","MTL","0","G",59.82,99.69,2.97,29.41,39.09,2.84,89.92,92.41,92.74,-0.33,-0.13
"Craig Anderson","2022-02-27","2021020843","20212022","BUF","DAL","0","G",58.2,97,3.92,31.69,40.95,3.93,87.64,90.44,90.41,0.03,0.01
"Craig Anderson","2022-03-02","2021020860","20212022","BUF","TOR","0","G",60,100,0.94,27.19,42.28,1.7,96.55,97.78,95.98,1.8,0.76
"Craig Anderson","2022-03-04","2021020873","20212022","BUF","MIN","1","G",60,100,4.07,33.13,42.12,1.61,87.72,90.34,96.18,-5.84,-2.46
"Craig Anderson","2022-03-07","2021020899","20212022","BUF","FLA","1","G",59.17,98.61,6.64,36.1,40.75,2.99,81.61,83.7,92.67,-8.97,-3.65
"Craig Anderson","2022-03-10","2021020916","20212022","BUF","VGK","1","G",60,100,1.01,30.14,40.83,2.41,96.64,97.52,94.1,3.42,1.4
"Craig Anderson","2022-03-13","2021020942","20212022","BUF","TOR","1","G",60,100,2.12,37.65,57.46,3.99,94.36,96.31,93.05,3.26,1.87
"Craig Anderson","2022-03-17","2021020973","20212022","BUF","EDM","0","G",60,100,5.9,38.55,54.64,4.08,84.7,89.21,92.54,-3.33,-1.82
"Craig Anderson","2022-03-20","2021020998","20212022","BUF","VAN","0","G",60.8,100,1.8,29.87,36.15,2.31,93.96,95.01,93.6,1.4,0.51
"Craig Anderson","2022-03-23","2021021014","20212022","BUF","PIT","1","G",65,100,3.02,26.02,38.11,2.27,88.38,92.07,94.06,-1.99,-0.76
"Craig Anderson","2022-03-27","2021021049","20212022","BUF","NYR","0","G",62.03,100,4.85,30.55,50.78,3.74,84.13,90.45,92.63,-2.18,-1.1
"Craig Anderson","2022-03-30","2021021068","20212022","BUF","WPG","1","G",65,100,2.02,27.05,39.23,3.19,92.52,94.84,91.88,2.96,1.16
"Craig Anderson","2022-04-01","2021021083","20212022","BUF","NSH","1","G",60,100,3.04,24.71,32.66,2.11,87.71,90.7,93.55,-2.84,-0.93
"Craig Anderson","2022-04-05","2021021113","20212022","BUF","CAR","1","G",60,100,2.07,34.58,50.95,3.19,94.01,95.93,93.73,2.2,1.12
"Craig Anderson","2022-04-07","2021021130","20212022","BUF","CAR","0","G",59.07,98.44,3.76,28.25,41.52,2.67,86.69,90.95,93.56,-2.62,-1.09
"Craig Anderson","2022-04-10","2021021156","20212022","BUF","T.B","0","G",60,100,4.9,30.01,41.73,3.03,83.68,88.26,92.75,-4.49,-1.87
"Craig Anderson","2022-04-12","2021021165","20212022","BUF","TOR","0","G",60,100,1.88,23.75,29.04,2.55,92.1,93.54,91.23,2.31,0.67
"Craig Anderson","2022-04-14","2021021182","20212022","BUF","STL","1","G",59.48,99.14,5.36,29.46,39.23,3.77,81.82,86.35,90.4,-4.05,-1.59
"Craig Anderson","2022-04-16","2021021197","20212022","BUF","PHI","1","G",59.9,99.83,3.19,21.58,29.82,2.11,85.2,89.29,92.91,-3.62,-1.08
"Craig Anderson","2022-04-21","2021021236","20212022","BUF","N.J","0","G",60,100,1.88,28.56,43.2,2.66,93.43,95.66,93.85,1.81,0.78
"Craig Anderson","Total","-","21-22","BUF","-","-","G",60.23,99.48,96.85,949.86,1303.89,89.08,89.8,92.57,93.17,-0.6,-7.76
