"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Dan Vladar","2021-10-23","2021020072","20212022","CGY","WSH","0","G",62.77,100,2.74,22.81,33.79,2.56,87.98,91.89,92.41,-0.53,-0.18
"Dan Vladar","2021-10-26","2021020090","20212022","CGY","N.J","0","G",59.77,99.61,2.91,26.35,35.08,1.54,88.96,91.71,95.6,-3.89,-1.37
"Dan Vladar","2021-11-12","2021020207","20212022","CGY","TOR","0","G",62.53,100,1.97,35.49,49.7,3.7,94.45,96.03,92.56,3.48,1.73
"Dan Vladar","2021-11-14","2021020225","20212022","CGY","OTT","0","G",60,100,0,24.36,37.21,1.66,100,100,95.54,4.46,1.66
"Dan Vladar","2021-11-21","2021020274","20212022","CGY","BOS","0","G",60,100,0,24.98,37.14,2.1,100,100,94.36,5.64,2.1
"Dan Vladar","2021-12-03","2021020365","20212022","CGY","ANA","0","G",65,100,2.75,32.8,44.23,2.89,91.62,93.78,93.46,0.33,0.15
"Dan Vladar","2021-12-07","2021020397","20212022","CGY","S.J","0","G",59.07,98.44,3.62,24.15,32.85,1.91,85.03,89,94.19,-5.19,-1.71
"Dan Vladar","2022-01-06","2021020602","20212022","CGY","T.B","0","G",60,100,3.91,32.62,53.53,3.34,88.02,92.7,93.76,-1.06,-0.57
"Dan Vladar","2022-01-07","2021020612","20212022","CGY","CAR","0","G",60,100,5.84,37.2,50.54,3.68,84.3,88.44,92.71,-4.27,-2.16
"Dan Vladar","2022-02-01","2021020804","20212022","CGY","DAL","0","G",20,33.33,0,5.15,8.32,0.47,100,100,94.35,5.65,0.47
"Dan Vladar","2022-02-15","2021020478","20212022","CGY","CBJ","1","G",60,100,2.02,19.05,35.24,1.78,89.37,94.26,94.94,-0.68,-0.24
"Dan Vladar","2022-02-24","2021020820","20212022","CGY","VAN","0","G",21.77,36.28,4.01,18.25,21.51,1.49,78.03,81.36,93.06,-11.7,-2.52
"Dan Vladar","2022-03-05","2021020886","20212022","CGY","COL","0","G",60.62,100,2.82,34.68,42.26,2.34,91.88,93.34,94.46,-1.13,-0.48
"Dan Vladar","2022-03-08","2021020912","20212022","CGY","WSH","1","G",58.48,97.47,4.1,26.1,42.03,2.69,84.3,90.25,93.6,-3.35,-1.41
"Dan Vladar","2022-03-13","2021020949","20212022","CGY","COL","0","G",58,96.67,1.92,32.13,50.73,2.12,94.02,96.21,95.82,0.4,0.2
"Dan Vladar","2022-03-19","2021020990","20212022","CGY","VAN","0","G",60,100,1.8,21.81,31.3,1.82,91.73,94.24,94.18,0.06,0.02
"Dan Vladar","2022-04-07","2021021136","20212022","CGY","S.J","0","G",60,100,1.88,30.33,40.02,2.44,93.82,95.31,93.9,1.41,0.57
"Dan Vladar","2022-04-12","2021021174","20212022","CGY","SEA","1","G",20,33.33,0,7.39,9.49,0.76,100,100,91.99,8.01,0.76
"Dan Vladar","2022-04-14","2021021191","20212022","CGY","VGK","1","G",30.8,51.33,2.25,9.6,9.64,1.04,76.52,76.62,89.19,-12.58,-1.21
"Dan Vladar","2022-04-19","2021020443","20212022","CGY","NSH","0","G",64.42,99.1,1.92,27.75,44.45,2.55,93.08,95.68,94.26,1.42,0.63
"Dan Vladar","2022-04-23","2021021256","20212022","CGY","VAN","1","G",60,100,2.99,30.26,38.99,2.2,90.11,92.32,94.37,-2.05,-0.8
"Dan Vladar","2022-04-26","2021021280","20212022","CGY","NSH","0","G",61.25,98.76,3.75,21.92,30.3,1.63,82.9,87.63,94.61,-6.98,-2.12
"Dan Vladar","2022-04-29","2021021309","20212022","CGY","WPG","0","G",58.67,97.78,1.88,41.27,57.31,4.46,95.44,96.71,92.22,4.5,2.58
"Dan Vladar","Total","-","21-22","CGY","-","-","G",54.05,88.93,55.08,586.45,835.66,51.19,90.61,93.41,93.87,-0.47,-3.89
