"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Darcy Kuemper","2021-10-13","2021020005","20212022","COL","CHI","1","G",60,100,2.02,32.04,41.94,1.96,93.7,95.19,95.33,-0.14,-0.06
"Darcy Kuemper","2021-10-16","2021020030","20212022","COL","STL","1","G",56.43,94.06,4.39,30.72,40.19,1.92,85.72,89.09,95.24,-6.15,-2.47
"Darcy Kuemper","2021-10-19","2021020045","20212022","COL","WSH","0","G",57.73,96.22,4.81,39.94,51.87,3.85,87.96,90.73,92.57,-1.85,-0.96
"Darcy Kuemper","2021-10-23","2021020068","20212022","COL","T.B","0","G",65,100,2.91,29.32,44.99,2.7,90.08,93.53,93.99,-0.45,-0.2
"Darcy Kuemper","2021-10-26","2021020093","20212022","COL","VGK","1","G",58.65,97.75,2.24,32.16,44.1,2.63,93.02,94.91,94.03,0.88,0.39
"Darcy Kuemper","2021-10-28","2021020105","20212022","COL","STL","0","G",60,100,2.82,17.06,22.71,1.02,83.46,87.58,95.49,-7.92,-1.8
"Darcy Kuemper","2021-10-30","2021020122","20212022","COL","MIN","1","G",59.97,99.94,1.01,29.24,38.19,1.8,96.56,97.37,95.28,2.09,0.8
"Darcy Kuemper","2021-11-06","2021020169","20212022","COL","CBJ","0","G",59.53,99.22,2.83,38.56,43.99,2.7,92.67,93.57,93.87,-0.3,-0.13
"Darcy Kuemper","2021-11-11","2021020203","20212022","COL","VAN","1","G",60,100,1.01,20.3,27.62,1.99,95.02,96.34,92.79,3.54,0.98
"Darcy Kuemper","2021-11-13","2021020221","20212022","COL","S.J","1","G",60,100,2.07,29.45,32.42,2.42,92.98,93.62,92.54,1.08,0.35
"Darcy Kuemper","2021-11-17","2021020244","20212022","COL","VAN","0","G",60,100,1.88,31.8,40.02,2.67,94.08,95.3,93.34,1.96,0.78
"Darcy Kuemper","2021-11-19","2021020260","20212022","COL","SEA","0","G",60,100,2.67,24.26,31.13,2.4,89,91.42,92.29,-0.87,-0.27
"Darcy Kuemper","2021-11-22","2021020285","20212022","COL","OTT","1","G",57.52,95.86,5.17,20.35,21.43,1.29,74.61,75.89,94,-18.11,-3.88
"Darcy Kuemper","2021-11-24","2021020299","20212022","COL","ANA","1","G",14.18,23.64,1.08,6.35,11.69,0.94,83.04,90.78,91.99,-1.2,-0.14
"Darcy Kuemper","2021-11-26","2021020313","20212022","COL","DAL","0","G",55.62,92.69,2.93,23.33,42.63,2.89,87.45,93.13,93.23,-0.09,-0.04
"Darcy Kuemper","2021-12-08","2021020399","20212022","COL","NYR","0","G",58.43,97.39,2.81,27.35,38.9,2.97,89.73,92.78,92.36,0.42,0.16
"Darcy Kuemper","2021-12-10","2021020415","20212022","COL","DET","1","G",60,100,3.03,37.97,47.4,3.13,92.02,93.61,93.39,0.22,0.1
"Darcy Kuemper","2021-12-12","2021020433","20212022","COL","FLA","1","G",60,100,2.02,31.4,43.62,3.54,93.57,95.37,91.88,3.49,1.52
"Darcy Kuemper","2021-12-14","2021020447","20212022","COL","NYR","1","G",59.62,99.36,1.98,27.55,44.03,4.26,92.81,95.5,90.34,5.17,2.27
"Darcy Kuemper","2022-01-02","2021020580","20212022","COL","ANA","1","G",60,100,2.24,34.38,43.42,2.92,93.47,94.83,93.27,1.56,0.68
"Darcy Kuemper","2022-01-04","2021020591","20212022","COL","CHI","0","G",62.63,100,2.71,28.43,35.65,2.71,90.47,92.4,92.41,-0.01,0
"Darcy Kuemper","2022-01-06","2021020606","20212022","COL","WPG","1","G",59.8,99.67,1.08,34.91,47.66,3.53,96.92,97.74,92.6,5.14,2.45
"Darcy Kuemper","2022-01-08","2021020622","20212022","COL","TOR","1","G",14.83,24.24,3.2,8.78,13.14,1,63.53,75.63,92.39,-16.75,-2.2
"Darcy Kuemper","2022-01-11","2021020641","20212022","COL","NSH","0","G",63.02,100,4.73,32.16,53.61,3.74,85.28,91.17,93.02,-1.85,-0.99
