"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"David Rittich","2021-11-11","2021020201","20212022","NSH","STL","0","G",62.02,100,2.88,35.62,44.4,2.37,91.92,93.52,94.66,-1.14,-0.51
"David Rittich","2021-11-20","2021020262","20212022","NSH","MTL","0","G",29.1,48.5,0,9.94,19.89,1.26,100,100,93.65,6.35,1.26
"David Rittich","2021-11-27","2021020321","20212022","NSH","COL","0","G",60,100,5.88,36.78,48.59,2.86,84.01,87.9,94.11,-6.21,-3.02
"David Rittich","2021-12-07","2021020392","20212022","NSH","DET","0","G",60,100,1.8,14.49,21.62,1.62,87.55,91.65,92.52,-0.86,-0.19
"David Rittich","2021-12-09","2021020404","20212022","NSH","NYI","0","G",60,100,2.76,20.15,27.96,2.4,86.32,90.14,91.42,-1.27,-0.36
"David Rittich","2021-12-30","2021020555","20212022","NSH","CBJ","0","G",64.95,99.92,2.82,27.48,42.71,2.97,89.74,93.39,93.04,0.36,0.15
"David Rittich","2022-01-18","2021020696","20212022","NSH","VAN","1","G",58,96.67,3.16,25.21,41.91,3.09,87.47,92.46,92.62,-0.16,-0.07
"David Rittich","2022-02-22","2021020511","20212022","NSH","FLA","0","G",60,100,3.81,47.71,61.45,3.93,92.01,93.8,93.61,0.19,0.12
"David Rittich","2022-03-13","2021020948","20212022","NSH","MIN","0","G",59.78,99.64,1.88,25.93,37.79,1.31,92.77,95.04,96.54,-1.51,-0.57
"David Rittich","2022-03-21","2021021003","20212022","NSH","ANA","0","G",0.73,1.22,0,0.89,0.88,0.17,100,100,80.62,19.38,0.17
"David Rittich","2022-03-22","2021021013","20212022","NSH","L.A","0","G",59.37,98.94,4.91,36.62,52.57,3.8,86.59,90.66,92.77,-2.11,-1.11
"David Rittich","2022-04-10","2021021157","20212022","NSH","PIT","0","G",62.08,99.57,2.92,28.89,44.54,2.69,89.91,93.45,93.96,-0.51,-0.23
"David Rittich","2022-04-17","2021021213","20212022","NSH","STL","1","G",30.52,50.86,4.28,15.48,17.95,1.14,72.33,76.14,93.64,-17.5,-3.14
"David Rittich","2022-04-23","2021021252","20212022","NSH","T.B","0","G",17.87,29.78,0,9.94,15.53,1.39,100,100,91.06,8.94,1.39
"David Rittich","2022-04-24","2021021267","20212022","NSH","MIN","1","G",64.97,100,5.17,51.83,66.94,5.43,90.02,92.27,91.89,0.38,0.25
"David Rittich","2022-04-26","2021021280","20212022","NSH","CGY","1","G",8.55,13.79,1.94,5.04,6.96,0.84,61.59,72.16,87.87,-15.71,-1.09
"David Rittich","2022-04-28","2021021296","20212022","NSH","COL","0","G",65,100,3.9,47.22,60.39,3.85,91.75,93.55,93.63,-0.09,-0.05
"David Rittich","Total","-","21-22","NSH","-","-","G",48.41,79.03,48.1,439.23,612.08,41.13,89.05,92.14,93.28,-1.14,-6.98
