"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Dustin Tokarski","2021-10-16","2021020021","20212022","BUF","ARI","1","G",65,100,1.06,21.92,29.25,1.56,95.16,96.37,94.66,1.71,0.5
"Dustin Tokarski","2021-10-23","2021020069","20212022","BUF","N.J","0","G",63.15,100,1.9,36.26,52.68,3.98,94.76,96.4,92.45,3.94,2.08
"Dustin Tokarski","2021-10-31","2021020130","20212022","BUF","L.A","0","G",59.42,99.03,2.75,32.26,47.51,3.98,91.48,94.21,91.63,2.59,1.23
"Dustin Tokarski","2021-11-04","2021020156","20212022","BUF","SEA","0","G",58.55,97.58,3.8,36.98,48.61,2.88,89.73,92.18,94.07,-1.89,-0.92
"Dustin Tokarski","2021-11-06","2021020162","20212022","BUF","DET","1","G",62.75,100,4.05,33.21,39.44,3.23,87.79,89.72,91.8,-2.08,-0.82
"Dustin Tokarski","2021-11-08","2021020181","20212022","BUF","WSH","0","G",58.87,98.11,4.9,31.4,44.9,2.53,84.39,89.08,94.36,-5.28,-2.37
"Dustin Tokarski","2021-11-12","2021020206","20212022","BUF","EDM","1","G",60,100,2.08,35.74,44.25,2.4,94.17,95.29,94.57,0.72,0.32
"Dustin Tokarski","2021-11-16","2021020237","20212022","BUF","PIT","0","G",60,100,0.87,42.12,51.16,3.13,97.94,98.31,93.88,4.42,2.26
"Dustin Tokarski","2021-11-18","2021020247","20212022","BUF","CGY","1","G",40,66.67,5.46,25.12,34.15,1.55,78.28,84.02,95.45,-11.43,-3.9
"Dustin Tokarski","2021-11-22","2021020281","20212022","BUF","CBJ","1","G",20.92,34.86,4.2,12.29,15.45,0.86,65.8,72.79,94.44,-21.65,-3.35
"Dustin Tokarski","2021-11-24","2021020290","20212022","BUF","BOS","1","G",40,66.67,1.18,29.95,42.22,2.26,96.05,97.2,94.66,2.54,1.07
"Dustin Tokarski","2021-11-26","2021020305","20212022","BUF","MTL","1","G",60,100,1.01,25.41,39,2.1,96.02,97.41,94.61,2.8,1.09
"Dustin Tokarski","2021-11-27","2021020317","20212022","BUF","DET","0","G",60.18,99.59,2.92,40.75,50.97,4.31,92.84,94.28,91.54,2.74,1.4
"Dustin Tokarski","2021-11-29","2021020333","20212022","BUF","SEA","1","G",58.67,97.78,6.54,35.5,42.61,3.03,81.57,84.64,92.9,-8.26,-3.52
"Dustin Tokarski","2022-01-30","2021020790","20212022","BUF","COL","0","G",57.82,96.36,2.88,35.43,43.55,3.98,91.86,93.38,90.87,2.51,1.09
"Dustin Tokarski","2022-02-10","2021020489","20212022","BUF","CBJ","1","G",60.27,100,4.05,35.55,51.49,1.84,88.61,92.14,96.42,-4.28,-2.2
"Dustin Tokarski","2022-02-15","2021020524","20212022","BUF","NYI","1","G",59.73,99.56,3.04,33.26,40.73,2.68,90.87,92.55,93.42,-0.87,-0.36
"Dustin Tokarski","2022-02-19","2021020504","20212022","BUF","COL","1","G",58.72,97.86,4.2,37.74,45.41,3.87,88.88,90.76,91.47,-0.71,-0.32
"Dustin Tokarski","2022-02-25","2021020825","20212022","BUF","STL","0","G",59.8,99.67,3.7,21.48,31.22,2.79,82.77,88.14,91.05,-2.91,-0.91
"Dustin Tokarski","2022-03-06","2021020890","20212022","BUF","L.A","1","G",59.35,98.92,1.06,31.49,43.3,2.01,96.63,97.55,95.36,2.19,0.95
"Dustin Tokarski","2022-03-18","2021020980","20212022","BUF","CGY","0","G",62.88,99.63,0,23.24,40.6,2.24,100,100,94.49,5.51,2.24
"Dustin Tokarski","2022-03-25","2021021028","20212022","BUF","WSH","1","G",65,100,3.13,41.21,57.07,3.57,92.39,94.51,93.74,0.77,0.44
"Dustin Tokarski","2022-03-28","2021021055","20212022","BUF","CHI","0","G",60,100,4.85,21.07,25.18,1.39,76.99,80.75,94.46,-13.71,-3.45
"Dustin Tokarski","2022-04-03","2021021100","20212022","BUF","FLA","1","G",59.32,98.86,5.45,42.29,53.76,3.49,87.12,89.86,93.51,-3.65,-1.96
"Dustin Tokarski","2022-04-08","2021021138","20212022","BUF","FLA","0","G",59.57,99.28,3.62,39.68,48.73,3.58,90.89,92.58,92.66,-0.08,-0.04
"Dustin Tokarski","2022-04-17","2021021212","20212022","BUF","PHI","0","G",60,100,2.82,33.07,42.01,4.02,91.47,93.28,90.43,2.85,1.2
"Dustin Tokarski","2022-04-23","2021021249","20212022","BUF","NYI","1","G",59.72,99.53,3.04,21.14,25.1,1.22,85.64,87.91,95.15,-7.25,-1.82
"Dustin Tokarski","2022-04-28","2021021290","20212022","BUF","BOS","0","G",60,100,4.91,32.87,40.28,3.81,85.06,87.81,90.54,-2.73,-1.1
"Dustin Tokarski","2022-04-29","2021021298","20212022","BUF","CHI","1","G",61.77,99.44,2.12,22,30.73,1.68,90.36,93.09,94.52,-1.43,-0.44
"Dustin Tokarski","Total","-","21-22","BUF","-","-","G",57.64,94.87,91.59,910.46,1201.36,79.98,89.94,92.38,93.34,-0.97,-11.61
