"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Elvis Merzlikins","2021-10-14","2021020013","20212022","CBJ","ARI","1","G",60,100,2.02,35.54,54.2,3.03,94.32,96.28,94.41,1.87,1.01
"Elvis Merzlikins","2021-10-16","2021020028","20212022","CBJ","SEA","1","G",62.27,100,1.06,20.78,34.73,1.66,94.89,96.95,95.21,1.73,0.6
"Elvis Merzlikins","2021-10-21","2021020057","20212022","CBJ","NYI","1","G",61.82,100,2.07,37.71,49.22,2.79,94.5,95.79,94.33,1.46,0.72
"Elvis Merzlikins","2021-10-25","2021020088","20212022","CBJ","DAL","1","G",60,100,0.97,30.52,43.9,3,96.83,97.79,93.17,4.63,2.03
"Elvis Merzlikins","2021-10-29","2021020112","20212022","CBJ","NYR","0","G",59.6,99.33,3.81,38.38,52.91,3.18,90.07,92.8,93.99,-1.19,-0.63
"Elvis Merzlikins","2021-11-06","2021020169","20212022","CBJ","COL","1","G",60,100,2.07,37.95,48.66,3.78,94.54,95.74,92.22,3.52,1.71
"Elvis Merzlikins","2021-11-13","2021020217","20212022","CBJ","NYR","1","G",57.45,95.75,5.34,45.57,56.37,3.75,88.28,90.53,93.34,-2.81,-1.59
"Elvis Merzlikins","2021-11-15","2021020231","20212022","CBJ","DET","1","G",60,100,3.19,28.43,38.27,2.01,88.77,91.66,94.74,-3.08,-1.18
"Elvis Merzlikins","2021-11-18","2021020256","20212022","CBJ","ARI","0","G",64.02,98.49,3.77,28.3,39.92,2.46,86.69,90.57,93.85,-3.28,-1.31
"Elvis Merzlikins","2021-11-20","2021020271","20212022","CBJ","VGK","0","G",57.78,96.31,2.75,31.94,41.67,4.31,91.39,93.4,89.67,3.74,1.56
"Elvis Merzlikins","2021-11-24","2021020297","20212022","CBJ","WPG","1","G",60,100,0,35.33,47.2,2.58,100,100,94.53,5.47,2.58
"Elvis Merzlikins","2021-11-26","2021020310","20212022","CBJ","VAN","1","G",59.68,99.47,2.02,41.12,53.18,2.32,95.08,96.19,95.63,0.56,0.3
"Elvis Merzlikins","2021-11-30","2021020342","20212022","CBJ","NSH","0","G",12.87,21.44,2.92,9.19,13.25,0.77,68.21,77.95,94.15,-16.2,-2.15
"Elvis Merzlikins","2021-12-05","2021020379","20212022","CBJ","S.J","1","G",60,100,4.15,34.63,49.4,3.25,88.03,91.61,93.42,-1.81,-0.9
"Elvis Merzlikins","2021-12-07","2021020389","20212022","CBJ","TOR","0","G",39.58,65.97,4.89,31.51,40.11,2.48,84.48,87.81,93.83,-6.02,-2.41
"Elvis Merzlikins","2021-12-09","2021020405","20212022","CBJ","ANA","1","G",65,100,1.01,26.61,34.98,2.43,96.2,97.11,93.05,4.06,1.42
"Elvis Merzlikins","2021-12-11","2021020430","20212022","CBJ","SEA","0","G",60.92,100,3.68,30.04,41.07,2.53,87.75,91.04,93.83,-2.79,-1.15
"Elvis Merzlikins","2021-12-14","2021020449","20212022","CBJ","VAN","0","G",59.2,98.67,3.74,35.41,49.48,2.32,89.44,92.45,95.31,-2.87,-1.42
"Elvis Merzlikins","2021-12-16","2021020463","20212022","CBJ","EDM","0","G",39.93,66.56,3.9,30.99,38.32,3.7,87.42,89.83,90.34,-0.51,-0.2
"Elvis Merzlikins","2021-12-30","2021020555","20212022","CBJ","NSH","1","G",64.6,99.38,3.15,35.38,45.91,2.8,91.1,93.14,93.91,-0.77,-0.35
"Elvis Merzlikins","2022-01-01","2021020570","20212022","CBJ","CAR","1","G",19.13,31.89,4.16,15.22,24.37,1.42,72.69,82.94,94.16,-11.22,-2.73
