"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Eric Comrie","2021-10-28","2021020108","20212022","WPG","L.A","0","G",60,100,1.88,31.25,36.94,2.73,93.98,94.9,92.61,2.29,0.85
"Eric Comrie","2021-11-02","2021020139","20212022","WPG","DAL","1","G",65,100,3.03,26.34,35.94,3.04,88.49,91.57,91.55,0.01,0.01
"Eric Comrie","2021-11-05","2021020157","20212022","WPG","CHI","1","G",60,100,1.01,16.82,22.45,1.4,94.02,95.52,93.75,1.76,0.4
"Eric Comrie","2021-11-06","2021020170","20212022","WPG","NYI","1","G",57.77,96.28,2.13,34.45,50.52,4.21,93.81,95.78,91.66,4.12,2.08
"Eric Comrie","2021-11-19","2021020259","20212022","WPG","VAN","0","G",57.95,96.58,2.92,29.73,36.02,1.63,90.19,91.91,95.47,-3.56,-1.28
"Eric Comrie","2021-11-26","2021020314","20212022","WPG","MIN","0","G",37.18,61.97,2.96,25.92,30.28,1.48,88.56,90.21,95.11,-4.89,-1.48
"Eric Comrie","2021-12-10","2021020417","20212022","WPG","VAN","0","G",65,100,2.84,35.23,44.04,3.91,91.95,93.56,91.12,2.44,1.08
"Eric Comrie","2022-01-29","2021020780","20212022","WPG","STL","0","G",59.58,99.31,0.93,26.77,40.44,2.49,96.51,97.69,93.85,3.84,1.55
"Eric Comrie","2022-02-17","2021020621","20212022","WPG","SEA","1","G",59.68,99.47,3.16,24.47,40.35,2.64,87.08,92.17,93.46,-1.3,-0.52
"Eric Comrie","2022-02-27","2021020844","20212022","WPG","ARI","0","G",60,100,2.82,27.55,47.36,3.76,89.76,94.04,92.06,1.98,0.94
"Eric Comrie","2022-03-10","2021020921","20212022","WPG","N.J","0","G",60,100,0.87,31.56,49.26,3.13,97.26,98.24,93.64,4.6,2.27
"Eric Comrie","2022-03-25","2021021030","20212022","WPG","CBJ","1","G",60.35,100,2.99,35.42,42.34,3.18,91.57,92.95,92.49,0.46,0.19
"Eric Comrie","2022-03-31","2021021075","20212022","WPG","TOR","0","G",58.73,97.89,5.66,36.19,46.85,4.3,84.35,87.91,90.82,-2.91,-1.36
"Eric Comrie","2022-04-15","2021021194","20212022","WPG","FLA","0","G",20,33.33,1.98,18.77,22.18,1.53,89.47,91.09,93.11,-2.02,-0.45
"Eric Comrie","2022-04-16","2021021200","20212022","WPG","T.B","0","G",8.08,13.47,0,5.52,8.87,0.39,100,100,95.56,4.44,0.39
"Eric Comrie","2022-04-19","2021021224","20212022","WPG","NYR","0","G",57.55,95.92,1.92,33.1,39.91,2.12,94.2,95.19,94.68,0.5,0.2
"Eric Comrie","2022-04-21","2021021239","20212022","WPG","CAR","0","G",58.35,97.25,2.65,40.93,60.32,4.52,93.52,95.6,92.5,3.1,1.87
"Eric Comrie","2022-04-27","2021021288","20212022","WPG","PHI","1","G",59.77,99.61,0,33.52,43.01,3.27,100,100,92.4,7.6,3.27
"Eric Comrie","2022-05-01","2021021179","20212022","WPG","SEA","1","G",59.82,99.69,3.14,31.25,43.76,3.03,89.96,92.83,93.07,-0.24,-0.11
"Eric Comrie","Total","-","21-22","WPG","-","-","G",53.94,89.09,42.88,544.77,740.84,52.77,92.13,94.21,92.88,1.33,9.88
