"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Erik Kallgren","2022-03-10","2021020917","20212022","TOR","ARI","1","G",30.33,48.7,0.97,12.09,13.12,0.91,91.98,92.61,93.06,-0.44,-0.06
"Erik Kallgren","2022-03-15","2021020953","20212022","TOR","DAL","1","G",60,100,0,33.13,46.58,3.49,100,100,92.51,7.49,3.49
"Erik Kallgren","2022-03-17","2021020968","20212022","TOR","CAR","1","G",60,100,1.98,35.37,50.02,2.75,94.4,96.04,94.5,1.54,0.77
"Erik Kallgren","2022-03-19","2021020987","20212022","TOR","NSH","0","G",56.33,93.89,4.9,34.03,41.25,2.2,85.59,88.11,94.67,-6.55,-2.7
"Erik Kallgren","2022-03-26","2021021035","20212022","TOR","MTL","0","G",58.78,97.97,2.82,15.83,22.49,1.87,82.21,87.48,91.68,-4.2,-0.94
"Erik Kallgren","2022-03-29","2021021059","20212022","TOR","BOS","0","G",52.27,87.11,2.81,23.01,33.15,1.62,87.77,91.51,95.12,-3.61,-1.2
"Erik Kallgren","2022-03-31","2021021075","20212022","TOR","WPG","1","G",59.22,98.69,3.21,23.48,34.15,2.62,86.33,90.6,92.32,-1.72,-0.59
"Erik Kallgren","2022-04-05","2021021116","20212022","TOR","FLA","0","G",37.2,59.25,2.66,21.99,32.63,2.72,87.88,91.83,91.67,0.16,0.05
"Erik Kallgren","2022-04-09","2021021142","20212022","TOR","MTL","1","G",60,100,2.02,25.08,31.77,2.74,91.93,93.63,91.37,2.26,0.72
"Erik Kallgren","2022-04-12","2021021165","20212022","TOR","BUF","1","G",58.58,97.64,4.3,30.1,42.63,2.02,85.73,89.92,95.26,-5.33,-2.27
"Erik Kallgren","2022-04-16","2021021199","20212022","TOR","OTT","0","G",63.43,100,3.87,29.33,41.3,2.1,86.82,90.64,94.92,-4.29,-1.77
"Erik Kallgren","2022-04-21","2021021234","20212022","TOR","T.B","0","G",59.83,99.72,7.82,37.28,56.73,4.31,79.03,86.22,92.41,-6.19,-3.51
"Erik Kallgren","2022-04-24","2021021265","20212022","TOR","WSH","0","G",63.93,98.36,2.88,36.78,50.52,3.08,92.17,94.3,93.91,0.39,0.2
"Erik Kallgren","2022-04-29","2021021299","20212022","TOR","BOS","1","G",59.57,99.28,2.07,25.05,36.67,2.39,91.75,94.36,93.48,0.89,0.33
"Erik Kallgren","Total","-","21-22","TOR","-","-","G",55.68,91.33,42.31,382.54,533,34.82,88.94,92.06,93.47,-1.41,-7.49
