"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Filip Gustavsson","2021-10-17","2021020034","20212022","OTT","DAL","1","G",60,100,2.07,33.12,43.25,1.81,93.74,95.21,95.8,-0.6,-0.26
"Filip Gustavsson","2021-10-25","2021020084","20212022","OTT","WSH","1","G",41.2,68.67,3.2,16.86,26.02,1.56,81,87.69,93.99,-6.3,-1.64
"Filip Gustavsson","2021-10-29","2021020115","20212022","OTT","DAL","0","G",60,100,0.87,34.67,47.87,3.23,97.5,98.19,93.25,4.94,2.36
"Filip Gustavsson","2021-11-02","2021020138","20212022","OTT","MIN","0","G",61.62,99.33,4.82,42.09,54.93,4.28,88.55,91.22,92.21,-0.99,-0.54
"Filip Gustavsson","2021-11-04","2021020151","20212022","OTT","VGK","1","G",58.67,97.78,4.27,42.01,57.42,3.05,89.83,92.56,94.69,-2.14,-1.23
"Filip Gustavsson","2021-11-11","2021020197","20212022","OTT","L.A","1","G",57.52,95.86,2.15,38.01,42.5,2.37,94.35,94.95,94.43,0.51,0.22
"Filip Gustavsson","2021-11-13","2021020212","20212022","OTT","PIT","1","G",60,100,2.99,30.23,49.18,3.17,90.1,93.91,93.55,0.36,0.18
"Filip Gustavsson","2021-11-22","2021020285","20212022","OTT","COL","0","G",58.83,98.06,5.58,37.73,51.09,3.86,85.2,89.07,92.45,-3.38,-1.73
"Filip Gustavsson","2021-11-27","2021020325","20212022","OTT","L.A","0","G",59.13,98.56,2.87,36.66,46.6,3.7,92.18,93.85,92.05,1.8,0.84
"Filip Gustavsson","2021-12-01","2021020347","20212022","OTT","VAN","1","G",59.78,99.64,6.65,38.94,56.03,4.44,82.92,88.13,92.08,-3.96,-2.22
"Filip Gustavsson","2021-12-07","2021020391","20212022","OTT","NYI","1","G",58.35,97.25,5.35,30.6,47.39,3.02,82.53,88.72,93.62,-4.9,-2.32
"Filip Gustavsson","2022-01-20","2021020707","20212022","OTT","PIT","0","G",44.67,74.44,2.97,27.65,34.02,2.37,89.26,91.27,93.05,-1.78,-0.6
"Filip Gustavsson","2022-02-20","2021020263","20212022","OTT","NYR","1","G",58.65,97.75,2.09,35.6,43.07,2.47,94.13,95.15,94.26,0.89,0.38
"Filip Gustavsson","2022-03-14","2021020952","20212022","OTT","ARI","1","G",59.15,98.58,4.23,15.33,22.89,1.66,72.43,81.53,92.74,-11.21,-2.57
"Filip Gustavsson","2022-03-19","2021020983","20212022","OTT","MTL","0","G",60,100,4.86,27.75,37.61,1.89,82.49,87.08,94.98,-7.9,-2.97
"Filip Gustavsson","2022-04-19","2021020625","20212022","OTT","VAN","0","G",65,100,2.85,37.64,58.83,5.08,92.43,95.16,91.36,3.8,2.23
"Filip Gustavsson","2022-04-22","2021021244","20212022","OTT","CBJ","0","G",64.98,99.97,0.93,34.19,47.34,2.95,97.27,98.03,93.77,4.26,2.02
"Filip Gustavsson","2022-04-28","2021021291","20212022","OTT","FLA","1","G",60,100,4.27,34.31,47.58,4.38,87.54,91.02,90.78,0.23,0.11
"Filip Gustavsson","Total","-","21-22","OTT","-","-","G",58.2,95.93,63.03,593.4,813.61,55.29,89.38,92.25,93.2,-0.95,-7.74
