"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Frederik Andersen","2021-10-14","2021020012","20212022","CAR","NYI","1","G",60,100,3.08,27.56,37.24,3.27,88.81,91.72,91.22,0.5,0.19
"Frederik Andersen","2021-10-16","2021020029","20212022","CAR","NSH","0","G",60,100,1.97,37.36,43.87,2.63,94.72,95.51,94,1.51,0.66
"Frederik Andersen","2021-10-21","2021020052","20212022","CAR","MTL","0","G",60,100,0.87,25.37,35.29,2.77,96.59,97.55,92.17,5.38,1.9
"Frederik Andersen","2021-10-23","2021020073","20212022","CAR","CBJ","0","G",59.98,99.97,0.84,24.71,34.38,1.78,96.6,97.56,94.82,2.74,0.94
"Frederik Andersen","2021-10-25","2021020087","20212022","CAR","TOR","1","G",60,100,1.06,24.52,38.45,3.11,95.67,97.24,91.9,5.34,2.05
"Frederik Andersen","2021-10-28","2021020104","20212022","CAR","BOS","1","G",60,100,0,32.09,47.65,3.42,100,100,92.82,7.18,3.42
"Frederik Andersen","2021-10-31","2021020128","20212022","CAR","ARI","1","G",60,100,1.06,25.32,31.84,2.31,95.81,96.67,92.74,3.92,1.25
"Frederik Andersen","2021-11-03","2021020144","20212022","CAR","CHI","0","G",59.77,99.61,2.88,29.33,37.81,2.26,90.19,92.39,94.02,-1.63,-0.62
"Frederik Andersen","2021-11-06","2021020166","20212022","CAR","FLA","0","G",45.33,75.56,3.91,28.46,38.83,2.98,86.27,89.93,92.32,-2.38,-0.93
"Frederik Andersen","2021-11-09","2021020185","20212022","CAR","T.B","0","G",63.43,100,0.94,17.92,25.93,1.74,94.73,96.36,93.28,3.07,0.8
"Frederik Andersen","2021-11-12","2021020208","20212022","CAR","PHI","1","G",56.82,94.69,2.07,28.82,44.16,2.95,92.81,95.31,93.33,1.98,0.87
"Frederik Andersen","2021-11-18","2021020258","20212022","CAR","ANA","0","G",59.8,99.67,0.94,30.35,38.74,2.99,96.91,97.58,92.28,5.3,2.05
"Frederik Andersen","2021-11-20","2021020272","20212022","CAR","L.A","0","G",60,100,3.68,39.98,53.67,3.74,90.8,93.14,93.03,0.11,0.06
"Frederik Andersen","2021-11-24","2021020303","20212022","CAR","SEA","0","G",58.17,96.94,1.81,20.91,34.17,1.65,91.34,94.7,95.17,-0.47,-0.16
"Frederik Andersen","2021-11-28","2021020329","20212022","CAR","WSH","1","G",57.65,96.08,3.21,25.74,37.75,2.39,87.53,91.5,93.66,-2.16,-0.82
"Frederik Andersen","2021-11-30","2021020343","20212022","CAR","DAL","0","G",59.92,99.86,2.92,16.68,26.03,1.71,82.48,88.78,93.44,-4.67,-1.21
"Frederik Andersen","2021-12-07","2021020395","20212022","CAR","WPG","0","G",60,100,1.79,16.09,20.54,1.47,88.84,91.26,92.85,-1.59,-0.33
"Frederik Andersen","2021-12-09","2021020407","20212022","CAR","CGY","0","G",64.12,100,0.94,25.3,37.3,2.01,96.29,97.48,94.61,2.88,1.07
"Frederik Andersen","2021-12-11","2021020426","20212022","CAR","EDM","0","G",60,100,0.94,21.11,33.06,2.66,95.56,97.16,91.95,5.22,1.72
"Frederik Andersen","2021-12-16","2021020459","20212022","CAR","DET","1","G",60,100,3.04,26.1,43.87,3.35,88.37,93.08,92.36,0.72,0.32
"Frederik Andersen","2021-12-18","2021020474","20212022","CAR","L.A","1","G",59.97,99.94,1.01,30.48,42.43,3.13,96.68,97.61,92.61,5,2.12
"Frederik Andersen","2022-01-01","2021020570","20212022","CAR","CBJ","0","G",39.93,66.56,0.99,9.67,17.08,1.34,89.78,94.22,92.17,2.05,0.35
"Frederik Andersen","2022-01-07","2021020612","20212022","CAR","CGY","1","G",60,100,3.08,40.15,50.49,3.92,92.32,93.89,92.23,1.66,0.84
"Frederik Andersen","2022-01-13","2021020654","20212022","CAR","CBJ","1","G",45.05,75.08,4.27,35.32,46.89,4.07,87.9,90.88,91.33,-0.44,-0.21
"Frederik Andersen","2022-01-15","2021020672","20212022","CAR","VAN","1","G",60,100,1.01,29.45,42.38,3.05,96.56,97.61,92.81,4.8,2.03
"Frederik Andersen","2022-01-18","2021020691","20212022","CAR","BOS","0","G",60,100,0.87,27.97,37.53,2.22,96.9,97.69,94.1,3.6,1.35
"Frederik Andersen","2022-01-21","2021020715","20212022","CAR","NYR","1","G",60,100,3.02,21.69,35.83,3.11,86.06,91.56,91.33,0.23,0.08
"Frederik Andersen","2022-01-25","2021020748","20212022","CAR","VGK","1","G",63.82,100,3.03,28.5,37.57,2.99,89.37,91.93,92.05,-0.11,-0.04
"Frederik Andersen","2022-01-27","2021020758","20212022","CAR","OTT","0","G",65,100,1.88,37.84,48.51,2.68,95.02,96.12,94.47,1.65,0.8
"Frederik Andersen","2022-01-30","2021020787","20212022","CAR","S.J","1","G",60,100,1.01,27.83,35.75,2.5,96.36,97.17,93.01,4.16,1.49
"Frederik Andersen","2022-02-07","2021020583","20212022","CAR","TOR","0","G",62.85,100,3.78,29.77,40.11,3.28,87.3,90.57,91.83,-1.26,-0.51
"Frederik Andersen","2022-02-10","2021020494","20212022","CAR","BOS","0","G",60,100,0,30.22,40.59,2.12,100,100,94.78,5.22,2.12
"Frederik Andersen","2022-02-12","2021020445","20212022","CAR","MIN","0","G",57.82,96.36,2.92,27.36,39.15,2.59,89.32,92.54,93.39,-0.85,-0.33
"Frederik Andersen","2022-02-16","2021020527","20212022","CAR","FLA","1","G",60.27,100,2.95,31.02,44.12,3.08,90.49,93.31,93.01,0.3,0.13
"Frederik Andersen","2022-02-18","2021020485","20212022","CAR","NSH","1","G",59.92,99.86,2.95,29.85,40.54,2.87,90.12,92.72,92.92,-0.2,-0.08
"Frederik Andersen","2022-02-21","2021020639","20212022","CAR","PHI","0","G",64.43,99.59,2.81,38.92,52.95,3.89,92.77,94.69,92.65,2.04,1.08
"Frederik Andersen","2022-02-25","2021020823","20212022","CAR","CBJ","1","G",60,100,0,18.21,27.07,2.21,100,100,91.83,8.17,2.21
"Frederik Andersen","2022-02-27","2021020840","20212022","CAR","EDM","1","G",60,100,1.01,29.34,44.44,2.94,96.55,97.72,93.38,4.34,1.93
"Frederik Andersen","2022-03-03","2021020868","20212022","CAR","WSH","0","G",60,100,3.9,34.34,42.32,2.56,88.65,90.79,93.96,-3.17,-1.34
"Frederik Andersen","2022-03-12","2021020936","20212022","CAR","PHI","1","G",60,100,1.01,29.52,35.82,2.09,96.57,97.17,94.15,3.02,1.08
"Frederik Andersen","2022-03-17","2021020968","20212022","CAR","TOR","0","G",57.08,95.14,2.92,21.87,32.29,2.03,86.64,90.95,93.72,-2.76,-0.89
"Frederik Andersen","2022-03-20","2021020996","20212022","CAR","NYR","1","G",58.95,98.25,1.06,18.29,30.18,2.22,94.2,96.49,92.66,3.82,1.15
"Frederik Andersen","2022-03-22","2021021009","20212022","CAR","T.B","1","G",60,100,1.98,28.9,41.95,3.07,93.14,95.28,92.67,2.61,1.09
"Frederik Andersen","2022-03-24","2021021022","20212022","CAR","DAL","1","G",65,100,3.08,15.23,21.5,1.84,79.74,85.65,91.43,-5.78,-1.24
"Frederik Andersen","2022-03-28","2021021054","20212022","CAR","WSH","0","G",60,100,0.94,22.67,33.92,2.63,95.86,97.23,92.24,4.99,1.69
"Frederik Andersen","2022-03-31","2021021078","20212022","CAR","MTL","1","G",60,100,0,30.55,37.01,3.06,100,100,91.72,8.28,3.06
"Frederik Andersen","2022-04-02","2021021094","20212022","CAR","MIN","1","G",56.58,94.31,3.22,21.32,35.88,3.22,84.9,91.03,91.02,0,0
"Frederik Andersen","2022-04-05","2021021113","20212022","CAR","BUF","0","G",56.07,93.44,3.82,21.86,29.45,2.27,82.51,87.02,92.28,-5.26,-1.55
"Frederik Andersen","2022-04-08","2021021139","20212022","CAR","NYI","1","G",58.12,96.86,2.12,22.33,31.05,2.19,90.5,93.16,92.93,0.23,0.07
"Frederik Andersen","2022-04-10","2021021159","20212022","CAR","ANA","1","G",60,100,2.02,23.82,29.6,1.46,91.5,93.16,95.07,-1.91,-0.56
"Frederik Andersen","2022-04-12","2021021168","20212022","CAR","NYR","0","G",59.73,99.56,1.98,28.91,40.63,2.47,93.16,95.13,93.92,1.21,0.49
"Frederik Andersen","2022-04-16","2021021205","20212022","CAR","COL","0","G",55.32,92.19,6.87,35.47,46.17,3.64,80.64,85.13,92.12,-6.99,-3.23
"Frederik Andersen","Total","-","21-22","CAR","-","-","G",59.06,97.51,109.5,1402.37,1951.77,137.96,92.19,94.39,92.93,1.46,28.46
