"Player","Season","Team","Position","GP","TOI","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAA","GSAx"
"Aaron Dell","21-22","BUF","G",12,565.38,37.95,356.65,467.99,30.45,89.36,91.89,93.49,-1.6,-4.85,-7.5
"Adin Hill","21-22","S.J","G",25,1375.95,62.41,665.7,927.62,55.5,90.62,93.27,94.02,-0.74,-0.63,-6.91
"Alex Nedeljkovic","21-22","DET","G",59,3230.8,180.28,1830.85,2425.82,168.76,90.15,92.57,93.04,-0.47,-10.36,-11.52
"Alexandar Georgiev","21-22","NYR","G",33,1746.1,84.06,833.1,1190.45,78.76,89.91,92.94,93.38,-0.45,-6.74,-5.3
"Andrei Vasilevskiy","21-22","T.B","G",63,3760.75,154.97,1862.28,2561.07,172.88,91.68,93.95,93.25,0.7,17.87,17.91
"Anthony Stolarz","21-22","ANA","G",28,1506.42,67.02,817.13,1120.82,71.57,91.8,94.02,93.61,0.41,8.82,4.55
"Anton Forsberg","21-22","OTT","G",46,2571.45,119.85,1437.92,1932.3,131.34,91.67,93.8,93.2,0.59,13.6,11.49
"Antti Raanta","21-22","CAR","G",28,1516.63,61.32,698.86,963.1,69.76,91.23,93.63,92.76,0.88,3.54,8.44
"Braden Holtby","21-22","DAL","G",24,1318.47,60.85,701.27,968.57,59.73,91.32,93.72,93.83,-0.12,4.24,-1.12
"Brian Elliott","21-22","T.B","G",19,1063.42,42.37,477.46,674.78,42.42,91.13,93.72,93.71,0.01,1.95,0.05
"Calvin Petersen","21-22","L.A","G",37,2176.5,103.79,997.26,1397.43,96.31,89.59,92.57,93.11,-0.54,-11.23,-7.48
"Cam Talbot","21-22","MIN","G",49,2864.38,131.87,1477.7,1978.52,114.61,91.08,93.33,94.21,-0.87,5.27,-17.26
"Carter Hart","21-22","PHI","G",45,2603.07,139.35,1477.38,1986.54,132.35,90.57,92.99,93.34,-0.35,-2.23,-7
"Casey Desmith","21-22","PIT","G",26,1418.15,65.97,767.14,1021.9,64.99,91.4,93.54,93.64,-0.1,5.22,-0.98
"Cayden Primeau","21-22","MTL","G",12,519.22,41.82,326.18,443.18,29.21,87.18,90.56,93.41,-2.85,-11.55,-12.61
"Chris Driedger","21-22","SEA","G",27,1478.4,72.35,715.3,1001.7,67.43,89.89,92.78,93.27,-0.49,-5.97,-4.92
"Connor Hellebuyck","21-22","WPG","G",66,3903.5,192.95,2159.52,2937.84,206.56,91.07,93.43,92.97,0.46,7.48,13.61
"Craig Anderson","21-22","BUF","G",31,1867.25,96.85,949.86,1303.89,89.08,89.8,92.57,93.17,-0.6,-8.69,-7.77
"Dan Vladar","21-22","CGY","G",23,1243.13,55.08,586.45,835.66,51.19,90.61,93.41,93.87,-0.47,-0.65,-3.89
"Darcy Kuemper","21-22","COL","G",57,3258.75,136.8,1716.8,2311.65,152.66,92.03,94.08,93.4,0.69,22.54,15.86
"David Rittich","21-22","NSH","G",17,822.93,48.1,439.23,612.08,41.13,89.05,92.14,93.28,-1.14,-7.34,-6.97
"Dustin Tokarski","21-22","BUF","G",29,1671.43,91.59,910.46,1201.36,79.98,89.94,92.38,93.34,-0.97,-7.09,-11.61
"Elvis Merzlikins","21-22","CBJ","G",59,3320.12,178.86,1949.35,2617.91,172.32,90.82,93.17,93.42,-0.25,2.06,-6.54
"Eric Comrie","21-22","WPG","G",19,1024.82,42.88,544.77,740.84,52.77,92.13,94.21,92.88,1.33,7.68,9.89
