"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Igor Shesterkin","2021-10-14","2021020011","20212022","NYR","DAL","1","G",61.63,100,3.21,27.85,39.58,2.6,88.46,91.88,93.43,-1.54,-0.61
"Igor Shesterkin","2021-10-16","2021020023","20212022","NYR","MTL","0","G",59.38,98.97,0.94,29.78,36.14,2.71,96.85,97.4,92.5,4.9,1.77
"Igor Shesterkin","2021-10-18","2021020035","20212022","NYR","TOR","0","G",63.8,100,0.94,39.11,56.02,3.09,97.6,98.33,94.48,3.85,2.15
"Igor Shesterkin","2021-10-21","2021020059","20212022","NYR","NSH","0","G",59.55,99.25,0.94,26.84,37.93,1.91,96.5,97.53,94.96,2.57,0.98
"Igor Shesterkin","2021-10-25","2021020086","20212022","NYR","CGY","1","G",59.92,99.86,5.48,40.63,49.81,3.12,86.52,89,93.75,-4.74,-2.36
"Igor Shesterkin","2021-10-29","2021020112","20212022","NYR","CBJ","1","G",60,100,0,29.84,43.18,2.27,100,100,94.74,5.26,2.27
"Igor Shesterkin","2021-10-31","2021020131","20212022","NYR","SEA","0","G",60,100,0.94,29.68,48.15,3.04,96.84,98.05,93.68,4.37,2.11
"Igor Shesterkin","2021-11-02","2021020141","20212022","NYR","VAN","0","G",62.37,100,2.91,33.27,43.18,3.76,91.26,93.26,91.3,1.97,0.85
"Igor Shesterkin","2021-11-06","2021020171","20212022","NYR","CGY","0","G",60,100,5.87,38.87,60.67,4.46,84.89,90.32,92.65,-2.33,-1.41
"Igor Shesterkin","2021-11-08","2021020180","20212022","NYR","FLA","1","G",59.93,99.89,2.99,42.6,65.92,4.49,92.97,95.46,93.19,2.27,1.49
"Igor Shesterkin","2021-11-13","2021020217","20212022","NYR","CBJ","0","G",53.25,88.75,2.82,31.31,42.04,3.58,91.01,93.3,91.48,1.82,0.77
"Igor Shesterkin","2021-11-16","2021020235","20212022","NYR","MTL","1","G",60,100,2.02,32.51,47.17,2.26,93.77,95.71,95.22,0.49,0.23
"Igor Shesterkin","2021-11-18","2021020248","20212022","NYR","TOR","0","G",58.42,97.36,1.94,31.38,50.21,2.64,93.82,96.14,94.74,1.4,0.7
"Igor Shesterkin","2021-11-21","2021020277","20212022","NYR","BUF","1","G",20,33.33,0,4.17,7.34,0.18,100,100,97.61,2.39,0.18
"Igor Shesterkin","2021-11-24","2021020294","20212022","NYR","NYI","0","G",60,100,0.94,18.96,23.47,1.77,95.05,96,92.45,3.56,0.84
"Igor Shesterkin","2021-11-26","2021020304","20212022","NYR","BOS","0","G",59.97,99.94,1.89,34.78,43.2,2.09,94.57,95.62,95.17,0.45,0.2
"Igor Shesterkin","2021-12-01","2021020349","20212022","NYR","PHI","1","G",59.95,99.92,1.01,32.53,47.9,2.99,96.89,97.89,93.75,4.14,1.98
"Igor Shesterkin","2021-12-03","2021020362","20212022","NYR","S.J","1","G",45.1,75.17,0,18.6,29.38,1.78,100,100,93.92,6.08,1.78
"Igor Shesterkin","2021-12-29","2021020544","20212022","NYR","FLA","0","G",57.73,96.22,3.81,30.43,40.71,2.82,87.48,90.64,93.08,-2.43,-0.99
"Igor Shesterkin","2021-12-31","2021020561","20212022","NYR","T.B","0","G",65,100,2.9,27.32,39.91,2.99,89.37,92.72,92.5,0.22,0.09
"Igor Shesterkin","2022-01-02","2021020576","20212022","NYR","T.B","1","G",60,100,0,36.09,52.09,3.49,100,100,93.3,6.7,3.49
