"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Ilya Samsonov","2021-10-19","2021020045","20212022","WSH","COL","1","G",60,100,2.99,26.54,34.37,2.5,88.75,91.31,92.72,-1.41,-0.48
"Ilya Samsonov","2021-10-23","2021020072","20212022","WSH","CGY","1","G",42.77,68.14,0.97,14.75,27.03,1.47,93.43,96.42,94.55,1.87,0.5
"Ilya Samsonov","2021-10-25","2021020084","20212022","WSH","OTT","0","G",60,100,4.62,33.54,41.01,3.63,86.21,88.72,91.15,-2.43,-1
"Ilya Samsonov","2021-10-29","2021020113","20212022","WSH","ARI","1","G",59.35,98.92,0,16.43,21.65,1.3,100,100,93.99,6.01,1.3
"Ilya Samsonov","2021-11-04","2021020152","20212022","WSH","FLA","0","G",25.52,41.21,2.92,18.81,20.87,1.34,84.47,86,93.58,-7.58,-1.58
"Ilya Samsonov","2021-11-12","2021020209","20212022","WSH","CBJ","0","G",60,100,2.82,28,41.69,2.85,89.93,93.23,93.15,0.08,0.03
"Ilya Samsonov","2021-11-17","2021020245","20212022","WSH","L.A","0","G",59.82,99.69,0,32.74,41.37,2.38,100,100,94.25,5.75,2.38
"Ilya Samsonov","2021-11-20","2021020273","20212022","WSH","S.J","0","G",60,100,0,19.48,36.05,2.73,100,100,92.43,7.57,2.73
"Ilya Samsonov","2021-11-24","2021020296","20212022","WSH","MTL","1","G",59.87,99.78,3.04,26.08,34.41,2.47,88.36,91.18,92.83,-1.65,-0.57
"Ilya Samsonov","2021-11-26","2021020309","20212022","WSH","FLA","1","G",60,100,3.08,21.93,37.93,1.95,85.94,91.87,94.85,-2.98,-1.13
"Ilya Samsonov","2021-11-28","2021020329","20212022","WSH","CAR","0","G",60,100,1.88,29.7,47.26,3.45,93.68,96.03,92.69,3.34,1.58
"Ilya Samsonov","2021-11-30","2021020338","20212022","WSH","FLA","0","G",59.75,99.58,4.54,45.98,60.29,5.31,90.12,92.47,91.2,1.27,0.77
"Ilya Samsonov","2021-12-04","2021020372","20212022","WSH","CBJ","1","G",59.82,99.69,1.01,17.23,28.58,1.21,94.13,96.46,95.76,0.7,0.2
"Ilya Samsonov","2021-12-06","2021020384","20212022","WSH","ANA","1","G",65,100,3.08,34.75,43.09,2.54,91.12,92.84,94.1,-1.26,-0.54
"Ilya Samsonov","2021-12-10","2021020414","20212022","WSH","PIT","1","G",57.85,96.42,3.2,35.47,43.84,2.42,90.97,92.69,94.48,-1.79,-0.78
"Ilya Samsonov","2021-12-15","2021020451","20212022","WSH","CHI","0","G",59.57,97.09,4.73,27.23,36.15,2.2,82.64,86.92,93.93,-7,-2.53
"Ilya Samsonov","2021-12-29","2021020546","20212022","WSH","NSH","1","G",60,100,3.04,19.45,30.29,2.2,84.39,89.98,92.74,-2.76,-0.84
"Ilya Samsonov","2021-12-31","2021020560","20212022","WSH","DET","0","G",60,100,0.94,19.31,24.3,1.83,95.11,96.11,92.47,3.64,0.88
"Ilya Samsonov","2022-01-02","2021020578","20212022","WSH","N.J","1","G",62.93,100,4.17,41.25,52.9,2.57,89.89,92.11,95.13,-3.02,-1.6
"Ilya Samsonov","2022-01-07","2021020613","20212022","WSH","STL","0","G",40,66.67,3.86,15.75,20.56,1.36,75.49,81.23,93.37,-12.14,-2.5
"Ilya Samsonov","2022-01-16","2021020680","20212022","WSH","VAN","1","G",58.3,97.17,3.25,32.61,48.96,3.77,90.03,93.36,92.3,1.06,0.52
"Ilya Samsonov","2022-01-26","2021020754","20212022","WSH","S.J","1","G",57.73,96.22,3.2,31.64,45.09,3.44,89.88,92.9,92.37,0.53,0.24
"Ilya Samsonov","2022-02-01","2021020802","20212022","WSH","PIT","0","G",57.57,89.55,1.87,44.32,56.16,4.04,95.79,96.68,92.81,3.87,2.17
"Ilya Samsonov","2022-02-02","2021020808","20212022","WSH","EDM","1","G",5.12,8.53,3.32,4.46,6.87,0.92,25.66,51.74,86.65,-34.91,-2.4
"Ilya Samsonov","2022-02-08","2021021293","20212022","WSH","CBJ","1","G",16.77,27.94,1.06,7.69,8.85,0.64,86.21,88.01,92.8,-4.78,-0.42
"Ilya Samsonov","2022-02-10","2021020587","20212022","WSH","MTL","0","G",60,100,1.8,39.33,47.36,3.36,95.41,96.19,92.92,3.27,1.55
