"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Jack Campbell","2021-10-13","2021020003","20212022","TOR","MTL","1","G",60,100,1.06,32.33,41.67,2.6,96.72,97.45,93.76,3.69,1.54
"Jack Campbell","2021-10-14","2021020008","20212022","TOR","OTT","0","G",19.45,32.42,0,10.38,12.45,1.01,100,100,91.89,8.11,1.01
"Jack Campbell","2021-10-16","2021020022","20212022","TOR","OTT","1","G",60,100,1.01,19.92,34.29,1.66,94.95,97.07,95.16,1.9,0.65
"Jack Campbell","2021-10-18","2021020035","20212022","TOR","NYR","1","G",63.8,100,2.03,23.69,39.47,2.43,91.43,94.86,93.83,1.02,0.4
"Jack Campbell","2021-10-23","2021020071","20212022","TOR","PIT","0","G",40,66.67,4.85,21.34,28.45,1.76,77.26,82.94,93.81,-10.86,-3.09
"Jack Campbell","2021-10-25","2021020087","20212022","TOR","CAR","0","G",57.77,96.28,2.87,34.34,45.61,3.12,91.64,93.71,93.16,0.55,0.25
"Jack Campbell","2021-10-27","2021020099","20212022","TOR","CHI","0","G",61.97,100,1.92,29.55,36.67,2.68,93.5,94.76,92.7,2.07,0.76
"Jack Campbell","2021-11-02","2021020135","20212022","TOR","VGK","1","G",60,100,0,24.27,30.75,1.92,100,100,93.75,6.25,1.92
"Jack Campbell","2021-11-04","2021020149","20212022","TOR","T.B","1","G",61.32,97.77,1.06,27.16,43.52,3.2,96.09,97.56,92.64,4.92,2.14
"Jack Campbell","2021-11-06","2021020163","20212022","TOR","BOS","1","G",59.65,99.42,2.09,43.57,57.33,3.34,95.21,96.36,94.18,2.18,1.25
"Jack Campbell","2021-11-08","2021020179","20212022","TOR","L.A","1","G",59.57,99.28,4.27,30.94,45.59,2.51,86.19,90.62,94.5,-3.88,-1.77
"Jack Campbell","2021-11-10","2021020192","20212022","TOR","PHI","0","G",59.78,99.64,0,33.25,45.28,1.92,100,100,95.76,4.24,1.92
"Jack Campbell","2021-11-12","2021020207","20212022","TOR","CGY","1","G",62.5,99.95,1.06,32.18,43.81,2.19,96.7,97.58,95,2.57,1.13
"Jack Campbell","2021-11-16","2021020232","20212022","TOR","NSH","1","G",60,100,0,23.46,35.12,2.13,100,100,93.92,6.08,2.13
"Jack Campbell","2021-11-18","2021020248","20212022","TOR","NYR","1","G",60,100,1.01,27.09,39.66,2.22,96.26,97.45,94.4,3.05,1.21
"Jack Campbell","2021-11-20","2021020261","20212022","TOR","PIT","1","G",58.43,97.39,2.13,35.48,42.61,2.18,93.99,95,94.89,0.11,0.05
"Jack Campbell","2021-11-24","2021020301","20212022","TOR","L.A","0","G",59.7,99.5,1.73,28.41,43.28,3.04,93.9,96,92.97,3.03,1.31
"Jack Campbell","2021-11-28","2021020332","20212022","TOR","ANA","0","G",59.93,99.89,0.94,36.83,44.95,2.46,97.45,97.91,94.52,3.39,1.53
"Jack Campbell","2021-12-01","2021020346","20212022","TOR","COL","1","G",60,100,3.03,29.01,42.16,2.4,89.56,92.81,94.32,-1.5,-0.63
"Jack Campbell","2021-12-04","2021020375","20212022","TOR","MIN","0","G",64.85,99.77,2.93,39.19,48.78,2.8,92.53,94,94.26,-0.26,-0.13
"Jack Campbell","2021-12-07","2021020389","20212022","TOR","CBJ","1","G",60,100,4,30.23,50.1,3.27,86.77,92.02,93.48,-1.46,-0.73
"Jack Campbell","2021-12-09","2021020402","20212022","TOR","T.B","1","G",58.6,97.67,4.22,28.4,41.9,2.52,85.14,89.93,93.98,-4.05,-1.7
"Jack Campbell","2021-12-14","2021020448","20212022","TOR","EDM","0","G",60,100,0.94,32.7,41.7,2.94,97.13,97.75,92.96,4.79,2
"Jack Campbell","2022-01-01","2021020567","20212022","TOR","OTT","1","G",59.87,99.78,0,21.42,26.01,1.86,100,100,92.85,7.15,1.86
"Jack Campbell","2022-01-05","2021020596","20212022","TOR","EDM","1","G",59.47,99.11,2.07,30.61,45.9,1.89,93.23,95.48,95.88,-0.39,-0.18
"Jack Campbell","2022-01-08","2021020622","20212022","TOR","COL","0","G",60.72,99.21,4.78,43.99,51.13,3.63,89.12,90.64,92.91,-2.27,-1.16
