"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Jacob Markstrom","2021-10-16","2021020031","20212022","CGY","EDM","0","G",58.92,98.19,3.92,33.24,41.56,2.46,88.2,90.57,94.07,-3.5,-1.46
"Jacob Markstrom","2021-10-18","2021020037","20212022","CGY","ANA","1","G",63.38,99.92,2.99,26.45,40.38,2.08,88.71,92.6,94.85,-2.25,-0.91
"Jacob Markstrom","2021-10-21","2021020054","20212022","CGY","DET","0","G",60,100,0,29.87,41.19,1.81,100,100,95.6,4.4,1.81
"Jacob Markstrom","2021-10-25","2021020086","20212022","CGY","NYR","0","G",59.5,99.17,0.94,26.05,36.8,2.97,96.4,97.45,91.93,5.53,2.03
"Jacob Markstrom","2021-10-28","2021020103","20212022","CGY","PIT","0","G",60,100,0,40,54.88,3.29,100,100,94.01,5.99,3.29
"Jacob Markstrom","2021-10-30","2021020123","20212022","CGY","PHI","1","G",59.95,99.92,0,19.23,25.33,1.46,100,100,94.26,5.74,1.46
"Jacob Markstrom","2021-11-02","2021020140","20212022","CGY","NSH","1","G",60.95,98.92,3.09,23.23,29.63,1.63,86.7,89.57,94.48,-4.92,-1.46
"Jacob Markstrom","2021-11-04","2021020154","20212022","CGY","DAL","1","G",62.62,99.42,4.12,29.94,38.66,2.25,86.24,89.34,94.18,-4.83,-1.87
"Jacob Markstrom","2021-11-06","2021020171","20212022","CGY","NYR","1","G",60,100,0,21.29,39.74,3.03,100,100,92.39,7.61,3.03
"Jacob Markstrom","2021-11-09","2021020189","20212022","CGY","S.J","1","G",59.27,98.78,2.12,25.27,43.38,2.37,91.6,95.11,94.54,0.57,0.25
"Jacob Markstrom","2021-11-11","2021020196","20212022","CGY","MTL","0","G",58.68,97.81,2.74,25.22,34.34,2.28,89.15,92.03,93.36,-1.33,-0.46
"Jacob Markstrom","2021-11-16","2021020236","20212022","CGY","PHI","0","G",60.75,100,1.97,40.79,53.59,3.7,95.17,96.32,93.09,3.24,1.73
"Jacob Markstrom","2021-11-18","2021020247","20212022","CGY","BUF","0","G",60,100,0,23.82,28.95,1.25,100,100,95.68,4.32,1.25
"Jacob Markstrom","2021-11-20","2021020266","20212022","CGY","NYI","0","G",60,100,1.8,32.27,40.06,3.38,94.41,95.5,91.56,3.94,1.58
"Jacob Markstrom","2021-11-23","2021020289","20212022","CGY","CHI","1","G",60,100,2.02,21.1,28.27,1.47,90.41,92.84,94.8,-1.96,-0.55
"Jacob Markstrom","2021-11-27","2021020322","20212022","CGY","WPG","1","G",59.23,98.72,3.08,26.8,33.76,2.74,88.49,90.86,91.89,-1.03,-0.35
"Jacob Markstrom","2021-11-29","2021020336","20212022","CGY","PIT","1","G",65,100,1.01,21.98,27.06,1.23,95.42,96.28,95.47,0.81,0.22
"Jacob Markstrom","2021-12-02","2021020361","20212022","CGY","L.A","0","G",59.9,99.83,1.88,38.78,54.48,2.68,95.14,96.54,95.09,1.45,0.79
"Jacob Markstrom","2021-12-05","2021020382","20212022","CGY","VGK","0","G",57.08,95.14,2.92,28.54,40.8,3.52,89.77,92.84,91.38,1.46,0.6
"Jacob Markstrom","2021-12-09","2021020407","20212022","CGY","CAR","1","G",64.12,100,2.03,27.79,36.64,2.29,92.69,94.46,93.74,0.72,0.26
"Jacob Markstrom","2021-12-11","2021020425","20212022","CGY","BOS","1","G",58.9,98.17,4.27,30.48,36.22,2.53,85.98,88.2,93.02,-4.82,-1.74
"Jacob Markstrom","2021-12-30","2021020558","20212022","CGY","SEA","0","G",60,100,3.75,21.05,27.77,1.74,82.17,86.48,93.75,-7.27,-2.02
"Jacob Markstrom","2022-01-02","2021020579","20212022","CGY","CHI","0","G",60,100,0.94,28.93,36.18,1.88,96.73,97.39,94.8,2.59,0.94
"Jacob Markstrom","2022-01-04","2021020589","20212022","CGY","FLA","0","G",60,100,5.77,45.8,49.89,4.89,87.41,88.44,90.2,-1.76,-0.88
"Jacob Markstrom","2022-01-13","2021020658","20212022","CGY","OTT","1","G",59.9,99.83,4.27,38.78,54.28,3.18,88.98,92.13,94.14,-2.02,-1.09
"Jacob Markstrom","2022-01-18","2021020698","20212022","CGY","FLA","1","G",60,100,1.01,27.51,44.74,3.39,96.32,97.74,92.41,5.33,2.38
